,https://roic.ai/company/TRVG,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,309332000,493083000,754169000,1035383000,914816000,838617000,248921000,361465000
2,COGS,1443000,2946000,4273000,5930000,5435000,9159000,10133000,11500000
3,Gross Profit,307889000,490137000,749896000,1029453000,909381000,829458000,238788000,349965000
4,Gross Profit Ratio,0.9953,0.9940,0.9943,0.9943,0.9941,0.9891,0.9593,0.9682
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,21924000,46758000,105755000,99676000,121230000,125467000,105193000,90582000
7,Selling and Marketing Exp.,286234000,461219000,674729000,946925000,805633000,664155000,178255000,249196000
8,"Selling, General and Administrative Exp.",308158000,507977000,780484000,1046601000,926863000,789622000,283448000,339778000
9,Other Expenses,30025000,30030000,13857000,3105000,1406000,1685000,373000,136000
10,Operating Expenses,338183000,538007000,794341000,1049706000,928269000,791307000,283821000,339914000
11,COGS and Expenses,339626000,540953000,798614000,1055636000,933704000,800466000,293954000,351414000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),11000,147000,137000,44000,1839000,33000,270000,389000
14,Depreciation and Amortization,31425000,32679000,18940000,11022000,13054000,11983000,10852000,8349000
15,EBITDA,-304000,-17619000,-24934000,-6179000,-5510000,50159000,-242750000,32028000
16,EBITDA ratio,-0.0010,-0.0357,-0.0331,-0.0060,-0.0060,0.0598,-0.9752,0.0886
17,Operating Income,-30294000,-47870000,-44445000,-20368000,-19166000,38151000,-252651000,10051000
18,Operating Income ratio,-0.0979,-0.0971,-0.0589,-0.0197,-0.0210,0.0455,-1.0150,0.0278
19,Total Other Income Expenses (Gains),-1446000,-2814000,-276000,2555000,-1300000,-461000,-482000,13239000
20,Income Before Tax,-31740000,-50684000,-44721000,-17813000,-20466000,37690000,-253133000,23290000
21,Income Before Tax Ratio,-0.1026,-0.1028,-0.0593,-0.0172,-0.0224,0.0449,-1.0169,0.0644
22,Income Tax expense (Gain),-8644000,-11318000,6670000,-4764000,1086000,20982000,-8494000,12586000
23,Net Income,-23096000,-39127000,-50681000,-12481000,-21489000,17161000,-245378000,10704000
24,Net Income ratio,-0.0747,-0.0794,-0.0672,-0.0121,-0.0235,0.0205,-0.9858,0.0296
25,EPS,-0.10,-0.17,-0.21,-0.05,-0.06,0.05,-0.69,0.03
26,EPS Diluted,-0.10,-0.17,-0.21,-0.05,-0.06,0.05,-0.69,0.03
27,Weighted Average Shares Outstanding,235118206,235118206,239034723,274666000,350852000,351991000,353338000,353338000
28,Weighted Average Shares Outstanding Diluted,235118206,235118206,239034723,274666000,350852000,356738000,353338000,353338000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1683825/000168382517000009/0001683825-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1683825/000168382518000014/0001683825-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/1683825/000168382519000008/0001683825-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1683825/000168382520000008/0001683825-20-000008-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,6142000,17556000,227298000,190201000,161871000,218106000,208353000,256378000
32,Short-Term Investments,- -,- -,- -,- -,- -,10000000,19448000,- -
33,Cash and Short-Term Investments,6142000,17556000,227298000,190201000,161871000,228106000,227801000,256378000
34,Net Receivables,25034000,43353000,53163000,84217000,94917000,77451000,22450000,43740000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,5232000,5288000,12413000,18861000,8468000,4729000,10541000,10273000
37,Total Current Assets,36408000,66197000,292874000,293279000,265256000,310286000,260792000,310391000
38,PP&E,4007000,12853000,46862000,114471000,162001000,129202000,113492000,64228000
39,Goodwill,487954000,490360000,490503000,490455000,490529000,490590000,282664000,286539000
40,Intangible Assets,219901000,189909000,176052000,173294000,171609000,169924000,169550000,170085000
41,Intangible Assets,707855000,680269000,666555000,663749000,662138000,660514000,452214000,456624000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,735000,1000,26000
44,Other Non-Current Assets,2528000,936000,955000,6955000,6148000,7274000,4399000,3250000
45,Total Non-Current Assets,714390000,694058000,714372000,785175000,830287000,797725000,570106000,524128000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,750798000,760255000,1007246000,1078454000,1095543000,1108011000,830898000,834519000
48,Accounts Payable,12860000,26263000,39965000,51307000,33656000,33391000,6755000,14053000
49,Short-Term Debt,- -,20000000,- -,- -,- -,5037000,7188000,2269000
50,Tax Payable,280000,256000,3433000,3428000,1221000,549000,102000,4358000
51,Deferred Revenue,- -,- -,5078000,8941000,7863000,5553000,2750000,2174000
52,Other Current Liabilities,3115000,25746000,16060000,18139000,19402000,19367000,18019000,23970000
53,Total Current Liabilities,15975000,72009000,61103000,78387000,60921000,63348000,34712000,42466000
