,https://roic.ai/company/NRDY,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,72038000,90452000,103968000,140664000
2,COGS,26501000,30830000,34834000,46700000
3,Gross Profit,45537000,59622000,69134000,93964000
4,Gross Profit Ratio,0.6321,0.6592,0.6650,0.6680
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,40592000,42192000,43231000,121968000
7,Selling and Marketing Exp.,30494000,37967000,43838000,65441000
8,"Selling, General and Administrative Exp.",71086000,80159000,87069000,187409000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,71086000,80159000,87069000,187409000
11,COGS and Expenses,97587000,110989000,121903000,234109000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),157000,2101000,4904000,3791000
14,Depreciation and Amortization,2535000,5009000,6043000,6389000
15,EBITDA,-22685000,-15329000,-13716000,-17105000
16,EBITDA ratio,-0.3149,-0.1695,-0.1319,-0.1216
17,Operating Income,-25549000,-20537000,-17935000,-96454000
18,Operating Income ratio,-0.3547,-0.2270,-0.1725,-0.6857
19,Total Other Income Expenses (Gains),172000,-1902000,-6728000,65815000
20,Income Before Tax,-25377000,-22439000,-24663000,-30639000
21,Income Before Tax Ratio,-0.3523,-0.2481,-0.2372,-0.2178
22,Income Tax expense (Gain),- -,- -,- -,40000
23,Net Income,-25377000,-22439000,-24663000,-27325000
24,Net Income ratio,-0.3523,-0.2481,-0.2372,-0.1943
25,EPS,-0.30,-0.27,-0.29,-0.33
26,EPS Diluted,-0.30,-0.27,-0.29,-0.33
27,Weighted Average Shares Outstanding,83875000,83875000,83875000,83875000
28,Weighted Average Shares Outstanding Diluted,83875000,83875000,83875000,83875000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1819404/000156459021028066/0001564590-21-028066-index.htm,https://www.sec.gov/Archives/edgar/data/1819404/000181940422000016/0001819404-22-000016-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,25044000,29265000,143964000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,25044000,29265000,143964000
34,Net Receivables,- -,758000,475000,5321000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,- -,2307000,1821000,6165000
37,Total Current Assets,- -,28109000,31561000,155450000
38,PP&E,- -,12878000,10297000,10718000
39,Goodwill,- -,5717000,5717000,5717000
40,Intangible Assets,- -,9481000,8534000,4428000
41,Intangible Assets,- -,15198000,14251000,10145000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2606000,1165000,832000
45,Total Non-Current Assets,- -,30682000,25713000,21695000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,- -,58791000,57274000,177145000
48,Accounts Payable,- -,2267000,4446000,3590000
49,Short-Term Debt,- -,- -,6535000,- -
50,Tax Payable,- -,- -,- -,- -
51,Deferred Revenue,- -,14723000,17270000,30005000
52,Other Current Liabilities,- -,4024000,6090000,8314000
53,Total Current Liabilities,- -,21014000,34341000,41909000
54,Long-Term Debt,- -,34629000,41044000,- -
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,159539000,380350000,39431000
58,Total Non-Current Liabilities,- -,194168000,421394000,39431000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -
61,Total Liabilities,- -,215182000,455735000,81340000
62,Preferred Stock,- -,6707000,6707000,- -
63,Common Stock,- -,86000,86000,15000
