,https://roic.ai/company/GWGH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,17864880,17525798,29812374,30476575,39632252,68548031,63579577,-390291,92276000,124371000
2,COGS,9942024,13782000,25806492,31686434,39597980,54127670,69289193,97542965,143153000,- -
3,Gross Profit,7922856,3743798,4005882,-1209859,34272,14420361,-5709616,-97933256,-50877000,- -
4,Gross Profit Ratio,0.4435,0.2136,0.1344,-0.0397,0.0009,0.2104,-0.0898,250.9237,-0.5514,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1200137,1076694,1754209,2339235,3152783,3947376,5095643,12020177,23098000,30075000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,1856000,1612000,- -
8,"Selling, General and Administrative Exp.",3281682,3980067,6798057,7308871,11162803,15731672,19965392,13876177,24710000,187476000
9,Other Expenses,-435414,-416560,-1518587,-154202,-225670,-1107320,-2391073,3359487,3857000,-157401000
10,Operating Expenses,2846268,3563507,5279470,7154669,10937133,14624352,17574319,17235664,28567000,30075000
11,COGS and Expenses,12788292,17345507,31085962,38841103,50535113,68752022,86863512,114778629,171720000,- -
12,Interest Income ,- -,89055,298732,60448,251249,746466,1465174,13714281,- -,- -
13,Interest Expense (Gain),7860479,10878627,20762644,26716798,31587960,42343374,54419444,80135983,114844000,154616000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,20931000
15,EBITDA,9342040,11058918,22741456,18352270,20685099,43068686,31689850,-39315430,280886000,-56682000
16,EBITDA ratio,0.5229,0.6310,0.7628,0.6022,0.5219,0.6283,0.4984,100.7336,3.0440,-0.4557
17,Operating Income,5076588,180291,-1273588,-8364528,-10902861,-203991,-23283935,-115168920,-79444000,-224910000
18,Operating Income ratio,0.2842,0.0103,-0.0427,-0.2745,-0.2751,-0.0030,-0.3662,295.0847,-0.8609,-1.8084
19,Total Other Income Expenses (Gains),-3595027,- -,3252400,- -,- -,929303,554341,-4300000,-153000,- -
20,Income Before Tax,1481561,180291,1978812,-8364528,-10902861,725312,-22729594,-119468920,-79597000,-224910000
21,Income Before Tax Ratio,0.0829,0.0103,0.0664,-0.2745,-0.2751,0.0106,-0.3575,306.1022,-0.8626,-1.8084
22,Income Tax expense (Gain),4308217,1193190,2173767,-2401619,-3509587,333403,-2097371,- -,57933000,-16390000
23,Net Income,-2826656,-1012899,-194955,-5962909,-7393274,391909,-20632223,-119451413,108109000,-215839000
24,Net Income ratio,-0.1582,-0.0578,-0.0065,-0.1957,-0.1865,0.0057,-0.3245,306.0573,1.1716,-1.7354
25,EPS,-0.48,-0.44,-0.17,-1.24,-1.02,-0.26,-5.72,-22.32,2.76,-6.01
26,EPS Diluted,-0.48,-0.44,-0.17,-1.24,-1.02,-0.26,-5.72,-22.32,2.65,-6.01
27,Weighted Average Shares Outstanding,5870168,5870168,5870168,4909657,5906761,5967274,5826033,6098208,33016007,28063268
28,Weighted Average Shares Outstanding Diluted,5870168,5870168,5870168,4909657,5906761,5967274,5826033,6098208,35219442,28063268
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1522690/000121390013001479/0001213900-13-001479-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000121390014001557/f10k2013_gwgholdingsinc.htm,https://www.sec.gov/Archives/edgar/data/1522690/000121390015001762/f10k2014_gwgholdings.htm,https://www.sec.gov/Archives/edgar/data/1522690/000121390016011794/0001213900-16-011794-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000121390017002381/0001213900-17-002381-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000121390018003608/0001213900-18-003608-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000121390019012331/f10k2018_gwgholdings.htm,https://www.sec.gov/Archives/edgar/data/1522690/000121390020007722/0001213900-20-007722-index.html,https://www.sec.gov/Archives/edgar/data/1522690/000152269021000008/0001522690-21-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,1878349,27497044,33449793,30662704,34425105,78486982,114421491,114587084,79073000,85249000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1878349,27497044,33449793,30662704,34425105,78486982,114421491,114587084,79073000,85249000
34,Net Receivables,2265,2858613,- -,1750000,- -,5345000,16658761,201229561,351696000,14334000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,4794302,2093092,5832970,4296053,2341900,43529743,30011459,10849126,20258000,-85249000
37,Total Current Assets,6674916,32448749,39282763,36708757,36767005,127361725,161091711,326665771,451027000,14334000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,1912000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,2358005000,2367750000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,3400000,3449000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,2361405000,2371199000
42,Investments,122168524,164317183,234672794,282883010,356649715,511192354,650527353,1108764116,797800000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,545835,1182103,1424919,3478762,4749027,4688103,7237110,45437164,23062000,- -
45,Total Non-Current Assets,122714359,165499286,236097713,286361772,361398742,515880457,657764463,1154201280,3184179000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3550623000
47,Total Assets,129389275,197948035,275380476,323070529,398165747,643242182,818856174,1480867051,3635206000,3564957000
48,Accounts Payable,435768,470059,839869,1203575,1517440,2226712,6394439,9276507,27836000,- -
49,Short-Term Debt,- -,71000000,79000000,72161048,65011048,156064818,212238192,148977596,327476000,153086000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,62856174,4768819,7713491,11642954,13400847,17837360,19158232,23260463,16516000,- -
53,Total Current Liabilities,63291942,76238878,87553360,85007577,79929335,176128890,237790863,181514566,371828000,153086000
54,Long-Term Debt,48179271,93563661,160921264,210399462,300312030,397717423,447393568,1018294603,1293530000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,41444000,- -
56,Deferred Tax Liabilities,4308217,5501407,7675174,5273555,1763968,2097371,- -,- -,57923000,51469000
