,https://roic.ai/company/VNE,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,1588600000,2218000000,2322200000,2228000000,1902000000,1373000000,1657000000
2,COGS,1310200000,1795000000,1856600000,1798000000,1591000000,1191000000,1384000000
3,Gross Profit,278400000,423000000,465600000,430000000,311000000,182000000,273000000
4,Gross Profit Ratio,0.1752,0.1907,0.2005,0.1930,0.1635,0.1326,0.1648
5,Research and Development Exp.,213600000,300000000,375400000,444000000,530000000,-407000000,424000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,-165000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,-165000000,159000000
9,Other Expenses,73200000,149000000,138700000,183000000,241000000,- -,47000000
10,Operating Expenses,286800000,449000000,514100000,627000000,771000000,-572000000,630000000
11,COGS and Expenses,1597000000,2244000000,2370700000,2425000000,2362000000,619000000,2014000000
12,Interest Income ,- -,- -,300000,7000000,20000000,9000000,3000000
13,Interest Expense (Gain),300000,- -,300000,1000000,12000000,20000000,21000000
14,Depreciation and Amortization,53100000,106000000,118800000,111000000,115000000,103000000,114000000
15,EBITDA,45200000,91000000,-67800000,-122000000,-372000000,-453000000,-234000000
16,EBITDA ratio,0.0285,0.0410,-0.0292,-0.0548,-0.1956,-0.3299,-0.1412
17,Operating Income,-8400000,-25000000,-282700000,-197000000,-460000000,-367000000,-357000000
18,Operating Income ratio,-0.0053,-0.0113,-0.1217,-0.0884,-0.2419,-0.2673,-0.2154
19,Total Other Income Expenses (Gains),200000,3000000,-31500000,-56000000,-61000000,-145000000,-12000000
20,Income Before Tax,-8200000,-22000000,-314200000,-253000000,-521000000,-512000000,-369000000
21,Income Before Tax Ratio,-0.0052,-0.0099,-0.1353,-0.1136,-0.2739,-0.3729,-0.2227
22,Income Tax expense (Gain),21800000,38000000,30100000,42000000,1000000,-32000000,16000000
23,Net Income,-30000000,-53000000,-217000000,-276000000,-500000000,-544000000,-385000000
24,Net Income ratio,-0.0189,-0.0239,-0.0934,-0.1239,-0.2629,-0.3962,-0.2323
25,EPS,-0.34,-0.61,-2.50,-3.17,-4.92,-4.89,-3.45
26,EPS Diluted,-0.34,-0.61,-2.50,-3.17,-4.92,-4.89,-3.45
27,Weighted Average Shares Outstanding,87000000,87000000,87000000,87160000,101620000,111560000,111560000
28,Weighted Average Shares Outstanding Diluted,87000000,87000000,87000000,87160000,101620000,111560000,111560000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1733186/000173318619000044/0001733186-19-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1733186/000173318620000032/0001733186-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/1733186/000173318621000039/0001733186-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1733186/000173318622000012/0001733186-22-000012-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,864000000,859000000,758000000,423000000
32,Short-Term Investments,- -,- -,- -,5000000,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,869000000,859000000,758000000,423000000
34,Net Receivables,- -,445000000,460500000,448000000,264000000,301000000,273000000
35,Inventory,- -,164400000,154200000,172000000,144000000,134000000,192000000
36,Other Current Assets,- -,39500000,34000000,54000000,382000000,51000000,53000000
37,Total Current Assets,- -,648900000,648700000,1543000000,1649000000,1244000000,941000000
38,PP&E,- -,327100000,361900000,499000000,573000000,520000000,448000000
39,Goodwill,- -,490100000,291700000,291000000,290000000,317000000,316000000
40,Intangible Assets,- -,163000000,122200000,102000000,17000000,21000000,13000000
41,Intangible Assets,- -,653100000,413900000,393000000,307000000,338000000,329000000
42,Investments,- -,- -,97700000,109000000,96000000,153000000,- -
43,Tax Assets,- -,19100000,30400000,13000000,13000000,6000000,6000000
44,Other Non-Current Assets,- -,90900000,109900000,75000000,105000000,27000000,26000000
45,Total Non-Current Assets,- -,1090200000,1013800000,1089000000,1094000000,1044000000,809000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1739100000,1662500000,2632000000,2743000000,2288000000,1750000000
48,Accounts Payable,- -,318200000,322800000,369000000,233000000,257000000,281000000
49,Short-Term Debt,- -,3500000,- -,1000000,3000000,16000000,- -
50,Tax Payable,- -,31600000,41300000,9000000,7000000,25000000,5000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,254200000,267200000,266000000,355000000,314000000,284000000
53,Total Current Liabilities,- -,575900000,590000000,636000000,591000000,587000000,565000000
54,Long-Term Debt,- -,11100000,62200000,13000000,193000000,402000000,284000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,13000000,13000000,12000000,16000000
57,Other Non-Current Liabilities,- -,63000000,53200000,144000000,217000000,48000000,32000000
58,Total Non-Current Liabilities,- -,74100000,115400000,170000000,423000000,462000000,332000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,115000000,117000000,105000000
61,Total Liabilities,- -,650000000,705400000,806000000,1014000000,1049000000,897000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,87000000,111000000,111000000,112000000
64,Retained Earnings,- -,- -,- -,-181000000,-681000000,-1226000000,-1611000000
65,Other Comprehensive Income/Loss,- -,-29300000,-8300000,-19000000,-44000000,5000000,-8000000
66,Other Total Stockholders Equity,- -,1408900000,1373300000,1939000000,2343000000,2349000000,- -
67,Total Stockholders Equity,- -,847400000,835600000,1826000000,1729000000,1239000000,853000000
68,Total Liabilities And Stockholders Equity,- -,1497400000,1541000000,2632000000,2743000000,2288000000,1750000000
69,Minority Interest,- -,241700000,121500000,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1739100000,1662500000,2632000000,2743000000,2288000000,1750000000
