,https://roic.ai/company/MXC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,798589,1453124,2090117,1510005,1686266,3099966,1778583,2949113,2915355,2969826,3719643,2971717,3899408,4925993,3245756,3161858,3240039,3096415,4041941,3390005,2421792,2525363,2705235,2686873,2738540,2799004
2,COGS,272892,346765,663525,644563,- -,- -,- -,- -,- -,- -,- -,- -,- -,1195584,1054224,1025932,926215,2182468,2383296,2663682,2716799,2055880,1950866,1738825,1768450,1778324
3,Gross Profit,525697,1106359,1426592,865442,- -,- -,- -,- -,- -,- -,- -,- -,- -,3730409,2191532,2135926,2313824,913947,1658645,726323,-295007,469483,754369,948048,970090,1020680
4,Gross Profit Ratio,0.6583,0.7614,0.6825,0.5731,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7573,0.6752,0.6755,0.7141,0.2952,0.4104,0.2143,-0.1218,0.1859,0.2789,0.3528,0.3542,0.3647
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,236576,218991,314397,429240,532496,529834,658360,817332,829180,821786,905334,902183,911919,986941,1028846,1136939,1239750,1155183,976392,955147,911927,1006531,833431
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,236576,218991,314397,429240,532496,529834,658360,817332,829180,821786,905334,902183,911919,986941,1028846,1136939,1239750,1155183,976392,955147,911927,1006531,833431
9,Other Expenses,348876,590853,3001148,909965,968891,903793,1097242,1490340,1599782,1387236,1787345,1547661,2046185,1046120,1113141,1047906,996205,39376,44366,27932,35155,35743,31460,27775,27235,28548
10,Operating Expenses,348876,590853,3001148,1146541,1187882,1218190,1526482,2022836,2129616,2045596,2604677,2376841,2867971,1951454,2015324,1959825,1983146,1068222,1181305,1267682,1190338,1012135,986607,939702,1033766,861979
11,COGS and Expenses,621768,937618,3664673,1791104,1187882,1218190,1526482,2022836,2129616,2045596,2604677,2376841,2867971,3147038,3069548,2985757,2909361,3250690,3564601,3931364,3907137,3068015,2937473,2678527,2802216,2640303
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1838,478,360,195,229,172,45,575,225,286,639,1854,706
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81961,33082,36361,28840,53832,65387,99240,171375,152126,89537,21931,37656,53232
14,Depreciation and Amortization,262392,477830,2808753,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,906361
15,EBITDA,474697,993332,1115527,-425774,393647,1789616,197395,830921,600706,850136,1060945,580335,931238,1780793,176686,176461,330873,-154046,378250,-439245,-4469180,-542427,-231952,8985,-61822,1115525
16,EBITDA ratio,0.5944,0.6836,0.5337,-0.2820,0.2334,0.5773,0.1110,0.2818,0.2060,0.2863,0.2852,0.1953,0.2388,0.3615,0.0544,0.0558,0.1021,-0.0497,0.0936,-0.1296,-1.8454,-0.2148,-0.0857,0.0033,-0.0226,0.3985
17,Operating Income,176821,515506,-1574556,-281099,498384,1881776,252101,926277,785739,924230,1114966,594876,1031437,1778955,176208,176101,330678,-154275,477340,-541359,-4469755,-542652,-232238,8346,-63676,158701
18,Operating Income ratio,0.2214,0.3548,-0.7533,-0.1862,0.2956,0.6070,0.1417,0.3141,0.2695,0.3112,0.2998,0.2002,0.2645,0.3611,0.0543,0.0557,0.1021,-0.0498,0.1181,-0.1597,-1.8456,-0.2149,-0.0858,0.0031,-0.0233,0.0567
19,Total Other Income Expenses (Gains),35484,-4,-118670,-144675,- -,-92160,-54706,-95356,-82766,-74094,-54021,-14541,-100199,-80123,-32604,-36001,-28645,-53603,-164477,2874,-170800,-151901,-89251,-21292,-35802,-2769
20,Income Before Tax,212305,515502,-1693226,-425774,- -,1789616,197395,830921,702973,850136,1060945,580335,931238,1698832,143604,140100,302033,-207878,312863,-538485,-4640555,-694553,-321489,-12946,-99478,155932
21,Income Before Tax Ratio,0.2659,0.3548,-0.8101,-0.2820,- -,0.5773,0.1110,0.2818,0.2411,0.2863,0.2852,0.1953,0.2388,0.3449,0.0442,0.0443,0.0932,-0.0671,0.0774,-0.1588,-1.9162,-0.2750,-0.1188,-0.0048,-0.0363,0.0557
22,Income Tax expense (Gain),11699,137635,-369569,- -,- -,250158,8104,158113,170860,272609,272140,-28050,217594,528262,-257235,-15596,-27960,-31504,11750,-197499,-660870,- -,- -,- -,- -,- -
23,Net Income,200606,377867,-1323657,-425774,393647,1539458,189291,672808,429846,577527,788805,608385,713644,1170570,400839,155696,329993,-176374,301113,-340986,-3979685,-694553,-321489,-12946,-99478,155932
24,Net Income ratio,0.2512,0.2600,-0.6333,-0.2820,0.2334,0.4966,0.1064,0.2281,0.1474,0.1945,0.2121,0.2047,0.1830,0.2376,0.1235,0.0492,0.1018,-0.0570,0.0745,-0.1006,-1.6433,-0.2750,-0.1188,-0.0048,-0.0363,0.0557
25,EPS,0.14,0.25,-0.75,-0.24,0.22,0.86,0.11,0.39,0.25,0.33,0.45,0.35,0.40,0.63,0.21,0.08,0.16,-0.09,0.15,-0.17,-1.95,-0.34,-0.16,-0.01,-0.05,0.08
26,EPS Diluted,0.14,0.25,-0.75,-0.24,0.22,0.86,0.11,0.39,0.24,0.32,0.43,0.33,0.40,0.61,0.21,0.08,0.16,-0.09,0.15,-0.17,-1.95,-0.34,-0.16,-0.01,-0.05,0.08
27,Weighted Average Shares Outstanding,1476890,1565551,1754227,1785617,1785617,1784824,1768314,1741462,1736047,1750082,1752900,1738243,1767777,1846394,1888070,1947605,2028014,2036959,2036950,2038250,2037266,2037266,2037266,2039412,2040166,2050678
28,Weighted Average Shares Outstanding Diluted,1476890,1565551,1754227,1785617,1785617,1787503,1768579,1746831,1802300,1804772,1834430,1843591,1773049,1934235,1929588,1962656,2036241,2036959,2042184,2038250,2037266,2037266,2037266,2039412,2040166,2062070
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66418/000006641899000008/0000066418-99-000008-index.html,https://www.sec.gov/Archives/edgar/data/66418/000006641800000005/0000066418-00-000005-index.html,https://www.sec.gov/Archives/edgar/data/66418/000006641801500004/0000066418-01-500004-index.html,https://www.sec.gov/Archives/edgar/data/66418/000101270902000969/0001012709-02-000969-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/66418/000114420405020255/0001144204-05-020255-index.htm,- -,https://www.sec.gov/Archives/edgar/data/66418/000114420407034489/0001144204-07-034489-index.html,https://www.sec.gov/Archives/edgar/data/66418/000114420408036395/0001144204-08-036395-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834409000642/0001398344-09-000642-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834410000852/0001398344-10-000852-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834411001386/0001398344-11-001386-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834412002115/0001398344-12-002115-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834413003018/0001398344-13-003018-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834414003336/0001398344-14-003336-index.html,https://www.sec.gov/Archives/edgar/data/66418/000139834415004031/0001398344-15-004031-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315216011127/0001493152-16-011127-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315217007227/0001493152-17-007227-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315218009240/0001493152-18-009240-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315219009604/0001493152-19-009604-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315220011905/0001493152-20-011905-index.html,https://www.sec.gov/Archives/edgar/data/66418/000149315221015272/0001493152-21-015272-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,97712,378816,44958,68547,92795,85209,52768,72537,303617,223583,160439,179071,498681,166406,156082,96084,34013,73451,492610,128252,34381,57813
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,97712,378816,44958,68547,92795,85209,52768,72537,303617,223583,160439,179071,498681,166406,156082,96084,34013,73451,492610,128252,34381,57813
34,Net Receivables,- -,- -,- -,- -,280296,498350,383454,581389,400003,443709,429542,402646,873521,517561,601954,426647,363595,555341,646242,449069,278025,395158,832240,380021,284697,651786
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,15789,74342,24124,10043,32382,7362,75576,125722,22062,36610,17161,64479,16782,19281,28804,44618,43284,36325,47583,53735,50188,47895
37,Total Current Assets,- -,- -,- -,- -,393797,951508,452536,659979,525180,536280,557886,600905,1199200,777754,779554,670197,879058,741028,831128,589771,355322,504934,1372433,562008,369266,757494
