,https://roic.ai/company/BDTX,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -
5,Research and Development Exp.,3453000,6950000,21753000,48209000,96829
6,General and Administrative Exp.,666000,1954000,7579000,21361000,30043
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",666000,1954000,7579000,21361000,30043
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,4119000,8904000,29332000,69570000,126872
11,COGS and Expenses,4119000,8904000,29332000,69570000,- -
12,Interest Income ,- -,4000,461000,4041000,3464
13,Interest Expense (Gain),65000,- -,- -,1000,- -
14,Depreciation and Amortization,24000,44000,47000,52000,- -
15,EBITDA,-4101000,-8872000,-22892000,-67201000,-126872
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-4119000,-8904000,-29332000,-69570000,-126872000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),-483000,-27000,-5926000,2316000,126746404
20,Income Before Tax,-4602000,-8931000,-35258000,-67254000,-125596
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,-4602000,-8931000,-35258000,-67254000,-125596
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.64,-1.24,-1.08,-2.05,-3.47
26,EPS Diluted,-0.64,-1.24,-1.08,-2.05,-3.47
27,Weighted Average Shares Outstanding,7195862,7195862,32636442,32907100,36189002
28,Weighted Average Shares Outstanding Diluted,7195862,7195862,32636442,32907100,36189002
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1701541/000170154120000009/0001701541-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1701541/000170154121000018/0001701541-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1701541/000170154122000007/0001701541-22-000007-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,7878000,51660000,154666000,34605000,65799
32,Short-Term Investments,- -,- -,- -,280462000,- -
33,Cash and Short-Term Investments,7878000,51660000,154666000,315067000,65799
34,Net Receivables,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,36000,24000,1048000,4487000,149904
37,Total Current Assets,7914000,51684000,155714000,319554000,215703
38,PP&E,102000,134000,164000,8787000,30740
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,143987
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5000,8000,2417000,1329000,-142748
45,Total Non-Current Assets,107000,142000,2581000,10116000,31979
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,8021000,51826000,158295000,329670000,247682
48,Accounts Payable,152000,416000,1964000,2538000,4107
49,Short-Term Debt,- -,- -,- -,1047000,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,2078000,2159000,2899000,10633000,19535
53,Total Current Liabilities,2230000,2575000,4863000,14218000,23642
54,Long-Term Debt,- -,- -,- -,7694000,28140
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,12466000,64793000,200589000,- -,- -
58,Total Non-Current Liabilities,12466000,64793000,200589000,7694000,28140
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,8741000,- -
61,Total Liabilities,14696000,67368000,205452000,21912000,51782
62,Preferred Stock,12458000,60770000,200573000,- -,- -
63,Common Stock,1000,1000,1000,5000,5
64,Retained Earnings,-6781000,-15712000,-50970000,-118224000,-243820
65,Other Comprehensive Income/Loss,-56000,-100000,-112000,614000,-414
66,Other Total Stockholders Equity,-12297000,-60501000,-196649000,425363000,440129
67,Total Stockholders Equity,-6675000,-15542000,-47157000,307758000,195900
68,Total Liabilities And Stockholders Equity,8021000,51826000,158295000,329670000,247682
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8021000,51826000,158295000,329670000,247682
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1701541/000170154120000009/0001701541-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1701541/000170154121000018/0001701541-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1701541/000170154122000007/0001701541-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-4602000,-8931000,-35258000,-67254000,-125596
74,Depreciation and Amortization,24000,44000,47000,52000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,5000,64000,3643000,7765000,- -
77,Change in Working Capital,1744000,43425000,101742000,154485000,-305143939
78,Accounts Receivable,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-59000,264000,1454000,1069000,- -
81,Other Working Capital,5684000,49109000,150851000,305336000,192061
82,Other Non-Cash Items,478000,-43056000,-94848000,-147194000,305269535
83,Cash Provided by Operating Activities,-2351000,-8454000,-24674000,-52146000,- -
84,CAPEX,-77000,-76000,-21000,-142000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-372477000,- -
87,Sales/Maturities of Investments,- -,- -,- -,90928000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-77000,-76000,-21000,-281691000,- -
90,Debt Repayment,-50000,- -,- -,- -,- -
91,Common Stock Issued,100000,- -,- -,213844000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,9924000,52312000,127756000,1100000,- -
95,Cash Used/Provided by Financing Activities,9974000,52312000,127756000,214944000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,7546000,43782000,103061000,-118893000,- -
98,Cash at the End of Period,7878000,51660000,154721000,35828000,- -
99,Cash at the Beginning of Period,332000,7878000,51660000,154721000,35828000
100,Free Cash Flow,-2428000,-8530000,-24695000,-52288000,- -
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1701541/000170154120000009/0001701541-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1701541/000170154121000018/0001701541-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1701541/000170154122000007/0001701541-22-000007-index.htm
102,false,,,,,
