,https://roic.ai/company/FCPT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,16524000,16907000,17695000,33456000,124018000,133209000,143635000,160233000,170944000,199378000
2,COGS,13669000,16127000,14774000,16996000,17853000,18652000,19014000,21211000,19590000,29603000
3,Gross Profit,2855000,780000,2921000,16460000,106165000,114557000,124621000,139022000,151354000,169775000
4,Gross Profit Ratio,0.1728,0.0461,0.1651,0.4920,0.8560,0.8600,0.8676,0.8676,0.8854,0.8515
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,1856000,10977000,12259000,13639000,13934000,15046000,17650000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,1856000,10977000,12259000,13639000,13934000,15046000,17650000
9,Other Expenses,3035000,875000,3031000,3758000,20577000,21811000,23884000,26312000,29433000,34826000
10,Operating Expenses,3035000,875000,3031000,5614000,31554000,34070000,37523000,40246000,44479000,52476000
11,COGS and Expenses,16704000,17002000,17805000,22610000,49407000,52722000,56537000,61457000,64069000,82079000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,2203000,14828000,19469000,19959000,26516000,29231000,32555000
14,Depreciation and Amortization,881000,875000,863000,3758000,20577000,21811000,22354000,26312000,29433000,34826000
15,EBITDA,701000,780000,753000,14604000,111867000,112656000,124973000,125709000,136243000,152428000
16,EBITDA ratio,0.0424,0.0461,0.0426,0.4365,0.9020,0.8457,0.8701,0.7845,0.7970,0.7645
17,Operating Income,-180000,95000,-110000,10846000,59783000,61018000,- -,- -,- -,- -
18,Operating Income ratio,-0.0109,0.0056,-0.0062,0.3242,0.4821,0.4581,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-190000,- -,-2203000,16720000,10856000,-3907000,-25572000,-29061000,-1068000
20,Income Before Tax,-180000,-95000,-110000,8643000,76503000,71874000,83191000,73204000,77814000,85211000
21,Income Before Tax Ratio,-0.0109,-0.0056,-0.0062,0.2583,0.6169,0.5396,0.5792,0.4569,0.4552,0.4274
22,Income Tax expense (Gain),-141000,-124000,-142000,2944000,-80347000,-18000,262000,265000,247000,-534000
23,Net Income,-39000,29000,32000,5699000,156809000,71394000,82398000,72616000,77332000,85581000
24,Net Income ratio,-0.0024,0.0017,0.0018,0.1703,1.2644,0.5360,0.5737,0.4532,0.4524,0.4292
25,EPS,-0.00,0.00,0.00,0.92,3.02,1.18,1.29,1.06,1.08,1.12
26,EPS Diluted,-0.00,0.00,0.00,0.91,2.89,1.18,1.28,1.06,1.08,1.12
27,Weighted Average Shares Outstanding,42443994,42443994,42443994,6206375,56984561,60627423,64041255,68430841,71312326,76250614
28,Weighted Average Shares Outstanding Diluted,42443994,42443994,42443994,6263921,59568067,60695834,64388929,68632010,71609068,76360526
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1650132/000165013216000041/0001650132-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013217000002/0001650132-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013218000025/0001650132-18-000025-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013219000029/0001650132-19-000029-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013220000031/0001650132-20-000031-index.html,https://www.sec.gov/Archives/edgar/data/1650132/000165013221000026/0001650132-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1650132/000165013222000026/0001650132-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,- -,7000,7000,98073000,26643000,64466000,92041000,5083000,11064000,6300000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,7000,7000,98073000,26643000,64466000,92041000,5083000,11064000,6300000
34,Net Receivables,- -,- -,- -,70000,162000,21513000,30923000,39730000,1035000,1312000
35,Inventory,- -,165000,113000,198000,202000,186000,183000,196000,2946000,252000
36,Other Current Assets,- -,52000,62000,689000,1331000,6906000,3818000,5064000,4293000,4424000
37,Total Current Assets,- -,224000,182000,99030000,28338000,93071000,126965000,50073000,19338000,12288000
38,PP&E,- -,12545000,11722000,828691000,894258000,966109000,- -,3810000,5397000,4919000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,1772000,3874000,18998000,57917000,96291000,104251000
41,Intangible Assets,- -,- -,- -,- -,1772000,3874000,18998000,57917000,96291000,104251000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,31000,38000,- -,- -,- -,- -,- -,- -,864000
44,Other Non-Current Assets,- -,7000,7000,1716000,12783000,5605000,1197135000,1334270000,1547153000,1780658000
45,Total Non-Current Assets,- -,12583000,11767000,830407000,908813000,975588000,1216133000,1395997000,1648841000,1890692000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,12807000,11949000,929437000,937151000,1068659000,1343098000,1446070000,1668179000,1902980000
48,Accounts Payable,- -,432000,450000,922000,726000,1055000,986000,799000,376000,550000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,407000,407000,2008000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,7940000,7974000,8295000,- -,- -,11926000,11311000
52,Other Current Liabilities,- -,778000,885000,-4973000,8438000,10326000,21652000,23293000,25878000,29007000
53,Total Current Liabilities,- -,1210000,1335000,3889000,17138000,19676000,22638000,24092000,38180000,40868000
54,Long-Term Debt,- -,- -,- -,392302000,438895000,515539000,615892000,669940000,759936000,883208000
55,Deferred Revenue,- -,406000,484000,7940000,7974000,8295000,1609000,10463000,11926000,- -
56,Deferred Tax Liabilities,- -,1220000,1033000,80881000,196000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,99000,99000,2783000,2831000,2881000,3995000,14834000,13636000,15012000
58,Total Non-Current Liabilities,- -,1725000,1616000,483906000,449896000,526715000,621496000,695237000,785498000,898220000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,4403000,6058000,5617000
61,Total Liabilities,- -,2935000,2951000,487795000,467034000,546391000,644134000,719329000,823678000,939088000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,4000,6000,6000,7000,7000,8000,8000
64,Retained Earnings,- -,- -,- -,5257000,25943000,36318000,46018000,38401000,26672000,12753000
65,Other Comprehensive Income/Loss,- -,-3026000,-3860000,-316000,207000,4478000,5956000,-3539000,-25695000,-9824000
66,Other Total Stockholders Equity,- -,12898000,12858000,436697000,438864000,473685000,639116000,686181000,840455000,958737000
67,Total Stockholders Equity,- -,9872000,8998000,441642000,465020000,514487000,691097000,721050000,841440000,961674000
