,https://roic.ai/company/PSEC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,8093000,16869000,40681000,79402000,100481000,113635000,169476000,204089000,244896000,345689000,378739000,137183000,283628000,326060000,178116000,37102000,1023848000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,100481000,113635000,169476000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,191000,3801000,4421000,7772000,7919000,7408000,11606000,13185000,17540000,30869000,29895000,31526000,31822000,26197000,33629000,32501000,29763000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",191000,3801000,4421000,7772000,7919000,7408000,11606000,13185000,17540000,30869000,29895000,31526000,31822000,26197000,33629000,32501000,29763000
9,Other Expenses,5491000,4510000,11226000,26517000,27238000,30542000,46051000,- -,6500000,-4200000,2505000,2295000,-1100000,- -,- -,20825000,30278000
10,Operating Expenses,5682000,8311000,15647000,34289000,35157000,37950000,57657000,13185000,24040000,26669000,32400000,33821000,30722000,26197000,33629000,53326000,60041000
11,COGS and Expenses,5682000,8311000,15647000,34289000,35157000,37950000,57657000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,12367000,30084000,59033000,62926000,86518000,134454000,219536000,435455000,613741000,748974000,738471000,674264000,614664000,643610000,585977000,554263000
13,Interest Expense (Gain),- -,642000,1903000,6318000,6161000,8382000,17598000,38534000,76341000,130103000,170660000,167719000,164848000,155039000,157231000,127543000,123851000
14,Depreciation and Amortization,- -,-910000,1264000,727000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,8751000,12628000,19895000,34636000,41265000,27268000,135836000,229438000,297197000,449123000,516999000,271081000,417754000,454902000,301718000,111319000,1087658000
16,EBITDA ratio,1.0813,0.7486,0.4890,0.4362,0.4107,0.2400,0.8015,1.1242,1.2136,1.2992,1.3651,1.9761,1.4729,1.3951,1.6939,3.0004,1.0623
17,Operating Income,2411000,8558000,25034000,45113000,59163000,66451000,94221000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.2979,0.5073,0.6154,0.5682,0.5888,0.5848,0.5560,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,-17522000,-24059000,-48417000,24017000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,- -,- -,- -,- -,- -,118238000,190904000,220856000,319020000,346339000,103362000,252906000,299863000,144487000,-16224000,963807000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,0.6977,0.9354,0.9018,0.9229,0.9145,0.7535,0.8917,0.9197,0.8112,-0.4373,0.9414
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,8751000,12896000,16728000,27591000,35104000,18886000,118238000,190904000,220856000,319020000,346339000,103362000,252906000,299863000,144487000,-16224000,963807000
24,Net Income ratio,1.0813,0.7645,0.4112,0.3475,0.3494,0.1662,0.6977,0.9354,0.9018,0.9229,0.9145,0.7535,0.8917,0.9197,0.8112,-0.4373,0.9414
25,EPS,1.24,1.83,1.06,1.17,1.11,0.32,1.38,1.67,1.07,1.06,0.98,0.29,0.70,0.83,0.39,-0.04,2.52
26,EPS Diluted,1.24,1.83,1.06,1.17,1.11,0.32,1.38,1.67,1.07,1.06,0.98,0.29,0.70,0.83,0.39,-0.04,2.52
27,Weighted Average Shares Outstanding,7182609,7046995,15724095,23626642,31559905,59429222,85978757,114394554,207069971,300962264,353648522,356134297,361294286,361280723,370479487,405600000,381784127
28,Weighted Average Shares Outstanding Diluted,7182609,7046995,15724095,23626642,31559905,59429222,85978757,114394554,207069971,300962264,353648522,356134297,361294286,361280723,370479487,405600000,381784127
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1287032/000120677407002222/0001206774-07-002222-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000120677408001545/0001206774-08-001545-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000120677409001749/0001206774-09-001749-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000095012310082231/0000950123-10-082231-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000104746911007720/0001047469-11-007720-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000104746912008467/0001047469-12-008467-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000104746913008570/0001047469-13-008570-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703214000128/0001287032-14-000128-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703215000229/0001287032-15-000229-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703216000661/0001287032-16-000661-index.htm,https://www.sec.gov/Archives/edgar/data/1287032/000128703217000232/0001287032-17-000232-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703218000316/0001287032-18-000316-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703219000284/0001287032-19-000284-index.html,https://www.sec.gov/Archives/edgar/data/1287032/000128703220000290/0001287032-20-000290-index.htm,https://www.sec.gov/Archives/edgar/data/1287032/000128703221000413/0001287032-21-000413-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,9587000,- -,- -,555000,9942000,1081000,1492000,2825000,59974000,134225000,110026000,317798000,318083000,83758000,107098000,44561000,63610000
32,Short-Term Investments,64366000,135577000,369982000,- -,- -,68871000,59903000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,73953000,135577000,369982000,555000,9942000,69952000,61395000,2825000,59974000,134225000,110026000,317798000,318083000,83758000,107098000,44561000,63610000
34,Net Receivables,407000,2054000,4298000,8980000,4161000,5776000,9536000,15003000,27260000,24584000,23293000,12295000,10497000,24767000,29830000,12881000,25491000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,7019000,371000,101000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,21122000,76099000,71032000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,93866000,135577000,369982000,530530000,645903000,817354000,1522913000,2212590000,4316114000,6253739000,6609558000,5897708000,5838305000,5727279000,5653553000,5232328000,6201778000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,-60758000,-44628000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,645903000,756596000,1478285000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
46,Other Assets,103909000,138480000,376502000,541778000,- -,- -,- -,2255254000,4448217000,6477269000,6798054000,6276707000,6172789000,5838820000,5800063000,5300163000,6303092000
47,Total Assets,103909000,138480000,376502000,541778000,667025000,832695000,1549317000,2255254000,4448217000,6477269000,6798054000,6276707000,6172789000,5838820000,5800063000,5300163000,6303092000
48,Accounts Payable,- -,- -,- -,97808000,6713000,- -,- -,14180000,51683000,75302000,69582000,70562000,68635000,55606000,56132000,51478000,50672000
49,Short-Term Debt,- -,28500000,- -,- -,124800000,100300000,84200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,2916000,21710000,28260000,181620000,544817000,102698000,410387000,62763000,107007000,64358000,54761000,55157000,- -
53,Total Current Liabilities,- -,28500000,- -,- -,134429000,122010000,112460000,195800000,596500000,178000000,479969000,133325000,175642000,119964000,110893000,106635000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,322500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2232969000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,547500000,1195200000,2681100000,2615036000,2666939000,2642195000,2311809000,2382895000,2137667000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,322500000,547500000,1195200000,2681100000,2615036000,2666939000,2642195000,2311809000,2382895000,2137667000,2232969000
59,Other Liabilities,942000,1710000,76454000,112155000,- -,- -,- -,- -,2390423000,- -,- -,5374404000,- -,- -,- -,- -,4590544000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,942000,30210000,76454000,112155000,134429000,122010000,434960000,743280000,1791723000,2859087000,3095005000,2840790000,2817837000,2431773000,2493788000,2244302000,2357575000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137040000
63,Common Stock,7000,7000,20000,30000,43000,69000,108000,140000,248000,343000,359000,357000,360000,364000,367000,374000,388000
64,Retained Earnings,-337000,620000,-4092000,1508000,24152000,-10431000,-21638000,23667000,77084000,42086000,-21077000,-3623000,-54039000,-45186000,-733964000,-1015387000,-232659000
65,Other Comprehensive Income/Loss,6342000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,107643000,304120000,428085000,508401000,721047000,1135887000,1488167000,2579162000,3575753000,3723767000,3439183000,3408631000,3451869000,4039872000,4070874000,4040748000
