,https://roic.ai/company/PFGC,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2605468000,3237248000,4438383000,5519811000,6148923000,5721372000,5826732000,6304892000,- -,- -,- -,- -,11505892000,12826500000,13685704000,15270000000,16104800000,16761800000,17619900000,19743500000,- -,30398900000
2,COGS,2253277000,2780128000,3717445000,4665275000,5229059000,4973966000,5052097000,5480346000,- -,- -,- -,- -,10101919000,11243800000,11988485000,13421700000,14094800000,14637000000,15327100000,17230500000,- -,26873700000
3,Gross Profit,352191000,457120000,720938000,854536000,919864000,747406000,774635000,824546000,- -,- -,- -,- -,1403973000,1582700000,1697219000,1848300000,2010000000,2124800000,2292800000,2513000000,- -,3525200000
4,Gross Profit Ratio,0.1352,0.1412,0.1624,0.1548,0.1496,0.1306,0.1329,0.1308,- -,- -,- -,- -,0.1220,0.1234,0.1240,0.1210,0.1248,0.1268,0.1301,0.1273,- -,0.1160
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,302176000,381135000,595240000,715806000,806918000,676928000,699525000,737378000,- -,- -,- -,- -,1293091000,1468000000,1581639000,1688200000,1807800000,1913800000,2039300000,2229700000,- -,3324500000
10,Operating Expenses,302176000,381135000,595240000,715806000,806918000,676928000,699525000,737378000,- -,- -,- -,- -,1293091000,1468000000,1581639000,1688200000,1807800000,1913800000,2039300000,2229700000,- -,3324500000
