,https://roic.ai/company/AVGR,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,8560000,12964000,11213000,10713000,19214000,9934000,7915000,9131000,8761000,10130000
2,COGS,4151000,8205000,6513000,6478000,14445000,13002000,6531000,6264000,6143000,6706000
3,Gross Profit,4409000,4759000,4700000,4235000,4769000,-3068000,1384000,2867000,2618000,3424000
4,Gross Profit Ratio,0.5151,0.3671,0.4192,0.3953,0.2482,-0.3088,0.1749,0.3140,0.2988,0.3380
5,Research and Development Exp.,15416000,15973000,11224000,15694000,15536000,11319000,6009000,5692000,5695000,5900000
6,General and Administrative Exp.,22848000,25758000,18503000,29231000,39950000,25120000,17442000,16534000,14327000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",22848000,25758000,18503000,29231000,39950000,25120000,17442000,16534000,14327000,15625000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,38264000,41731000,29727000,44925000,55486000,36439000,23451000,22226000,20022000,21525000
11,COGS and Expenses,42415000,49936000,36240000,51403000,69931000,49441000,29982000,28490000,26165000,28231000
12,Interest Income ,25000,11000,2000,40000,125000,108000,214000,288000,34000,3000
13,Interest Expense (Gain),6000,2934000,6016000,5167000,5524000,6299000,5692000,1480000,1692000,-1651000
14,Depreciation and Amortization,772000,1501000,1451000,1300000,1506000,1476000,1281000,890000,897000,687000
15,EBITDA,-33077000,-35455000,-24483000,-40877000,-49098000,-40957000,-20585000,-17080000,-16417000,-17414000
16,EBITDA ratio,-3.8641,-2.7349,-2.1834,-3.8156,-2.5553,-4.1229,-2.6008,-1.8706,-1.8739,-1.7191
17,Operating Income,-33855000,-36972000,-25027000,-40690000,-50717000,-42552000,-22067000,-19359000,-17404000,-18101000
18,Operating Income ratio,-3.9550,-2.8519,-2.2320,-3.7982,-2.6396,-4.2835,-2.7880,-2.1201,-1.9865,-1.7869
19,Total Other Income Expenses (Gains),- -,-2918000,-6923000,-6654000,-5411000,-6180000,-5491000,-91000,-1602000,- -
20,Income Before Tax,-33855000,-39890000,-31950000,-47344000,-56128000,-48732000,-27558000,-19450000,-19006000,- -
21,Income Before Tax Ratio,-3.9550,-3.0770,-2.8494,-4.4193,-2.9212,-4.9056,-3.4817,-2.1301,-2.1694,- -
22,Income Tax expense (Gain),9000,11000,14000,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-33864000,-39901000,-31964000,-47344000,-56128000,-48732000,-27558000,-19450000,-19006000,- -
24,Net Income ratio,-3.9561,-3.0778,-2.8506,-4.4193,-2.9212,-4.9056,-3.4817,-2.1301,-2.1694,- -
25,EPS,-27531.71,-32439.84,-25986.99,-35040.00,-27120.00,-14948.00,-668.00,-63.60,-9.20,-4.57
26,EPS Diluted,-27531.71,-32439.84,-25986.99,-35040.00,-27120.00,-14948.00,-668.00,-63.60,-9.20,-4.57
27,Weighted Average Shares Outstanding,1230,1230,1230,1420,2071,3260,53435,361950,2461550,4722000
28,Weighted Average Shares Outstanding Diluted,1230,1230,1230,1420,2071,3260,53435,361950,2461550,4722000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1506928/000110465915023450/0001104659-15-023450-index.htm,https://www.sec.gov/Archives/edgar/data/1506928/000110465916103101/0001104659-16-103101-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000110465917016428/0001104659-17-016428-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000110465918021543/0001104659-18-021543-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000143774919004223/0001437749-19-004223-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000143774920004451/0001437749-20-004451-index.html,https://www.sec.gov/Archives/edgar/data/1506928/000143774921005713/0001437749-21-005713-index.htm,https://www.sec.gov/Archives/edgar/data/1506928/000143774922006919/0001437749-22-006919-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,20617000,12221000,12316000,43059000,36096000,5389000,16410000,10943000,22185000,19497000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20617000,12221000,12316000,43059000,36096000,5389000,16410000,10943000,22185000,19497000
34,Net Receivables,1228000,1627000,2068000,2060000,3570000,1127000,1154000,1458000,1484000,1393000
35,Inventory,3517000,4741000,3991000,5405000,8462000,4295000,3422000,3912000,3876000,4601000
36,Other Current Assets,781000,1011000,562000,533000,662000,640000,635000,311000,350000,300000
37,Total Current Assets,26143000,19600000,18937000,51057000,48790000,11451000,21621000,16624000,27895000,25791000
38,PP&E,3991000,4858000,2608000,2822000,4555000,2950000,2078000,6517000,4790000,3274000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,190000,550000,3235000,225000,212000,687000,- -,684000,510000,420000
45,Total Non-Current Assets,4181000,5408000,5843000,3047000,4767000,3637000,2078000,7201000,5300000,3694000
