,https://roic.ai/company/BKSY,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,- -,- -,- -,34085000
2,COGS,- -,- -,- -,14306000
3,Gross Profit,- -,- -,- -,19779000
4,Gross Profit Ratio,- -,- -,- -,0.5803
5,Research and Development Exp.,- -,- -,- -,112000
6,General and Administrative Exp.,- -,264346,3136234,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,264346,3136234,86655000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,- -,264346,- -,86767000
11,COGS and Expenses,- -,264346,3136234,101073000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,5165000
14,Depreciation and Amortization,- -,- -,- -,14306
15,EBITDA,- -,-257867,-3139681,-238813694
16,EBITDA ratio,- -,-Infinity,-Infinity,-7.0064
17,Operating Income,- -,-264346,-3136234,-243993000
18,Operating Income ratio,- -,-Infinity,-Infinity,-7.1584
19,Total Other Income Expenses (Gains),- -,708514,1797074,- -
20,Income Before Tax,- -,444168,-1339160,-243993000
21,Income Before Tax Ratio,- -,Infinity,-Infinity,-7.1584
22,Income Tax expense (Gain),- -,93275,1361,1650000
23,Net Income,- -,350893,-1340521,-245643000
24,Net Income ratio,- -,Infinity,-Infinity,-7.2068
25,EPS,- -,-0.02,-0.18,-32.36
26,EPS Diluted,- -,-0.02,-0.18,-32.36
27,Weighted Average Shares Outstanding,- -,7591097,7591097,7591097
28,Weighted Average Shares Outstanding Diluted,- -,7591097,7591097,7591097
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1753539/000119312520065257/0001193125-20-065257-index.html,https://www.sec.gov/Archives/edgar/data/1753539/000119312521100894/0001193125-21-100894-index.htm,https://www.sec.gov/Archives/edgar/data/1753539/000175353922000020/0001753539-22-000020-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,42061,1083611,399516,165586000
32,Short-Term Investments,- -,- -,318041728,- -
