,https://roic.ai/company/PRPL,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,- -,285791000,428358000,648471000,726227000
2,COGS,- -,- -,111841000,173189000,239387000,343374000,431253000
3,Gross Profit,- -,- -,85018000,112602000,188971000,305097000,294974000
4,Gross Profit Ratio,- -,- -,Infinity,0.3940,0.4412,0.4705,0.4062
5,Research and Development Exp.,- -,- -,- -,2095000,3864000,5955000,6939000
6,General and Administrative Exp.,- -,2657000,2220000,23581000,26918000,39925000,72095000
7,Selling and Marketing Exp.,- -,- -,79139000,103820000,141975000,187991000,239290000
8,"Selling, General and Administrative Exp.",- -,2657000,81359000,127401000,168893000,227916000,311385000
9,Other Expenses,- -,- -,-79139000,- -,- -,34155000,-4016000
10,Operating Expenses,- -,2657000,2220000,129496000,172757000,268026000,314308000
11,COGS and Expenses,- -,2657000,2220000,302685000,412144000,611400000,745561000
12,Interest Income ,- -,330000,1036000,-3733000,-5180000,- -,- -
13,Interest Expense (Gain),- -,- -,107000,3733000,5180000,4654000,1872000
14,Depreciation and Amortization,- -,- -,- -,2195000,4308000,7899000,9473000
15,EBITDA,- -,-2657000,1316000,1606000,5861000,-27408000,14159000
16,EBITDA ratio,- -,-Infinity,Infinity,0.0056,0.0137,-0.0423,0.0195
17,Operating Income,- -,-2657000,-2220000,-16894000,16214000,71226000,-23350000
18,Operating Income ratio,- -,-Infinity,-Infinity,-0.0591,0.0379,0.1098,-0.0322
19,Total Other Income Expenses (Gains),- -,330000,3429000,-2720000,-28193000,-104100000,26004000
20,Income Before Tax,- -,-2327000,1209000,-19614000,-11979000,-32874000,2654000
21,Income Before Tax Ratio,- -,-Infinity,Infinity,-0.0686,-0.0280,-0.0507,0.0037
22,Income Tax expense (Gain),- -,- -,406000,- -,400000,-43749000,-1217000
23,Net Income,- -,-2327000,803000,-4322000,-4027000,3788000,4031000
24,Net Income ratio,- -,-Infinity,Infinity,-0.0151,-0.0094,0.0058,0.0056
25,EPS,- -,-0.49,0.16,-0.51,-0.40,0.10,0.06
26,EPS Diluted,- -,-0.49,0.05,-0.51,-0.40,0.08,-0.30
27,Weighted Average Shares Outstanding,4787000,4787000,4962000,8418000,10006000,39219000,65928000
28,Weighted Average Shares Outstanding Diluted,4787000,4787000,17689000,8418000,10006000,44706000,67302000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1643953/000121390016011527/0001213900-16-011527-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390017002285/0001213900-17-002285-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390018001126/0001213900-18-001126-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390019004081/0001213900-19-004081-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390020005734/0001213900-20-005734-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390021014856/0001213900-21-014856-index.htm,https://www.sec.gov/Archives/edgar/data/1643953/000121390022010057/0001213900-22-010057-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,1048000,237000,220000,12232000,33478000,122955000,91616000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1048000,237000,220000,12232000,33478000,122955000,91616000
34,Net Receivables,- -,- -,- -,10241000,28692000,29111000,25430000
35,Inventory,- -,- -,- -,22940000,47628000,65726000,98690000
36,Other Current Assets,131000,41000,10000,2284000,4321000,11279000,13766000
37,Total Current Assets,1179000,278000,230000,47697000,114119000,229071000,229502000
38,PP&E,- -,- -,- -,22514000,31979000,102894000,180651000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,1493000,1101000,9945000,13204000
41,Intangible Assets,- -,- -,- -,1493000,1101000,9945000,13204000
42,Investments,155000000,156000000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,211244000,217791000
44,Other Non-Current Assets,293000,-457000,122051000,5000,525000,1578000,1322000
45,Total Non-Current Assets,155293000,155543000,122051000,24012000,33605000,325661000,412968000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,156472000,155821000,122281000,71709000,147724000,554732000,642470000
48,Accounts Payable,199000,199000,659000,24828000,50240000,69594000,79752000
49,Short-Term Debt,- -,- -,600000,- -,- -,2004000,9350000
50,Tax Payable,- -,- -,- -,- -,- -,- -,4672000
51,Deferred Revenue,- -,- -,- -,7522000,6258000,6253000,10854000
52,Other Current Liabilities,- -,1676000,542000,16227000,30367000,54357000,42058000
53,Total Current Liabilities,199000,1875000,1801000,48577000,86865000,132208000,142014000
54,Long-Term Debt,- -,- -,- -,21411000,35399000,41410000,175272000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,4658000,4658000,4000000,3732000,30192000,220865000,178643000
58,Total Non-Current Liabilities,4658000,4658000,4000000,25143000,65591000,262275000,353915000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,87000,52171000,88212000
61,Total Liabilities,4857000,6533000,5801000,73720000,152456000,394483000,495929000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,146615000,144288000,111480000,5000,5000,6000,7000
64,Retained Earnings,-303000,-2630000,-1827000,-4322000,-8349000,-4561000,-261825000
65,Other Comprehensive Income/Loss,- -,- -,- -,-2980000,-6537000,- -,- -
66,Other Total Stockholders Equity,5303000,7630000,6827000,6635000,12527000,164460000,- -
67,Total Stockholders Equity,151615000,149288000,116480000,-662000,-2354000,159905000,145773000
68,Total Liabilities And Stockholders Equity,156472000,155821000,122281000,73058000,150102000,554388000,641702000
69,Minority Interest,- -,- -,- -,-1349000,-2378000,344000,768000
70,Total Liabilities & Equity,156472000,155821000,122281000,71709000,147724000,554732000,642470000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1643953/000121390016011527/0001213900-16-011527-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390017002285/0001213900-17-002285-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390018001126/0001213900-18-001126-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390019004081/0001213900-19-004081-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390020005734/0001213900-20-005734-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390021014856/0001213900-21-014856-index.htm,https://www.sec.gov/Archives/edgar/data/1643953/000121390022010057/0001213900-22-010057-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,- -,-2327000,803000,-4322000,-4027000,3788000,3871000
74,Depreciation and Amortization,- -,- -,- -,2195000,4308000,7899000,9473000
75,Deferred Income Tax,- -,- -,- -,- -,501000,-11657000,-7624000
76,Stock Based Compensation,4658000000,- -,- -,487000,10063000,2185000,3366000
77,Change in Working Capital,25000,-2577000,26000,691000,28134000,69609000,-21390000
78,Accounts Receivable,- -,- -,-1855000,-6059000,-18451000,-419000,3681000
79,Inventory,- -,- -,-8010000,-9595000,-24688000,-18098000,-32964000
80,Accounts Payable,199000000,- -,13847000,3783000,25132000,16049000,6796000
81,Other Working Capital,980000,-1597000,-1571000,-880000,27254000,96863000,-881000
82,Other Non-Cash Items,-4658303000,4093000,-1446000,-20708000,-16064000,9433000,-18599000
83,Cash Provided by Operating Activities,-278000,-811000,-617000,-21657000,22915000,81257000,-30903000
84,CAPEX,- -,- -,-8728000,-11652000,-10779000,-39139000,-57059000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-155250000,- -,41744000,-327000,-320000,-11261000,-3121000
89,Cash Used for Investing Activites,-155250000,- -,34165000,-11652000,-10779000,-39139000,-57059000
90,Debt Repayment,- -,- -,-1200000,-29000,-35000,-38060000,-2250000
91,Common Stock Issued,25000000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,25000,- -,-34165000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-5487000,-1175000
94,Other Financing Activites,131551000,- -,1800000,41977000,9145000,90906000,60048000
95,Cash Used/Provided by Financing Activities,156576000,- -,-33565000,41948000,9110000,47359000,56623000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1048000,-811000,-17000,8639000,21246000,89477000,-31339000
98,Cash at the End of Period,1048000,237000,220000,12232000,33478000,122955000,91616000
99,Cash at the Beginning of Period,- -,1048000,237000,3593000,12232000,33478000,122955000
100,Free Cash Flow,-278000,-811000,-617000,-33309000,12136000,42118000,-87962000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1643953/000121390016011527/0001213900-16-011527-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390017002285/0001213900-17-002285-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390018001126/0001213900-18-001126-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390019004081/0001213900-19-004081-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390020005734/0001213900-20-005734-index.html,https://www.sec.gov/Archives/edgar/data/1643953/000121390021014856/0001213900-21-014856-index.htm,https://www.sec.gov/Archives/edgar/data/1643953/000121390022010057/0001213900-22-010057-index.htm
102,false,,,,,,,
