,https://roic.ai/company/ACMC,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,2460000,3150000,3740000,3930000,3950000,3690000,3670000,3390000,3220000,3160000,3150000,2782210,2936330,2698190,2767020,2689410,726244,- -,- -
2,COGS,- -,- -,- -,- -,- -,2070000,1790000,1760000,1830000,1880000,1850000,1822350,1997250,2025000,1913700,1970990,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,1620000,1880000,1630000,1390000,1280000,1300000,959860,939080,673190,853320,718420,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,0.4390,0.5123,0.4808,0.4317,0.4051,0.4127,0.3450,0.3198,0.2495,0.3084,0.2671,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,470000,630000,1620000,1050000,1320000,1590000,1470000,1320000,1320000,1880000,930000,898100,981360,1010390,701100,768600,-580731,838430,1624216
10,Operating Expenses,470000,630000,1620000,1050000,1320000,1590000,1470000,1320000,1320000,1880000,930000,898100,981360,1010390,701100,768600,- -,838430,1624216
11,COGS and Expenses,470000,630000,1620000,1050000,1320000,3660000,3260000,3080000,3150000,3760000,2780000,2720450,2978610,3035390,2614800,2739590,- -,838430,- -
12,Interest Income ,- -,- -,3736738,3927765,3947690,3690434,3667091,3385225,3216459,3161111,3146620,2782206,2936326,2698186,2767019,2689405,2808534,2543507,- -
13,Interest Expense (Gain),-690000,-930000,-1380000,-1730000,-1780000,- -,- -,- -,- -,- -,1848050,1822354,1997249,2025000,1913704,1970986,1882290,-1776427,1591372
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79818,0
15,EBITDA,610000,670000,-640000,-580000,-930000,50000,410000,310000,80000,-590000,2218050,1893494,1959019,1687790,2065924,1920806,1940076,79818,0
16,EBITDA ratio,0.2480,0.2127,-0.1711,-0.1476,-0.2354,0.0136,0.1117,0.0914,0.0248,-0.1867,0.7041,0.6806,0.6672,0.6255,0.7466,0.7142,2.6714,Infinity,Infinity
17,Operating Income,1990000,2530000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.8089,0.8032,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-690000,-930000,-1380000,-1730000,-1780000,20000,- -,10000,10000,10000,10000,9380,4050,-10,- -,- -,- -,2543507,- -
20,Income Before Tax,1300000,1600000,740000,1150000,850000,50000,410000,310000,80000,-590000,370000,71140,-38230,-337210,152220,-50180,57786,- -,-1295201
21,Income Before Tax Ratio,0.5285,0.5079,0.1979,0.2926,0.2152,0.0136,0.1117,0.0914,0.0248,-0.1867,0.1175,0.0256,-0.0130,-0.1250,0.0550,-0.0187,0.0796,- -,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,1300000,1600000,740000,1150000,850000,50000,410000,300000,80000,-590000,370000,71140,-38230,-337210,152220,-50180,57786,- -,-1295201
24,Net Income ratio,0.5285,0.5079,0.1979,0.2926,0.2152,0.0136,0.1117,0.0885,0.0248,-0.1867,0.1175,0.0256,-0.0130,-0.1250,0.0550,-0.0187,0.0796,- -,-Infinity
25,EPS,0.55,0.63,0.29,0.46,0.34,0.02,0.17,0.13,0.04,-0.34,0.22,0.04,-0.02,-0.20,0.09,-0.03,0.03,-0.08,-0.77
26,EPS Diluted,0.55,0.63,0.29,0.46,0.34,0.02,0.17,0.13,0.04,-0.34,0.22,0.04,-0.02,-0.20,0.09,-0.03,0.03,-0.08,-0.77
27,Weighted Average Shares Outstanding,2350000,2520000,2551568,2536351,2493595,2480392,2472081,2199091,1898814,1745880,1677798,1677798,1677798,1677798,1677798,1677798,1677798,1676896,1676896
28,Weighted Average Shares Outstanding Diluted,2350000,2520000,2551568,2536351,2493595,2480392,2472081,2199091,1898814,1745880,1677798,1677798,1677798,1677798,1677798,1677798,1677798,1676896,1676896
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/934543/000093454309000013/0000934543-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454310000007/0000934543-10-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/934543/000093454312000003/0000934543-12-000003-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454313000012/0000934543-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454314000005/0000934543-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/934543/000093454315000006/0000934543-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/934543/000093454316000035/0000934543-16-000035-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454317000002/0000934543-17-000002-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454318000009/0000934543-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/934543/000093454319000006/0000934543-19-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/934543/000093454321000009/0000934543-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/934543/000093454322000022/0000934543-22-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4370000,2180000,7360000,230000,290000,270000,70000,350000,610000,1180000,3140000,3767100,4377110,3382990,502490,2183440,191987,87702,114798
32,Short-Term Investments,50000,50000,90000,80000,40000,340000,960000,630000,870000,1240000,800000,805500,84000,113410,141410,169410,- -,- -,- -
33,Cash and Short-Term Investments,4420000,2230000,7450000,310000,330000,610000,1030000,980000,1480000,2420000,3940000,4572600,4461110,3496400,643900,2352850,191987,87702,114798
34,Net Receivables,1120000,850000,2740000,3380000,1170000,750000,780000,1440000,1040000,1930000,990000,1418310,1495940,1120990,1810610,2677960,310729,101532,79887
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,10000,10000,20000,- -,10000,30000,10000,- -,5880,19900,1490,2600,7170,- -,249815,- -
37,Total Current Assets,5540000,3080000,10190000,3700000,1510000,1380000,1810000,2430000,2550000,4360000,4930000,5996790,5976950,4618880,2457110,5037980,- -,439049,194685
38,PP&E,- -,- -,757247,1125190,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
