,https://roic.ai/company/SOLO,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,- -,86817,570694,593921,568521,2100770
2,COGS,- -,- -,50855,422290,494875,699455,4334681
3,Gross Profit,- -,- -,35963,148403,99045,-130934,-2233911
4,Gross Profit Ratio,- -,- -,0.4142,0.2600,0.1668,-0.2303,-1.0634
5,Research and Development Exp.,350805,2067030,3523170,4086574,7283732,7854866,17090282
6,General and Administrative Exp.,350860,4413143,3458034,7216417,11573848,15086302,26806359
7,Selling and Marketing Exp.,14190,155833,502092,1018260,1334988,2534731,10413748
8,"Selling, General and Administrative Exp.",365050,4568976,3960126,8234678,12908836,17621033,37220107
9,Other Expenses,453,16790,98715,204563,816758,1525660,4089670
10,Operating Expenses,716308,6652795,7582011,12525814,21009325,27001559,58400059
11,COGS and Expenses,716308,6652795,7632866,12948105,21504201,27701014,62734740
12,Interest Income ,- -,- -,- -,- -,76153,- -,270419
13,Interest Expense (Gain),66,19275,55318,- -,- -,- -,- -
14,Depreciation and Amortization,453,16790,98715,204563,816758,1603654,4251274
15,EBITDA,-715855,-6636006,-8884832,-7166649,-22797893,-61475803,-37074711
16,EBITDA ratio,-Infinity,-Infinity,-102.3392,-12.5578,-38.3854,-108.1329,-17.6482
17,Operating Income,-716308,-8942022,-7546049,-12377411,-20910280,-27210487,-60795574
18,Operating Income ratio,-Infinity,-Infinity,-86.9185,-21.6884,-35.2072,-47.8619,-28.9397
19,Total Other Income Expenses (Gains),-1311,2265921,-1492816,5006199,-2704371,-35868970,19469589
20,Income Before Tax,-717619,-6676101,-9038864,-7371212,-23614651,-63079457,-41325985
21,Income Before Tax Ratio,-Infinity,-Infinity,-104.1134,-12.9162,-39.7606,-110.9536,-19.6718
22,Income Tax expense (Gain),- -,- -,- -,-1224,-80228,-32552,850
23,Net Income,-717619,-6676101,-9038864,-7369988,-23534423,-63046905,-41326835
24,Net Income ratio,-Infinity,-Infinity,-104.1134,-12.9141,-39.6255,-110.8964,-19.6722
25,EPS,-0.03,-0.31,-0.56,-0.28,-0.65,-1.08,-0.39
26,EPS Diluted,-0.03,-0.31,-0.56,-0.28,-0.65,-1.08,-0.38
27,Weighted Average Shares Outstanding,21358293,21358293,21818314,26582664,35998152,58352766,104899000
28,Weighted Average Shares Outstanding Diluted,21358293,21358293,21818314,26582664,35998152,58352766,107486000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1637736/000165495418004101/em20-f.htm,https://www.sec.gov/Archives/edgar/data/1637736/000114420419017106/0001144204-19-017106-index.html,https://www.sec.gov/Archives/edgar/data/1637736/000110465920038278/0001104659-20-038278-index.html,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,76643,2913684,6847711,13896120,8494299,129450676,221928008
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,76643,2913684,6847711,13896120,8494299,129450676,221928008
34,Net Receivables,20638,201833,193749,874202,337549,213346,372021
35,Inventory,10785,- -,185211,308904,574269,609094,3580450
36,Other Current Assets,34119,185689,731726,1665731,5037991,5039150,14428117
37,Total Current Assets,142185,3301207,7958397,16744958,14444108,135312266,240308596
38,PP&E,11392,167598,1108297,3908700,7648145,9290308,10123887
39,Goodwill,- -,- -,556536,513824,535758,549760,- -
40,Intangible Assets,- -,18856,445463,395938,412845,419707,- -
41,Intangible Assets,- -,18856,1001999,909762,948603,969467,965539
42,Investments,- -,74399,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-0,0,81281,141099,182341,1452676
45,Total Non-Current Assets,11392,260854,2110296,4899742,8737847,10442116,12542102
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,153578,3562061,10068693,21644700,23181955,145754382,252850698
48,Accounts Payable,75938,52378,363833,466673,530902,1001773,1249861
49,Short-Term Debt,133315,181293,1299419,4574,464653,- -,392279
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,20542,126107,355524,295723,467701,518872,650919
52,Other Current Liabilities,19840,295811,648957,570496,1131144,3035798,5560920
53,Total Current Liabilities,249635,655588,2667734,1337465,2594400,4556443,7853979
54,Long-Term Debt,- -,- -,- -,- -,657437,- -,1494992
55,Deferred Revenue,- -,- -,- -,- -,- -,119253,119253
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,2907109,3489552,5413991,18399396,244565
58,Total Non-Current Liabilities,- -,- -,2907109,3489552,6071428,18518649,1858810
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1120500,1075773,1887271
61,Total Liabilities,249635,655588,5574843,4827018,8665828,23075092,9712789
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,330420,8469605,18066228,34230009,50965157,212058836,372278512
64,Retained Earnings,-717619,-7416993,-16966642,-23034512,-47552197,-110327159,-151653994
65,Other Comprehensive Income/Loss,354015,2351144,3518286,5622186,11103167,-2702753,22513391
66,Other Total Stockholders Equity,-62873,-497283,-124023,-0,0,23650366,- -
67,Total Stockholders Equity,-96057,2906473,4493850,16817682,14516127,122679290,243137909
68,Total Liabilities And Stockholders Equity,153578,3562061,10068693,21644700,23181955,145754382,252850698
69,Minority Interest,-0,- -,- -,0,- -,- -,- -
70,Total Liabilities & Equity,153578,3562061,10068693,21644700,23181955,145754382,252850698
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1637736/000165495418004101/em20-f.htm,https://www.sec.gov/Archives/edgar/data/1637736/000114420419017106/0001144204-19-017106-index.html,https://www.sec.gov/Archives/edgar/data/1637736/000110465920038278/0001104659-20-038278-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-717619,-6676101,-9038864,-7369988,-23534423,-63046905,-41326835
74,Depreciation and Amortization,453,16790,98715,204563,816758,1603654,4251274
75,Deferred Income Tax,- -,- -,- -,- -,-81866,-32148,- -
76,Stock Based Compensation,255111,3516011,707365,3184981,5381767,6260985,5178462
77,Change in Working Capital,50777,26908,56135,-1802496,-1972432,910829,-10896821
78,Accounts Receivable,- -,-242645,93210,- -,- -,- -,- -
79,Inventory,-10786,11135,-35063,-134684,-252179,6875,-4714161
80,Accounts Payable,- -,325090,568850,- -,- -,- -,- -
81,Other Working Capital,20542,104898,87742,-32516,159355,35406,132047
82,Other Non-Cash Items,1,19275,2355513,-5658503,2164112,31816955,-17624243
83,Cash Provided by Operating Activities,-411277,-3097117,-5821137,-11441444,-17226084,-22486630,-60418163
84,CAPEX,-11846,-191483,-1005380,-3069493,-2792567,-1400032,-4638821
85,Acquisitions Net,- -,-74399,-668430,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-18856,-0,-87185,-60183,964,-147876
89,Cash Used for Investing Activites,-11846,-265882,-1673810,-3150774,-2848916,-1399068,-4786697
90,Debt Repayment,- -,-100439,-26366,-1195121,-479474,-487657,-774346
91,Common Stock Issued,366451,6074796,9215031,23380865,11252725,126392128,145613006
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,133315,223198,2039652,- -,3256065,13022538,12842945
95,Cash Used/Provided by Financing Activities,499766,6197554,11228317,22185744,14029316,138927009,157681605
96,Effect of Forex Changes on Cash,- -,- -,- -,-19583,50686,5848741,587
97,Net Change In Cash,499766,2834555,3733370,7573943,-5994997,120890052,92477332
98,Cash at the End of Period,76643,2913684,6847711,13896120,8494299,129450676,221928008
99,Cash at the Beginning of Period,- -,79129,3114340,6322178,14489296,8560624,129450676
100,Free Cash Flow,-423123,-3288600,-6826517,-14510937,-20018651,-23886662,-65056984
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1637736/000165495418004101/em20-f.htm,https://www.sec.gov/Archives/edgar/data/1637736/000114420419017106/0001144204-19-017106-index.html,https://www.sec.gov/Archives/edgar/data/1637736/000110465920038278/0001104659-20-038278-index.html,- -,- -
102,false,,,,,,,
