,https://roic.ai/company/SNWV,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,660725,728446,802572,769217,800029,847367,965501,1376063,738527,1850060,1028730,4057471
2,COGS,- -,- -,- -,225790,250326,261890,220257,189791,219975,284962,565129,241970,693664,538923,1162021
3,Gross Profit,- -,- -,- -,434935,478120,540682,548960,610238,627392,680539,810934,496557,1156396,489807,2895450
4,Gross Profit Ratio,- -,- -,- -,0.6583,0.6564,0.6737,0.7137,0.7628,0.7404,0.7049,0.5893,0.6724,0.6251,0.4761,0.7136
5,Research and Development Exp.,- -,- -,- -,3387204,3879146,2731059,1762194,2296662,3000807,2172819,1128640,1292531,1663838,1181892,1245507
6,General and Administrative Exp.,13289,34057,26215,5026425,7100621,6292950,4521957,3963206,3269033,2735129,2673773,3004403,6650484,6440093,13723888
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1590957,5159740
8,"Selling, General and Administrative Exp.",13289,34057,26215,5026425,7100621,6292950,4521957,3963206,3269033,2735129,2673773,3004403,6650484,8031050,18883628
9,Other Expenses,- -,- -,- -,671864,1136333,325790,327132,326331,321042,310369,326614,24069,22332,71213,6804101
10,Operating Expenses,- -,- -,- -,9085493,12116100,9349799,6611283,6586199,6590882,5218317,4129027,4321003,8336654,9284155,26933236
11,COGS and Expenses,13289,34057,26215,9311283,12366426,9611689,6831540,6775990,6810857,5503279,4694156,4562973,9030318,9823078,28095257
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),240,35,1835,739847,961585,- -,- -,2538663,440943,- -,- -,- -,4496148,1836181,-2025017
14,Depreciation and Amortization,- -,- -,- -,671864,1136333,325790,327132,326331,321042,310369,326614,24069,22332,61977,1011762
15,EBITDA,-13289,-34057,-26215,-5944501,-13064492,-9913007,-6074362,-8434727,-5212095,-4499916,-6112426,-5513867,-7112914,-8531681,-31950288
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-8.9969,-17.9347,-12.3515,-7.8968,-10.5430,-6.1509,-4.6607,-4.4420,-7.4660,-3.8447,-8.2934,-7.8744
17,Operating Income,-13289,-34057,-26215,-8650558,-11807561,-8809117,-6062323,-5975961,-5963490,-4437778,-3316499,-3824446,-7180258,-8794348,-25199807
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-13.0925,-16.2092,-10.9761,-7.8812,-7.4697,-7.0377,-4.5963,-2.4101,-5.1785,-3.8811,-8.5487,-6.2107
19,Total Other Income Expenses (Gains),36876,-35,-1835,-536199,-3354849,-1429680,-339171,-5978821,-10590,-372507,-3122541,-1713490,-4451136,-1635491,-5737226
20,Income Before Tax,23587,-34092,-28050,-9186757,-15162410,-10238797,-6401494,-11954782,-5974080,-4810285,-6439040,-5537936,-11631394,-10429839,-30937033
21,Income Before Tax Ratio,Infinity,-Infinity,-Infinity,-13.9041,-20.8147,-12.7575,-8.3221,-14.9429,-7.0502,-4.9822,-4.6793,-7.4986,-6.2870,-10.1386,-7.6247
22,Income Tax expense (Gain),1600,1600,-1500,-1203172,-239969,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,21987,-35692,-26550,-6153040,-14922441,-10238797,-6401494,-11299721,-5974080,-4810285,-6439040,-5537936,-11631394,-10429839,-30937033
24,Net Income ratio,Infinity,-Infinity,-Infinity,-9.3126,-20.4853,-12.7575,-8.3221,-14.1241,-7.0502,-4.9822,-4.6793,-7.4986,-6.2870,-10.1386,-7.6247
25,EPS,0.00,-0.00,-0.00,-0.54,-1.15,-0.52,-0.30,-0.40,-0.12,-0.08,-0.06,-0.04,-0.08,-0.05,-0.08
26,EPS Diluted,0.00,-0.00,-0.00,-0.54,-1.15,-0.52,-0.30,-0.40,-0.12,-0.08,-0.06,-0.04,-0.08,-0.05,-0.08
27,Weighted Average Shares Outstanding,10190411,40700000,40700000,11405490,12924872,19624061,20915869,28132134,48212910,63025202,107619869,138838602,149537777,203588106,378128645
28,Weighted Average Shares Outstanding Diluted,10190411,40700000,40700000,11405490,12924872,19624061,20915869,28132134,48212910,63025202,107619869,138838602,149537777,203588106,378128645
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1417663/000143774912002307/0001437749-12-002307-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000143774913003482/0001437749-13-003482-index.html,- -,https://www.sec.gov/Archives/edgar/data/1417663/000143774915003987/0001437749-15-003987-index.htm,https://www.sec.gov/Archives/edgar/data/1417663/000143774916028700/0001437749-16-028700-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000143774917005765/0001437749-17-005765-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000165495418003375/0001654954-18-003375-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000165495419003872/0001654954-19-003872-index.html,https://www.sec.gov/Archives/edgar/data/1417663/000165495420003538/0001654954-20-003538-index.htm,https://www.sec.gov/Archives/edgar/data/1417663/000114036121035116/0001140361-21-035116-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,30221,5149,3226,1786369,417457,3909383,70325,182315,3547071,152930,133571,730184,364549,1760455,2436984
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,30221,5149,3226,1786369,417457,3909383,70325,182315,3547071,152930,133571,730184,364549,1760455,2436984
34,Net Receivables,- -,- -,- -,175844,140938,109402,87826,139736,86404,74454,460799,152520,236002,75543,2355396
35,Inventory,- -,- -,- -,592589,463643,396284,292665,246006,271871,284908,231953,231532,357820,542955,2956344
36,Other Current Assets,- -,- -,- -,121157,121084,162975,128495,75020,128550,123988,87823,90288,125111,125405,179343
37,Total Current Assets,- -,- -,3226,2675959,1143122,4578044,579311,643077,4033896,636280,914146,1204524,1083482,2504358,7928067
38,PP&E,- -,- -,- -,88706,13386,51206,32842,13267,7840,4228,76938,60369,77755,835703,1265812
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7259795
40,Intangible Assets,- -,- -,- -,2147295,1840538,1533782,1227025,920269,613513,306756,- -,- -,- -,- -,6545284
41,Intangible Assets,- -,- -,- -,2147295,1840538,1533782,1227025,920269,613513,306756,- -,- -,- -,- -,13805079
42,Investments,- -,- -,- -,922956,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,32169,32253,3192,11358,11444,11106,11097,13786,13917,16491,41931,28602
45,Total Non-Current Assets,- -,- -,- -,3191126,1886177,1588180,1271225,944980,632459,322081,90724,74286,94246,877634,15099493
46,Other Assets,30221,5149,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30221,5149,3226,5867085,3029299,6166224,1850536,1588057,4666355,958361,1004870,1278810,1177728,3381992,23027560
48,Accounts Payable,34410,48370,34362,1069423,1829815,756657,555898,935028,231840,509266,712964,1496523,1592643,1439413,4454385
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,438516,236813,5372743,- -,5521438,6048044,10791507,6172364,17043385
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18810,13317,131797,66577,32258
52,Other Current Liabilities,- -,- -,41835,1793995,6342942,1564417,1998433,1171354,613172,978819,1663258,3601753,3971144,4736998,14643962
53,Total Current Liabilities,- -,- -,76197,2863418,8172757,2321074,2992847,2343195,6217755,1488085,7916470,11159637,16487091,12415352,36173990
54,Long-Term Debt,- -,- -,- -,8887981,- -,- -,- -,- -,- -,5348112,- -,- -,- -,- -,534938
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46736,573224,37514
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,5372743,5381627,5376694,5372743,- -,- -,- -,- -,- -,457017,- -
58,Total Non-Current Liabilities,- -,- -,- -,8887981,5372743,5381627,5376694,5372743,- -,5348112,- -,- -,46736,1030241,572452
59,Other Liabilities,40950,51570,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,13460,8884,3951,- -,- -,- -,- -,- -,751921,842097
61,Total Liabilities,40950,51570,76197,11751399,13545500,7702701,8369541,7715938,6217755,6836197,7916470,11159637,16533827,13445593,36746442
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,1,- -,- -,- -,- -,- -,- -
63,Common Stock,40700,40700,40700,12510,14795,20908,21008,37984,60727,63057,137220,139300,155665,293781,470695
64,Retained Earnings,39678,3986,39678,-38660281,-54270031,-64508828,-70910322,-82210043,-88184123,-92994408,-99433448,-104971384,-116602778,-125752956,-156689989
65,Other Comprehensive Income/Loss,- -,- -,- -,-598354,-642132,-565057,-472828,-458695,-456020,- -,-455227,-479296,-496153,-567366,-62282
66,Other Total Stockholders Equity,-91107,-91107,-153349,33361811,44381167,63516500,64843137,76502873,87028015,87053515,92839855,95430553,101587167,115962940,142562694
67,Total Stockholders Equity,-10729,-46421,-72971,-5884314,-10516201,-1536477,-6519005,-6127881,-1551400,-5877836,-6911600,-9880827,-15356099,-10063601,-13718882
68,Total Liabilities And Stockholders Equity,30221,5149,3226,5867085,3029299,6166224,1850536,1588057,4666355,958361,1004870,1278810,1177728,3381992,23027560
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,30221,5149,3226,5867085,3029299,6166224,1850536,1588057,4666355,958361,1004870,1278810,1177728,3381992,23027560
