,https://roic.ai/company/KDOZF,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,1120000,1740000,720000,890000,1160000,1980000,2540000,2370000,5650000,5830000,1820000,1420000,1770000,1940000,32470,111610,278920,93480,106980,4517380,7148029,12475480
2,COGS,- -,- -,1420000,1090000,350000,210000,250000,490000,840000,1410000,3790000,3840000,1150000,- -,- -,- -,482010,482010,482010,- -,- -,2778910,7600228,14286296
3,Gross Profit,- -,- -,-300000,650000,370000,680000,910000,1490000,1700000,960000,1860000,1990000,670000,1420000,- -,- -,-449540,-370400,-203090,93480,106980,1738470,-452199,-1810816
4,Gross Profit Ratio,- -,- -,-0.2679,0.3736,0.5139,0.7640,0.7845,0.7525,0.6693,0.4051,0.3292,0.3413,0.3681,1.0000,- -,- -,-13.8448,-3.3187,-0.7281,1.0000,1.0000,0.3848,-0.0633,-0.1452
5,Research and Development Exp.,- -,360000,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1181380,1230220,1077640,833200,948330,1014040,- -,- -
6,General and Administrative Exp.,- -,2070000,2720000,1780000,600000,540000,670000,1380000,2310000,-1237106000,2940000,3230000,1820000,2080000,1860000,2720000,744932,795216,935527,766430,1489640,1347459,528708,604882
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1239676000,- -,- -,- -,- -,- -,- -,247258,549534,403523,244810,352770,369321,397948,641393
8,"Selling, General and Administrative Exp.",- -,2500000,2779821,1776000,856657,540213,665739,1383071,2305827,2570000,2939333,3234107,1824285,2076927,1859713,2723413,992190,1344750,1339050,1011240,1842410,1716780,926656,1246275
9,Other Expenses,- -,-380000,250179,614000,173343,29787,-25739,-13071,-85827,-40000,-9333,25893,35715,13073,287,6587,3480,3470,502360,88200,42700,14541470,2406390,4050314
10,Operating Expenses,- -,2480000,3030000,2390000,1040000,570000,640000,1370000,2220000,2530000,2930000,3260000,1860000,2090000,1860000,2730000,2177050,2578440,2919050,1932640,2833440,17272290,3333046,5296589
11,COGS and Expenses,- -,2480000,4450000,3480000,1390000,780000,890000,1860000,3060000,3940000,6720000,7100000,3010000,2090000,1860000,2730000,2659060,3060450,3401060,1932640,2833440,20051200,10933274,19582885
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19054,1721,3957,2887,1258,840,510,1089,155,18,8634,3302,1003,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84132,37090,- -,- -,- -
14,Depreciation and Amortization,- -,40000,536419,611147,287366,145525,286170,45942,62003,61892,58133,73122,35245,7774,4755,4687,3470,485479,485583,4068,5614,546270,618699,606391
15,EBITDA,- -,-2440000,-2803581,-1268853,-682634,-94475,216170,165942,-247997,-1368108,-1101867,-1096878,-794755,-682226,-45245,-785313,5066550,-2479721,-2669427,-1684510,-2639646,-14958240,633568,642134
16,EBITDA ratio,- -,-Infinity,-2.5032,-0.7292,-0.9481,-0.1062,0.1864,0.0838,-0.0976,-0.5773,-0.1950,-0.1881,-0.4367,-0.4804,-0.0256,-0.4048,156.0379,-22.2177,-9.5706,-18.0200,-24.6742,-3.3113,0.0886,0.0515
17,Operating Income,- -,-2400000,-3616023,-1746788,-676594,104810,220940,66629,-667093,-1668022,-1139119,-1318394,-1194746,-677252,-98640,-789401,-2626589,-2948838,-2623352,-1839168,-2726466,-1656437,14869,35743
