,https://roic.ai/company/LGIH,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,50456159,76221041,162795702,383268000,630236000,838320000,1257960000,1504400000,1838154000,2367929000,3050149000
2,COGS,36699505,54530971,121325536,280481000,463304000,616707000,937540000,1124484000,1401675000,1764832000,2232115000
3,Gross Profit,13756654,21690070,41470166,102787000,166932000,221613000,320420000,379916000,436479000,603097000,818034000
4,Gross Profit Ratio,0.2726,0.2846,0.2547,0.2682,0.2649,0.2644,0.2547,0.2525,0.2375,0.2547,0.2682
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,5125331,6096114,13604160,23744000,34260000,43158000,55662000,70345000,77380000,90021000,100331000
7,Selling and Marketing Exp.,4884310,7269331,15768575,36672000,52998000,66984000,94957000,109460000,131561000,148366000,170005000
8,"Selling, General and Administrative Exp.",10009641,13365445,29372735,60416000,87258000,110142000,150619000,179805000,208941000,238387000,270336000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,10009641,13365445,29372735,60416000,87258000,110142000,150619000,179805000,208941000,238387000,270336000
11,COGS and Expenses,46709146,67896416,150698271,340897000,550562000,726849000,1088159000,1304289000,1610616000,2003219000,2502451000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),28152,1234,50946,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,79747,185120,291611,825000,883000,1089000,791000,711000,643000,710000,1154000
15,EBITDA,3583209,10046025,23735702,43904000,81163000,114761000,172193000,199809000,232475000,368559000,543929000
16,EBITDA ratio,0.0710,0.1318,0.1458,0.1146,0.1288,0.1369,0.1369,0.1328,0.1265,0.1556,0.1783
17,Operating Income,4461771,9851089,16384070,42371000,79674000,111471000,169801000,200111000,227538000,364710000,547698000
18,Operating Income ratio,0.0884,0.1292,0.1006,0.1106,0.1264,0.1330,0.1350,0.1330,0.1238,0.1540,0.1796
19,Total Other Income Expenses (Gains),175525,171551,6419257,708000,606000,2201000,1601000,-1013000,4294000,3139000,-4923000
20,Income Before Tax,4637296,10022640,22803327,43079000,80280000,113672000,171402000,199098000,231832000,367849000,542775000
21,Income Before Tax Ratio,0.0919,0.1315,0.1401,0.1124,0.1274,0.1356,0.1363,0.1323,0.1261,0.1553,0.1780
22,Income Tax expense (Gain),124891,154542,1066072,14868000,27450000,38641000,58096000,43812000,53224000,43954000,113130000
23,Net Income,3350419,9705129,22327073,28211000,52830000,75031000,113306000,155286000,178608000,323895000,429645000
24,Net Income ratio,0.0664,0.1273,0.1371,0.0736,0.0838,0.0895,0.0901,0.1032,0.0972,0.1368,0.1409
25,EPS,0.45,1.05,1.08,1.37,2.65,3.61,5.24,6.89,7.70,12.89,17.53
26,EPS Diluted,0.45,1.05,1.08,1.33,2.44,3.41,4.73,6.24,7.02,12.76,17.31
27,Weighted Average Shares Outstanding,7477000,6115000,20763449,20666758,19939761,20798333,21604932,22551762,23191595,25135077,24508134
28,Weighted Average Shares Outstanding Diluted,7477000,6115000,20763449,21202967,21740719,22024091,23933122,24892274,25430841,25380560,24824320
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1580670/000144530514001234/lgih12311310k.htm,https://www.sec.gov/Archives/edgar/data/1580670/000158067015000023/lgih12311410k.htm,https://www.sec.gov/Archives/edgar/data/1580670/000158067016000172/0001580670-16-000172-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067017000017/0001580670-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067018000011/0001580670-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067019000022/0001580670-19-000022-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067020000017/0001580670-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/1580670/000158067021000020/0001580670-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1580670/000158067022000023/0001580670-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,5106183,7069471,54068733,31370000,37568000,49518000,67571000,46624000,38345000,35942000,50514000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5106183,7069471,54068733,31370000,37568000,49518000,67571000,46624000,38345000,35942000,50514000
34,Net Receivables,1011856,1949822,5430087,7365000,17325000,17055000,44706000,42836000,56390000,115939000,57909000
35,Inventory,12525674,28489191,141982744,367908000,531228000,717681000,918933000,1228256000,1499624000,1569489000,2085904000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,18643713,37508484,201481564,406643000,586121000,784254000,1031210000,1317716000,1594359000,1721370000,2194327000
38,PP&E,469801,719390,844707,1610000,2108000,1960000,1674000,1432000,1632000,3618000,16944000
39,Goodwill,- -,- -,- -,- -,- -,- -,12018000,12018000,12018000,12018000,12018000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,12727608,12481000,12234000,12018000,12018000,12018000,12018000,12018000,12018000
42,Investments,2254541,4446302,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,287781,- -,- -,- -,1928000,2790000,4621000,6986000,6198000
44,Other Non-Current Assets,2144578,2881975,5667924,17393000,21870000,16282000,33062000,61517000,53485000,82095000,122378000
45,Total Non-Current Assets,4868920,8047667,19528020,31484000,36212000,30260000,48682000,77757000,71756000,104717000,157538000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,23512633,45556151,221009584,438127000,622333000,814514000,1079892000,1395473000,1666115000,1826087000,2351865000
48,Accounts Payable,1421246,3090890,14000155,15479000,24020000,20783000,24045000,28140000,39285000,43614000,62828000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,296028000,296681000,- -
50,Tax Payable,- -,- -,1553683,1448000,6205000,5040000,48733000,10773000,28679000,26181000,11604000
51,Deferred Revenue,37747,75423,330030,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,691352,1684676,4755101,6340000,10666000,7219000,50829000,23112000,40040000,37034000,19035000
