,https://roic.ai/company/USAQ,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,100000,40000,30000,10000,900000,- -,- -,130000,50000,160000,1200000,1440000,2290000,930000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124532,1414421
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000,470000,600000,620000,310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74439,743673
3,Gross Profit,100000,40000,30000,10000,900000,- -,- -,130000,50000,130000,730000,840000,1670000,620000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50093,670748
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,1.0000,1.0000,0.8125,0.6083,0.5833,0.7293,0.6667,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4023,0.4742
5,Research and Development Exp.,830000,1100000,1390000,1950000,2460000,4030000,4400000,2970000,2700000,3240000,2160000,1730000,1330000,990000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100230,98290,90874
6,General and Administrative Exp.,180000,250000,730000,2820000,3270000,4040000,3020000,2880000,3640000,3670000,4430000,4490000,4240000,3580000,- -,- -,- -,10000,10000,40000,40000,40000,50000,70000,60000,60000,30000,38140,11970,110,27380,53870,131767,454008
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95141,592068
8,"Selling, General and Administrative Exp.",180000,250000,730000,2820000,3270000,4040000,3020000,2880000,3640000,3670000,4430000,4488000,4241000,3575000,- -,- -,- -,7067,14050,35576,40063,40657,53672,67896,60500,60750,28925,38142,11966,105,27379,53870,226908,1046076
9,Other Expenses,-10000,10000,-10000,- -,- -,- -,- -,- -,- -,- -,250000,313000,324000,-285000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36056
10,Operating Expenses,1000000,1360000,2110000,4770000,5730000,8070000,7420000,5850000,6340000,6910000,6840000,6531000,5895000,4280000,- -,- -,- -,7067,14050,35576,40063,40657,53672,67896,60500,60750,28925,38142,11966,105,27379,154100,325198,1173006
11,COGS and Expenses,1000000,1360000,2110000,4770000,5730000,8070000,7420000,5850000,6340000,6940000,7310000,6810000,6180000,4880000,- -,- -,- -,10000,10000,40000,40000,40000,60000,80000,70000,70000,40000,722110,23250,11360,27380,154100,399637,1916679
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-120000,-200000,-190000,-120000,- -,- -,- -,110000,-1410000,-370000,-300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2280,9120,9120,9120,9120,11550,11472,11282,11251,11252,12416,30984,246490
14,Depreciation and Amortization,40000,40000,40000,50000,70000,160000,270000,390000,1890000,1020000,820000,-318000,-328000,-310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36056
15,EBITDA,-1110000,-1680000,-2250000,-4680000,-3950000,-7910000,-7150000,-5110000,-7220000,-6500000,-7030000,-5668000,-4108000,-4600000,-2570000,- -,- -,-10000,-10000,-40000,-40000,-40000,-60000,-80000,-60880,-60880,-28450,-710638,-11968,-109,-27378,-154104,-296404,-487630
16,EBITDA ratio,-11.1000,-42.0000,-75.0000,-468.0000,-4.3889,-Infinity,-Infinity,-39.3077,-144.4000,-40.6250,-5.8583,-3.9361,-1.7939,-4.9462,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.3801,-0.3448
17,Operating Income,-910000,-1320000,-2080000,-4750000,-4830000,-8070000,-7420000,-5720000,-6290000,-6780000,-6110000,- -,- -,-3943000,- -,- -,- -,-7067,-14050,-35576,- -,- -,-53672,-67896,-60500,-60750,-40475,-722114,-23248,-11356,-27379,-154100,-296404,-502258
18,Operating Income ratio,-9.1000,-33.0000,-69.3333,-475.0000,-5.3667,-Infinity,-Infinity,-44.0000,-125.8000,-42.3750,-5.0917,- -,- -,-4.2398,- -,- -,- -,-Infinity,-Infinity,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.3801,-0.3551
19,Total Other Income Expenses (Gains),-120000,-200000,-20000,140000,810000,1550000,-10000,110000,-1410000,-370000,-300000,20000,120000,-347000,- -,- -,- -,-2933,4050,-4424,- -,- -,-6328,-12104,-9500,-9250,475,4,-2,-4,-11251,-12420,-30984,-267918
20,Income Before Tax,-1030000,-1520000,-2100000,-4610000,-4020000,-6520000,-7430000,-5610000,-7700000,-7150000,-6410000,-5350000,-3780000,-4290000,- -,- -,- -,-10000,-10000,-40000,-40000,-40000,-60000,-80000,-70000,-70000,-40000,-722110,-23250,-11360,-38630,-166520,-327388,-770176
21,Income Before Tax Ratio,-10.3000,-38.0000,-70.0000,-461.0000,-4.4667,-Infinity,-Infinity,-43.1538,-154.0000,-44.6875,-5.3417,-3.7153,-1.6507,-4.6129,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.6289,-0.5445
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1030000,-1520000,-2100000,-4610000,-4020000,-6520000,-7430000,-5610000,-7700000,-7150000,-7550000,-5350000,-3780000,-4290000,-2570000,- -,- -,-10000,-10000,-40000,-40000,-40000,-60000,-80000,-70000,-70000,-40000,-722110,-23250,-11360,-38630,-166520,-327388,-770176
24,Net Income ratio,-10.3000,-38.0000,-70.0000,-461.0000,-4.4667,-Infinity,-Infinity,-43.1538,-154.0000,-44.6875,-6.2917,-3.7153,-1.6507,-4.6129,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.6289,-0.5445
25,EPS,-103.00,-152.00,-105.00,-115.25,-57.43,-93.14,-106.14,-80.14,-85.56,-71.50,-58.08,-28.00,-28.00,-24.00,-11.68,- -,- -,-0.03,-0.02,-0.04,-0.04,-0.04,-0.06,-0.07,-0.06,-0.06,-0.04,-0.23,-0.01,-0.00,-0.01,-0.03,-0.05,-0.12
26,EPS Diluted,-103.00,-152.00,-105.00,-115.25,-57.43,-93.14,-106.14,-80.14,-85.56,-71.50,-58.08,-28.00,-28.00,-24.00,-11.68,- -,- -,-0.03,-0.02,-0.04,-0.04,-0.04,-0.06,-0.07,-0.06,-0.06,-0.04,-0.23,-0.01,-0.00,-0.01,-0.03,-0.05,-0.12
27,Weighted Average Shares Outstanding,10000,10000,20000,40000,70000,70000,70000,70000,90000,100000,130000,196330,217375,221430,220000,220000,220000,248749,854831,929541,1088322,1088749,1088740,1088740,1088740,1088740,1088740,3142713,4188740,3588740,3590135,5410583,6200303,6200303
