,https://roic.ai/company/VEEV,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,29129000,61262000,129548000,210151000,313222000,409221000,544043000,685571000,862210000,1104081000,1465069000,1850777000
2,COGS,12317000,29056000,57016000,82602000,115658000,142214000,173681000,211439000,245281000,303369000,408928000,503678000
3,Gross Profit,16812000,32206000,72532000,127549000,197564000,267007000,370362000,474132000,616929000,800712000,1056141000,1347099000
4,Gross Profit Ratio,0.5772,0.5257,0.5599,0.6069,0.6307,0.6525,0.6808,0.6916,0.7155,0.7252,0.7209,0.7279
5,Research and Development Exp.,3637000,7750000,14638000,26327000,41156000,65976000,96750000,132051000,158783000,209895000,294220000,382035000
6,General and Administrative Exp.,2513000,5539000,8371000,20411000,30239000,41458000,48841000,60391000,86413000,114267000,149113000,171507000
7,Selling and Marketing Exp.,5571000,12279000,19490000,41507000,56203000,80984000,116803000,130898000,148867000,190331000,235014000,288061000
8,"Selling, General and Administrative Exp.",8084000,17818000,27861000,61918000,86442000,122442000,165644000,191289000,235280000,304598000,384127000,459568000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,11721000,25568000,42499000,88245000,127598000,188418000,262394000,323340000,394063000,514493000,678347000,841603000
11,COGS and Expenses,24038000,54624000,99515000,170847000,243256000,330632000,436075000,534779000,639344000,817862000,1087275000,1345281000
12,Interest Income ,- -,- -,- -,- -,3537000,4617000,4477000,8383000,15388000,25185000,15859000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,219000,407000,789000,2410000,3929000,8464000,13825000,14277000,14071000,19859000,29455000,27448000
15,EBITDA,5483000,7060000,29882000,40910000,71115000,87081000,123460000,172911000,252714000,333556000,423448000,539759000
16,EBITDA ratio,0.1882,0.1152,0.2307,0.1947,0.2270,0.2128,0.2269,0.2522,0.2931,0.3021,0.2890,0.2916
17,Operating Income,5091000,6638000,30033000,39304000,69966000,78589000,107968000,150792000,222866000,286219000,377794000,505496000
18,Operating Income ratio,0.1748,0.1084,0.2318,0.1870,0.2234,0.1920,0.1985,0.2200,0.2585,0.2592,0.2579,0.2731
19,Total Other Income Expenses (Gains),173000,15000,-940000,-804000,-2780000,28000,1667000,7842000,15777000,27478000,16199000,6815000
20,Income Before Tax,5264000,6653000,29093000,38500000,67186000,78617000,109635000,158634000,238643000,313697000,393993000,512311000
21,Income Before Tax Ratio,0.1807,0.1086,0.2246,0.1832,0.2145,0.1921,0.2015,0.2314,0.2768,0.2841,0.2689,0.2768
22,Income Tax expense (Gain),1355000,2423000,10310000,14885000,26803000,24157000,40831000,16668000,8811000,12579000,13995000,84921000
23,Net Income,3909000,4230000,18783000,23615000,40383000,54460000,68804000,141966000,229832000,301118000,379998000,427390000
24,Net Income ratio,0.1342,0.0690,0.1450,0.1124,0.1289,0.1331,0.1265,0.2071,0.2666,0.2727,0.2594,0.2309
25,EPS,0.00,0.01,0.17,0.24,0.31,0.41,0.51,1.01,1.59,2.03,2.52,2.79
26,EPS Diluted,0.00,0.00,0.16,0.18,0.28,0.38,0.47,0.92,1.47,1.90,2.36,2.63
27,Weighted Average Shares Outstanding,105887000,108440000,105887000,51725000,127713000,132020000,135698000,140311000,144244000,147796000,150666000,150666000
28,Weighted Average Shares Outstanding Diluted,115599000,120833000,115599000,129270000,144204000,144977000,147578000,153681000,156117000,158296000,160732000,160732000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393052/000119312514103258/0001193125-14-103258-index.htm,https://www.sec.gov/Archives/edgar/data/1393052/000156459015002300/0001564590-15-002300-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000156459016015753/0001564590-16-015753-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000156459017005637/0001564590-17-005637-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000156459018007164/0001564590-18-007164-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000156459019009853/0001564590-19-009853-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000162828020004385/0001628280-20-004385-index.html,https://www.sec.gov/Archives/edgar/data/1393052/000139305221000015/0001393052-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1393052/000139305222000017/0001393052-22-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,16880000,31890000,262507000,129253000,132179000,217606000,320183000,550971000,476733000,730504000,1138040000
32,Short-Term Investments,- -,- -,14276000,25625000,268620000,214024000,301266000,441779000,539190000,610015000,933122000,1238064000
33,Cash and Short-Term Investments,- -,16880000,46166000,288132000,397873000,346203000,518872000,761962000,1090161000,1086748000,1663626000,2376104000
34,Net Receivables,- -,21869000,38458000,59822000,92661000,144798000,182816000,233731000,321587000,422507000,611593000,694400000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,915000,2266000,5778000,11303000,9963000,10177000,12443000,21666000,21869000,35607000,36679000
37,Total Current Assets,- -,39664000,86890000,353732000,501837000,500964000,711865000,1008136000,1433414000,1531124000,2310826000,3107183000
38,PP&E,- -,824000,1379000,2445000,28203000,47469000,49907000,52284000,54966000,103884000,110567000,104135000
39,Goodwill,- -,- -,- -,4850000,4850000,95804000,95804000,95804000,95804000,438529000,436029000,439877000
40,Intangible Assets,- -,590000,880000,8136000,6144000,48479000,39283000,31490000,24521000,134601000,114595000,101940000
41,Intangible Assets,- -,590000,880000,12986000,10994000,144283000,135087000,127294000,120325000,573130000,550624000,541817000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,9359000,16784000,3490000,5938000,11870000,14100000,5097000
44,Other Non-Current Assets,- -,336000,671000,1145000,3856000,3724000,4057000,5804000,39123000,51769000,59950000,58233000
45,Total Non-Current Assets,- -,1750000,2930000,16576000,43053000,204835000,205835000,188872000,220352000,740653000,735241000,709282000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,41414000,89820000,370308000,544890000,705799000,917700000,1197008000,1653766000,2271777000,3046067000,3816465000
48,Accounts Payable,- -,1513000,3340000,2117000,3886000,4600000,5677000,6944000,9110000,19420000,23253000,20348000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,10013000,11725000,10981000
50,Tax Payable,- -,- -,5183000,439000,4907000,2347000,5246000,5089000,6891000,10527000,16188000,7761000
51,Deferred Revenue,- -,17925000,38785000,67380000,112960000,157419000,213562000,275446000,356357000,468887000,616992000,731746000
52,Other Current Liabilities,- -,6770000,12164000,17120000,18677000,24260000,27545000,32286000,35555000,52852000,63982000,77704000
53,Total Current Liabilities,- -,26208000,54289000,86617000,135523000,186279000,246784000,314676000,401022000,551172000,715952000,840779000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51393000,43607000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2216000
56,Deferred Tax Liabilities,- -,422000,441000,1698000,- -,10622000,12974000,3828000,6095000,2417000,1835000,2216000
57,Other Non-Current Liabilities,- -,681000,1124000,1897000,2534000,3649000,4964000,6977000,8900000,52594000,10567000,16010000
58,Total Non-Current Liabilities,- -,1103000,1565000,3595000,2534000,14271000,17938000,10805000,14995000,55011000,63795000,64049000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,54828000,63118000,54588000
61,Total Liabilities,- -,27311000,55854000,90212000,138057000,200550000,264722000,325481000,416017000,606183000,779747000,904828000
62,Preferred Stock,- -,6933000,6933000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,1000,1000,1000,1000,1000,1000,1000,2000,2000
64,Retained Earnings,- -,6144000,24927000,48542000,88925000,143385000,212189000,354850000,619197000,919658000,1299656000,1727046000
65,Other Comprehensive Income/Loss,- -,- -,5000,19000,26000,172000,111000,1404000,928000,460000,992000,-11958000
