,https://roic.ai/company/SNYR,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,9158,13456377,34840394,35596035,33824495,29357546
2,COGS,- -,- -,- -,5616,5308130,10205324,9818406,12474098,9137602
3,Gross Profit,- -,- -,- -,3542,8148247,24635070,25777629,21350397,20219944
4,Gross Profit Ratio,- -,- -,- -,0.3868,0.6055,0.7071,0.7242,0.6312,0.6887
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,9000,13283,961636,3368495,8019722,8418159,7191646,5493433
7,Selling and Marketing Exp.,- -,- -,- -,- -,3685727,10334075,14043870,16330365,11471652
8,"Selling, General and Administrative Exp.",- -,9000,13283,961636,7054222,18353797,22462029,23522011,16965085
9,Other Expenses,- -,- -,8500,- -,608002,1170778,1493285,1822064,1211861
10,Operating Expenses,- -,9000,21783,961636,7662224,19524575,23955314,25344075,18176946
11,COGS and Expenses,- -,9000,21783,967252,12970354,29729899,33773720,37818173,27314548
12,Interest Income ,- -,- -,- -,- -,1460,5107,20,235,414
13,Interest Expense (Gain),- -,1200,1418,1998,958740,1567867,1044277,1132763,981105
14,Depreciation and Amortization,- -,- -,- -,- -,608002,1170778,1493285,1822064,1211860
15,EBITDA,- -,-3000,-21783,-958094,-5579861,2886842,3353142,-3453557,-6882945
16,EBITDA ratio,- -,-Infinity,-Infinity,-104.6183,-0.4147,0.0829,0.0942,-0.1021,-0.2345
17,Operating Income,- -,-15000,-21783,-958094,486023,2933585,1822315,-4917746,-7956110
18,Operating Income ratio,- -,-Infinity,-Infinity,-104.6183,0.0361,0.0842,0.0512,-0.1454,-0.2710
19,Total Other Income Expenses (Gains),- -,-6000,- -,-1998,-7632626,-2785388,-1006735,-1490638,-1119800
20,Income Before Tax,- -,- -,- -,-960092,-7146603,148197,815580,-6408384,-9075910
21,Income Before Tax Ratio,- -,- -,- -,-104.8364,-0.5311,0.0043,0.0229,-0.1895,-0.3092
22,Income Tax expense (Gain),- -,- -,- -,- -,389945,944358,316012,-247694,131537
23,Net Income,- -,-16200,-23201,-960092,-7536548,-796161,499568,-6160690,-9207447
24,Net Income ratio,- -,-Infinity,-Infinity,-104.8364,-0.5601,-0.0229,0.0140,-0.1821,-0.3136
25,EPS,- -,-0.00,-0.00,-0.01,-0.11,-0.01,0.01,-0.07,-0.10
