,https://roic.ai/company/PAYD,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6698612,- -,- -,1003200,1297595,971802,1275888,1503460,1852545,4920123,8048854,3383294,2181236,4725962,7194707,6920500,13968231,4352568,796756,272920,523747,7571997,9253450,10548295,12920789,14889716
2,COGS,5284134,- -,- -,706488,863956,678275,747727,894932,1162953,3432623,5556635,1965619,1410402,3069701,4640596,4595500,11245304,2966427,476812,39504,24357,5686637,7062183,7801554,9809500,11436235
3,Gross Profit,1414478,- -,- -,296712,433639,293527,528161,608528,689592,1487500,2492219,1417675,770834,1656261,2554111,2325000,2722927,1386141,319944,233416,499390,1885360,2191267,2746741,3111289,3453481
4,Gross Profit Ratio,0.2112,- -,- -,0.2958,0.3342,0.3020,0.4140,0.4048,0.3722,0.3023,0.3096,0.4190,0.3534,0.3505,0.3550,0.3360,0.1949,0.3185,0.4016,0.8553,0.9535,0.2490,0.2368,0.2604,0.2408,0.2319
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,779811,545171,519096,423308,466499,448465,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2042975,2962874,2995338,4783848,1046711
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2042975,2962874,2995338,4783848,1046711
9,Other Expenses,1202791,102162,663612,2459743,3849430,3785377,3664479,3914045,3492264,4016219,3665846,3650646,4555504,4770132,5860411,6313100,6470477,2878682,1458255,1067216,954100,533137,529614,463436,458915,2897273
10,Operating Expenses,1202791,102162,663612,2459743,3849430,3785377,3664479,3914045,4272075,4561390,4184942,4073954,5022003,5218597,5860411,6313100,6470477,2878682,1458255,1067216,954100,2576112,3492488,3458774,5242763,3943984
11,COGS and Expenses,6486925,102162,663612,3166231,4713386,4463652,4412206,4808977,5435028,7994013,9741577,6039573,6432405,8288298,10501007,10908600,17715781,5845109,1935067,1106720,978457,8262749,10554671,11260328,15052263,15380219
12,Interest Income ,6299,- -,4,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),43091,- -,- -,- -,1597045,899785,417634,409469,497320,294822,17877,82659,484441,2500,602,2800,5769,3166,- -,- -,- -,14127,1673,- -,- -,- -
14,Depreciation and Amortization,392015,3712,- -,235271,881459,1826089,1661387,1428970,1087889,840752,148366,129074,71031,18348,26877,40600,77055,73907,26067,34520,102905,859210,836292,513100,488745,545145
15,EBITDA,737610,-82587,-663612,-1947769,-3014632,-1631682,-1452344,-1876434,-2494525,-1965078,-1537865,-2512350,-4178896,-3463470,-3279326,-3930800,-4063376,-1047197,-1637273,-1274002,-244220,180108,-10756857,792907,-1621601,54642
16,EBITDA ratio,0.1101,-Infinity,-Infinity,-1.9416,-2.3232,-1.6790,-1.1383,-1.2481,-1.3465,-0.3994,-0.1911,-0.7426,-1.9158,-0.7329,-0.4558,-0.5680,-0.2909,-0.2406,-2.0549,-4.6680,-0.4663,0.0238,-1.1625,0.0752,-0.1255,0.0037
17,Operating Income,211687,-102162,-663612,-2163031,-3940290,-3491850,-3136318,-3305517,-3582483,-3073890,-1692723,-2656279,-4251169,-3562336,-3306300,-3988100,-3747550,-1492541,-1138311,-833800,-454710,-690752,-11655393,-712033,-2131474,-490503
18,Operating Income ratio,0.0316,-Infinity,-Infinity,-2.1561,-3.0366,-3.5932,-2.4581,-2.1986,-1.9338,-0.6248,-0.2103,-0.7851,-1.9490,-0.7538,-0.4595,-0.5763,-0.2683,-0.3429,-1.4287,-3.0551,-0.8682,-0.0912,-1.2596,-0.0675,-0.1650,-0.0329
19,Total Other Income Expenses (Gains),87252,-14627,- -,-20009,-1552846,-865706,-395047,-409356,-497251,-26735,-11385,-67804,-483199,78018,-505,13900,-398650,368271,-525029,-474722,107585,-2477,60571,991840,21128,- -
20,Income Before Tax,298939,-116789,- -,-2183040,-5493136,-4357556,-3531365,-3714873,-4079734,-3100625,-1704108,-2724083,-4734368,-3484318,-3306805,-3974200,-4146200,-1124270,-1663340,-1308522,-347125,-693229,-11594822,279807,-2110346,-490503
21,Income Before Tax Ratio,0.0446,-Infinity,- -,-2.1761,-4.2333,-4.4840,-2.7678,-2.4709,-2.2022,-0.6302,-0.2117,-0.8052,-2.1705,-0.7373,-0.4596,-0.5743,-0.2968,-0.2583,-2.0876,-4.7945,-0.6628,-0.0916,-1.2530,0.0265,-0.1633,-0.0329
22,Income Tax expense (Gain),174000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3650,2430,975,456,-76209,-63296,-2204,122207,206257
23,Net Income,128504,-7185755,-987145,-2183040,-5493136,-4357556,-3531365,-3714873,-4079734,-3100652,-1704108,-2724083,-4734368,-3484318,-3306805,-3974200,-4146200,-1127920,-1665770,-1309497,-347581,-617020,-11531526,282011,-2232553,-696760
24,Net Income ratio,0.0192,-Infinity,-Infinity,-2.1761,-4.2333,-4.4840,-2.7678,-2.4709,-2.2022,-0.6302,-0.2117,-0.8052,-2.1705,-0.7373,-0.4596,-0.5743,-0.2968,-0.2591,-2.0907,-4.7981,-0.6636,-0.0815,-1.2462,0.0267,-0.1728,-0.0468
25,EPS,8.50,-550.50,-33.50,-25.00,-55.00,-35.00,-15.00,-15.00,-10.00,-10.00,-5.00,-5.00,-10.00,-5.00,-5.00,-5.00,-5.00,-5.00,-5.00,-1.80,-0.33,-0.28,-7.06,0.06,-0.41,-0.13
26,EPS Diluted,8.50,-550.50,-33.50,-25.00,-55.00,-35.00,-15.00,-15.00,-10.00,-10.00,-5.00,-5.00,-10.00,-5.00,-5.00,-6.74,-6.46,-5.00,-5.00,-1.80,-0.33,-0.28,-7.06,0.05,-0.41,-0.13
27,Weighted Average Shares Outstanding,14822,13050,29475,90555,96234,126393,232254,287765,327525,368017,420728,453358,480939,521422,554042,589370,641410,657748,660744,719291,1067755,1645542,1622671,1614817,5469908,5469908
28,Weighted Average Shares Outstanding Diluted,14822,13050,29475,90555,96234,126393,232254,287765,327525,368017,420728,453358,480939,521422,554042,589370,641410,657748,660744,719291,1067755,1645542,1622671,1669178,5469908,5469908
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1017655/000114036110011587/0001140361-10-011587-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000114036111016136/0001140361-11-016136-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000101765512000025/0001017655-12-000025-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000114420413021865/0001144204-13-021865-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000114420414019476/0001144204-14-019476-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000114420415019424/0001144204-15-019424-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000141588916005382/0001415889-16-005382-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495417002927/0001654954-17-002927-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495418003409/0001654954-18-003409-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495419003887/0001654954-19-003887-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495420003514/0001654954-20-003514-index.html,https://www.sec.gov/Archives/edgar/data/1017655/000165495421003649/0001654954-21-003649-index.htm,https://www.sec.gov/Archives/edgar/data/1017655/000185173422000179/0001851734-22-000179-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,41283,104397,43558,1502987,138326,264811,106948,730433,747245,996000,1433034,463285,651318,123913,339562,535520,632331,475881,1644210,2839687
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,205000,142777,106097,- -,- -,- -,203170,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,41283,104397,43558,1502987,138326,264811,106948,730433,747245,1201000,1575811,569382,651318,123913,339562,738690,632331,475881,1644210,2839687
34,Net Receivables,- -,- -,- -,- -,- -,- -,7495,3529,101395,138875,67534,- -,43922,641785,303941,194300,348855,975719,211912,26696,40340,38287,87718,131561,171785,215109
35,Inventory,- -,- -,- -,- -,- -,- -,966749,702078,624082,1364248,1181361,1195689,1016938,1042700,1052524,876700,420709,1305,1305,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,104957,79695,134253,933929,90048,224915,404876,518722,1072304,1096200,639976,255707,125472,62394,226465,44088,110028,124257,- -,164823
37,Total Current Assets,- -,- -,- -,- -,- -,- -,1120484,889699,903288,3940039,1477269,1685415,1572684,2933640,3176014,3368200,2985351,1802113,990007,213003,606367,821065,830077,731699,1815995,3219619
38,PP&E,- -,- -,- -,- -,- -,- -,907785,397950,172706,256244,191518,74338,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59848,101533
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9989685,10695120,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,2279799,1414737,688872,33290,11768,10828,9888,8948,8007,7100,- -,5184,4242,276878,5956771,5502322,4290773,4048572,3633420,3175198
41,Intangible Assets,- -,- -,- -,- -,- -,- -,2279799,1414737,688872,33290,11768,10828,9888,8948,8007,7100,6125,5184,4242,276878,15946456,16197442,4290773,4048572,3633420,3175198
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30967,40517,71767,1559000,1240071,43614,41876,8833,92552,92486,90843,211147,- -,- -
