,https://roic.ai/company/NEGG,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,9414430,12369960,19600000,21640000,21370000,7400000,2770000,738300,13062370,882010,559390,383460,358536
2,COGS,5931087,7510718,11980000,13700000,13250000,4590000,1780000,1094120,17179060,1655970,757900,743740,646653
3,Gross Profit,3483343,4859242,7620000,7940000,8120000,2810000,990000,-355820,-4116690,-773960,-198510,-360280,-288117
4,Gross Profit Ratio,0.3700,0.3928,0.3888,0.3669,0.3800,0.3797,0.3574,-0.4819,-0.3152,-0.8775,-0.3549,-0.9396,-0.8036
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1431842,1211130,2680000,4500000,3960000,2460000,1170047000,3053321750,1023541740,1174716800,7863520,4277090,2398670
7,Selling and Marketing Exp.,973898,700175,- -,- -,- -,- -,-1167487000,-3046408000,-1018581000,-1170378000,-2083000,-835000,91820
8,"Selling, General and Administrative Exp.",2405740,1911305,2680000,4500000,3960000,2460000,2560000,6913750,4960740,4338800,5780520,3442090,2490490
9,Other Expenses,- -,- -,146951,112009,-231622,445520,2348267,58461,558066,-54741,3,-1,196531
10,Operating Expenses,2405740,1911305,2826951,4612009,3728378,2905520,4908267,6972211,5518806,4284059,5780523,3442089,2687021
11,COGS and Expenses,8336827,9422023,14470000,18030000,16980000,6800000,4250000,7642110,23238060,5940030,9820200,4185830,3333674
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),97122,85665,-120000,70343,82136,-510000,195965000,195550,402490,-172670,561970,-616390,- -
14,Depreciation and Amortization,235867,286395,370000,450000,550000,220000,270000,525920,1232260,1328400,827630,778120,451884
15,EBITDA,1666341,3577492,5640000,4470377,4498433,2230000,221926000,2476340,86928880,-3980700,-7520400,-4289260,-2789813
16,EBITDA ratio,0.1770,0.2892,0.2878,0.2066,0.2105,0.3014,80.1177,3.3541,6.6549,-4.5132,-13.4439,-11.1857,-7.7811
17,Operating Income,1077603,2947937,5130000,3610000,4390000,600000,-1470000,-6903810,-10175690,-5058020,-9260810,-3802370,-2975138
18,Operating Income ratio,0.1145,0.2383,0.2617,0.1668,0.2054,0.0811,-0.5307,-9.3510,-0.7790,-5.7347,-16.5552,-9.9159,-8.2980
19,Total Other Income Expenses (Gains),318080,315416,280000,170000,-310000,-980000,2750000,192960,470930,-78410,350810,-648620,-266559
