,https://roic.ai/company/YUM,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,9681000000,8468000000,7822000000,7093000000,6953000000,7757000000,8380000000,9011000000,9349000000,9561000000,10416000000,11279000000,10836000000,11343000000,12626000000,13633000000,13084000000,13279000000,6418000000,6366000000,5878000000,5688000000,5597000000,5652000000,6584000000
2,COGS,5563000000,4764000000,4219000000,3735000000,3633000000,4033000000,4352000000,4676000000,7122000000,7094000000,5169000000,8539000000,5275000000,5373000000,9285000000,6627000000,6326000000,6417000000,2705000000,3700000000,3191000000,3030000000,2783000000,2965000000,3418000000
3,Gross Profit,4118000000,3704000000,3603000000,3358000000,3320000000,3724000000,4028000000,4335000000,2227000000,2467000000,5247000000,2740000000,5561000000,5970000000,3341000000,7006000000,6758000000,6862000000,3713000000,2666000000,2687000000,2658000000,2814000000,2687000000,3166000000
4,Gross Profit Ratio,0.4254,0.4374,0.4606,0.4734,0.4775,0.4801,0.4807,0.4811,0.2382,0.2580,0.5037,0.2429,0.5132,0.5263,0.2646,0.5139,0.5165,0.5168,0.5785,0.4188,0.4571,0.4673,0.5028,0.4754,0.4809
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,31000000,30000000,25000000,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3456000000,2936000000,2709000000,2495000000,2454000000,2719000000,2958000000,3239000000,- -,- -,3937000000,- -,3998000000,4134000000,- -,4838000000,4714000000,4814000000,2195000000,1161000000,999000000,895000000,917000000,1064000000,1060000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1208000000,1368000000,- -,- -
8,"Selling, General and Administrative Exp.",3456000000,2936000000,2709000000,2495000000,2454000000,2719000000,2958000000,3239000000,- -,- -,3937000000,- -,3998000000,4134000000,- -,4838000000,4714000000,4814000000,2195000000,1161000000,999000000,2103000000,2285000000,1064000000,1060000000
9,Other Expenses,421000000,-260000000,-346000000,3000000,-25000000,-25000000,11000000,-59000000,1074000000,1146000000,-47000000,1191000000,-27000000,67000000,1372000000,-156000000,215000000,461000000,59000000,- -,- -,-1208000000,-1368000000,- -,- -
10,Operating Expenses,3877000000,2676000000,2363000000,2498000000,2429000000,2694000000,2969000000,3180000000,1074000000,1146000000,3890000000,1191000000,3971000000,4201000000,1372000000,4712000000,4960000000,5305000000,2279000000,1161000000,999000000,895000000,917000000,1064000000,1060000000
11,COGS and Expenses,9440000000,7440000000,6582000000,6233000000,6062000000,6727000000,7321000000,7856000000,8196000000,8240000000,9059000000,9730000000,9246000000,9574000000,10657000000,11339000000,11286000000,11722000000,4984000000,4861000000,4190000000,3925000000,3700000000,4029000000,4478000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,18000000,20000000,28000000,20000000,23000000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253000000,212000000,195000000,184000000,169000000,270000000,130000000,134000000,307000000,440000000,452000000,486000000,543000000,544000000
14,Depreciation and Amortization,536000000,417000000,386000000,354000000,354000000,370000000,401000000,448000000,469000000,479000000,542000000,556000000,580000000,589000000,628000000,645000000,721000000,739000000,319000000,309000000,253000000,137000000,112000000,146000000,164000000
