,https://roic.ai/company/NH,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,33921000,58304000,100380000,86676000,89464000,95961000,73172000,62649000
2,COGS,24230000,34809000,72334000,41522000,44269000,38422000,57414000,27807000
3,Gross Profit,9691000,23495000,28046000,45154000,45195000,57539000,15758000,34842000
4,Gross Profit Ratio,0.2857,0.4030,0.2794,0.5210,0.5052,0.5996,0.2154,0.5561
5,Research and Development Exp.,16979000,23835000,61637000,33862000,20916000,19072000,17274000,19707000
6,General and Administrative Exp.,- -,- -,120653000,74976000,70763000,61043000,48534000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,120653000,74976000,70763000,61043000,48534000,52092000
9,Other Expenses,53242000,70563000,7257000,4216000,4217000,4217000,4405000,3942000
10,Operating Expenses,70221000,94398000,189547000,113054000,95896000,84332000,70213000,75741000
11,COGS and Expenses,94451000,129207000,261881000,154576000,140165000,122754000,127627000,103548000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),980000,627000,6340000,16168000,17120000,18044000,19199000,14481000
14,Depreciation and Amortization,16178000,15788000,30933000,28055000,22355000,22362000,16770000,15723000
15,EBITDA,-67262000,-55191000,-169640000,-133191000,-156350000,-22468000,-20030000,-27958000
16,EBITDA ratio,-1.9829,-0.9466,-1.6900,-1.5367,-1.7476,-0.2341,-0.2737,-0.4463
17,Operating Income,-84680000,-70903000,-161501000,-67900000,-50701000,-30770000,-26267000,-40899000
18,Operating Income ratio,-2.4964,-1.2161,-1.6089,-0.7834,-0.5667,-0.3207,-0.3590,-0.6528
19,Total Other Income Expenses (Gains),68000,-703000,-45412000,-65702000,-143405000,-31986000,-61725000,-17570000
20,Income Before Tax,-84612000,-71606000,-206913000,-133602000,-194106000,-62756000,-87992000,-58469000
21,Income Before Tax Ratio,-2.4944,-1.2281,-2.0613,-1.5414,-2.1697,-0.6540,-1.2025,-0.9333
22,Income Tax expense (Gain),5000,405000,-22811000,-2203000,-3673000,-112000,447000,97000
23,Net Income,-84425000,-72011000,-184102000,-175211000,-192152000,-62762000,-56446000,-58259000
24,Net Income ratio,-2.4889,-1.2351,-1.8341,-2.0214,-2.1478,-0.6540,-0.7714,-0.9299
25,EPS,-0.70,-0.60,-1.69,-1.49,-1.76,-0.57,-0.51,-0.51
26,EPS Diluted,-0.70,-0.60,-1.69,-1.49,-1.76,-0.57,-0.51,-0.51
27,Weighted Average Shares Outstanding,120732690,120732690,111600650,116737860,109168798,110351638,110954858,114148604
28,Weighted Average Shares Outstanding Diluted,120732690,120732690,111600650,116737860,109168798,110468372,110954858,114148604
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1566469/000156646917000007/0001566469-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646918000006/0001566469-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646919000012/0001566469-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646920000015/0001566469-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646921000010/0001566469-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1566469/000156646922000013/0001566469-22-000013-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,3699000,5989000,160353000,61660000,18305000,5243000,22787000,29084000
32,Short-Term Investments,221871000,1243000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,225570000,7232000,160353000,61660000,18305000,5243000,22787000,29084000
34,Net Receivables,3064000,15211000,14627000,12076000,16293000,28368000,3273000,6316000
35,Inventory,2946000,2146000,2217000,839000,496000,798000,- -,- -
36,Other Current Assets,1638000,8437000,8382000,7318000,4350000,3504000,4535000,4010000
37,Total Current Assets,233218000,33026000,185579000,81893000,39444000,37913000,30595000,39410000
38,PP&E,9315000,13899000,29139000,18517000,22978000,26168000,13102000,18414000
39,Goodwill,33368000,56718000,131068000,114625000,115930000,115930000,98333000,98333000
40,Intangible Assets,32499000,54971000,119126000,69424000,64703000,51848000,47969000,39039000
41,Intangible Assets,65867000,111689000,250194000,184049000,180633000,167778000,146302000,137372000
42,Investments,- -,248191000,207197000,156863000,40000000,31702000,- -,- -
43,Tax Assets,153000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,2322000,5148000,12198000,7873000,3282000,2926000,- -,2632000
45,Total Non-Current Assets,77657000,378927000,498728000,367302000,246893000,228574000,159404000,158418000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,310875000,411953000,684307000,449195000,286337000,266487000,189999000,197828000
48,Accounts Payable,4136000,6447000,6720000,3164000,1650000,3951000,5122000,3204000
49,Short-Term Debt,- -,- -,- -,- -,- -,238000,268000,782000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,24114000,10656000,17216000,10057000,16263000,16748000,1166000,2440000
52,Other Current Liabilities,58747000,26133000,33313000,22638000,18623000,36564000,118202000,21519000
53,Total Current Liabilities,86997000,43236000,57249000,35859000,36536000,57501000,124758000,27945000
54,Long-Term Debt,- -,- -,191040000,195458000,200477000,206178000,- -,255785000
55,Deferred Revenue,9012000,17312000,17238000,7126000,6704000,1286000,- -,2024000
