,https://roic.ai/company/CHT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,184400000000,179791311090,182173188900,185163000000,185241205000,186320858460,200914567350,201670000000,198361000000,202430000000,217493000000,220131000000,227981000000,226609000000,231795000000,229991000000,227514000000,215483000000,207520000000,207609000000,209440891000
2,COGS,72700000000,58260871750,59524622580,60256000000,70341015000,62595727370,108321978200,113488000000,112736000000,115332000000,131531000000,141177000000,147289000000,148380000000,148126000000,147552000000,146837000000,139545000000,135953000000,137029000000,135110751000
3,Gross Profit,111700000000,121530439340,122648566320,124907000000,114900190000,123725131090,92592589150,88182000000,85625000000,87098000000,85962000000,78954000000,80692000000,78229000000,83669000000,82439000000,80677000000,75938000000,71567000000,70580000000,74330140000
4,Gross Profit Ratio,0.6057,0.6760,0.6733,0.6746,0.6203,0.6640,0.4609,0.4373,0.4317,0.4303,0.3952,0.3587,0.3539,0.3452,0.3610,0.3584,0.3546,0.3524,0.3449,0.3400,0.3549
5,Research and Development Exp.,- -,2434782700,2580645360,2476000000,3156960000,2834892390,2594538400,3144000000,3173000000,3250000000,3525000000,3698000000,3726000000,3504000000,3617000000,3785000000,3886000000,3725000000,3941000000,3850000000,3687747000
6,General and Administrative Exp.,3500000000,- -,- -,2550000000,- -,- -,- -,3680000000,3765000000,4012000000,4180000000,4024000000,4190000000,4414000000,4515000000,4537000000,4626000000,4589000000,4758000000,5006000000,5293136000
7,Selling and Marketing Exp.,21900000000,- -,- -,19298000000,- -,- -,- -,22732000000,22293000000,22469000000,23172000000,22319000000,25164000000,26145000000,25071000000,25516000000,25357000000,23170000000,22220000000,20913000000,20944091000
8,"Selling, General and Administrative Exp.",25400000000,- -,- -,21848000000,- -,- -,- -,26412000000,26058000000,26481000000,27352000000,26343000000,29354000000,30559000000,29586000000,30053000000,29983000000,27759000000,26978000000,25919000000,26237227000
9,Other Expenses,114400000000,63269567590,64210531260,40703000000,68499455000,64583410540,27210221470,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,920000000,-125000000,45000000,-894066000
10,Operating Expenses,139800000000,65704350290,66791176620,65027000000,71656415000,67418302930,29804759870,29556000000,29231000000,29731000000,30877000000,30041000000,33080000000,34063000000,33203000000,33838000000,33869000000,32404000000,30794000000,29814000000,29030908000
11,COGS and Expenses,212500000000,123965222040,126315799200,125283000000,141997430000,130014030300,138126738070,143044000000,141967000000,145063000000,162408000000,171218000000,180369000000,182443000000,181329000000,181390000000,180706000000,171949000000,166747000000,166843000000,164141659000
12,Interest Income ,- -,208695660,101867580,224000000,460390000,814624250,1459427850,1916000000,479000000,475000000,682000000,742000000,563000000,288000000,306000000,189000000,205000000,197000000,251000000,116000000,94684000
13,Interest Expense (Gain),- -,173913050,33955860,5000000,- -,- -,- -,4000000,15000000,107000000,31000000,22000000,36000000,46000000,33000000,20000000,22000000,18000000,104000000,206000000,218171000
14,Depreciation and Amortization,- -,40417392820,41494060920,40703000000,41270675000,40633457590,39372120220,38216000000,36336000000,34064000000,32306000000,32525000000,32192000000,34114000000,33448000000,32485000000,31930000000,31868000000,35176000000,36366000000,38400873000
15,EBITDA,37400000000,97669568880,99049243620,102885000000,87441215000,97983004790,103359923510,97904000000,92851000000,90909000000,89036000000,80309000000,80200000000,80115000000,84621000000,80777000000,78789000000,75848000000,76173000000,78113000000,83244368000
16,EBITDA ratio,0.2028,0.5432,0.5437,0.5556,0.4720,0.5259,0.5144,0.4855,0.4681,0.4491,0.4094,0.3648,0.3518,0.3535,0.3651,0.3512,0.3463,0.3520,0.3671,0.3763,0.3975
17,Operating Income,44600000000,55826089050,55857389700,59880000000,43243775000,56306828160,62787829280,58626000000,56394000000,57367000000,55085000000,48913000000,47671000000,44797000000,50361000000,48105000000,46703000000,43644000000,40646000000,42361000000,44929821000
18,Operating Income ratio,0.2419,0.3105,0.3066,0.3234,0.2334,0.3022,0.3125,0.2907,0.2843,0.2834,0.2533,0.2222,0.2091,0.1977,0.2173,0.2092,0.2053,0.2025,0.1959,0.2040,0.2145
19,Total Other Income Expenses (Gains),2300000000,1252173960,1663837140,2297000000,2926765000,1042719040,1524291310,1058000000,844000000,320000000,1614000000,-17000000,1425000000,1755000000,1592000000,1308000000,1306000000,1342000000,1221000000,465000000,1136803000
20,Income Before Tax,46900000000,57078263010,57521226840,62177000000,46170540000,57349547200,64312120590,59684000000,57238000000,57687000000,56699000000,48896000000,49096000000,46552000000,51953000000,49413000000,48009000000,44986000000,41867000000,42826000000,46066624000
21,Income Before Tax Ratio,0.2543,0.3175,0.3158,0.3358,0.2492,0.3078,0.3201,0.2959,0.2886,0.2850,0.2607,0.2221,0.2154,0.2054,0.2241,0.2148,0.2110,0.2088,0.2017,0.2063,0.2200
22,Income Tax expense (Gain),- -,12869565700,10288625580,11259000000,12759380000,15282350930,14529415040,13892000000,12743000000,9129000000,8604000000,7858000000,6478000000,8985000000,9101000000,7787000000,7849000000,6405000000,7946000000,8122000000,8871745000
