,https://roic.ai/company/ORTX,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,- -,- -,2076000,2513000,2595000,1675000
2,COGS,- -,- -,422000,805000,857000,226000
3,Gross Profit,- -,- -,1654000,1708000,1738000,1449000
4,Gross Profit Ratio,- -,- -,0.7967,0.6797,0.6697,0.8651
5,Research and Development Exp.,16206000,32527000,205319000,117363000,93730000,86977000
6,General and Administrative Exp.,2997000,5985000,- -,49158000,56893000,- -
7,Selling and Marketing Exp.,- -,- -,- -,8060000,8093000,- -
8,"Selling, General and Administrative Exp.",2997000,5985000,- -,57218000,64986000,54905000
9,Other Expenses,- -,- -,31366000,- -,- -,226000
10,Operating Expenses,19203000,38512000,236685000,174581000,158716000,142108000
11,COGS and Expenses,19203000,38512000,237107000,175386000,159573000,142108000
12,Interest Income ,3000,- -,- -,7362000,3185000,412000
13,Interest Expense (Gain),- -,- -,- -,1538000,2328000,2497000
14,Depreciation and Amortization,6000,302000,1199000,1675000,2004000,2327000
15,EBITDA,-19197000,-38210000,-228326000,-162449000,-148378000,-140588000
16,EBITDA ratio,-Infinity,-Infinity,-109.9836,-64.6435,-57.1784,-83.9331
17,Operating Income,-19203000,-38512000,-235031000,-172873000,-156978000,-140433000
18,Operating Income ratio,-Infinity,-Infinity,-113.2134,-68.7915,-60.4925,-83.8406
19,Total Other Income Expenses (Gains),138000,-1179000,5506000,7211000,4268000,-3323000
20,Income Before Tax,-19065000,-39691000,-229525000,-165662000,-152710000,-143756000
21,Income Before Tax Ratio,-Infinity,-Infinity,-110.5612,-65.9220,-58.8478,-85.8245
22,Income Tax expense (Gain),20000,53000,970000,-2240000,-731000,-828000
23,Net Income,-19085000,-39744000,-230495000,-163422000,-151979000,-144584000
24,Net Income ratio,-Infinity,-Infinity,-111.0284,-65.0306,-58.5661,-86.3188
25,EPS,-1.89,-4.48,-10.22,-1.75,-1.53,-1.45
26,EPS Diluted,-1.89,-4.48,-10.22,-1.75,-1.53,-1.45
27,Weighted Average Shares Outstanding,10095863,8872768,22559389,93240355,99445874,99445874
28,Weighted Average Shares Outstanding Diluted,10095863,8872768,22559389,93240355,99445874,99445874
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1748907/000156459020007353/0001564590-20-007353-index.htm,https://www.sec.gov/Archives/edgar/data/1748907/000156459021010035/0001564590-21-010035-index.htm,https://www.sec.gov/Archives/edgar/data/1748907/000156459022012325/0001564590-22-012325-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,3497000,89856000,335844000,19053000,55135000,55912000
32,Short-Term Investments,- -,- -,- -,305937000,136813000,164195000
33,Cash and Short-Term Investments,3497000,89856000,335844000,324990000,191948000,220107000
34,Net Receivables,33000,1247000,12738000,16376000,23019000,1480000
35,Inventory,- -,- -,- -,- -,665000,- -
36,Other Current Assets,448000,3118000,6935000,8530000,7903000,53734000
37,Total Current Assets,3978000,94221000,355517000,349896000,223535000,275321000
38,PP&E,184000,2713000,5476000,27011000,34596000,29083000
39,Goodwill,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,4149000
41,Intangible Assets,- -,- -,- -,- -,- -,4149000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,121000,360000,5049000,22374000,22806000,13856000
45,Total Non-Current Assets,305000,3073000,10525000,49385000,57402000,47088000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,4283000,97294000,366042000,399281000,280937000,322409000
48,Accounts Payable,698000,3891000,18125000,11984000,8823000,10008000
49,Short-Term Debt,- -,- -,- -,5892000,13795000,8121000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,2267000,- -,- -,- -,346000
52,Other Current Liabilities,3117000,4597000,29780000,37980000,28943000,24318000
53,Total Current Liabilities,3815000,10755000,47905000,55856000,51561000,42793000
54,Long-Term Debt,- -,- -,- -,40019000,44372000,19278000
55,Deferred Revenue,- -,- -,- -,- -,- -,12519000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,16992000,134000,6799000,4213000,6570000,37869000
58,Total Non-Current Liabilities,16992000,134000,6799000,44232000,50942000,69666000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,21212000,33102000,- -
61,Total Liabilities,20807000,10889000,54704000,100088000,102503000,112459000
62,Preferred Stock,- -,134069000,- -,- -,- -,- -
63,Common Stock,- -,- -,10924000,12331000,12507000,- -
64,Retained Earnings,-19657000,-59401000,-290239000,-453661000,-605640000,-750224000
65,Other Comprehensive Income/Loss,-6000,-310000,-1496000,2042000,373000,3246000
