,https://roic.ai/company/GRUSF,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,275,51312,99372,73330,39492,28516,59801,40066,- -,16468,- -,3924983,4239604
2,COGS,23,100274,132931,92698,28670,8759,15761,18811,- -,313106,2864,3072384,2393907
3,Gross Profit,252,-48962,-33559,-19369,10822,19757,44040,21255,- -,-296638,-2864,852599,1845697
4,Gross Profit Ratio,0.9178,-0.9542,-0.3377,-0.2641,0.2740,0.6928,0.7364,0.5305,- -,-18.0127,-Infinity,0.2172,0.4353
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,122621,248042,- -,28250,- -
6,General and Administrative Exp.,- -,- -,- -,513279,882698,553573,249813,139147,824556,1924774,392216,4374967,2533583
7,Selling and Marketing Exp.,- -,- -,- -,90473,46596,24438,-13105,-17218,- -,- -,2205,209470,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,603752,929294,578012,236708,121929,824556,1924774,394422,4584437,2533583
9,Other Expenses,47307,156138,564431,0,20653,12600,123179,372453,- -,-308786,-2864,113370,277436
10,Operating Expenses,47307,156138,564431,603752,949946,590612,359887,494381,947177,1864030,391558,4726057,2811019
11,COGS and Expenses,47329,256412,697362,696450,978616,599371,375648,513193,947177,2172817,394422,7798441,5204926
12,Interest Income ,- -,1443,28,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,271606,89410,72835,261223,211676,9787,- -,- -,398744,858653
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94668,277436
15,EBITDA,-47552,-300261,-649480,-497133,-2739438,-3973879,-5363131,-1823544,-947177,-1661825,-394422,-8806810,-1145350
16,EBITDA ratio,-172.9932,-5.8517,-6.5359,-6.7794,-69.3661,-139.3541,-89.6830,-45.5135,-Infinity,-100.9110,-Infinity,-2.2438,-0.2702
17,Operating Income,-47552,-301704,-649509,-776911,-939124,-3283359,-315847,-473127,-947177,-2304356,-394422,-7622956,-1574679
18,Operating Income ratio,-172.9932,-5.8798,-6.5361,-10.5948,-23.7798,-115.1393,-5.2816,-11.8087,-Infinity,-139.9275,-Infinity,-1.9422,-0.3714
19,Total Other Income Expenses (Gains),-497,-96604,-51518,125988,-1889725,-763355,-5308507,2034416,-9391688,642532,-3132,-1853978,-781809
20,Income Before Tax,- -,- -,- -,- -,-2828848,-4046714,-5624354,1561289,-10338865,-1661825,-397554,-9476934,-2356488
21,Income Before Tax Ratio,- -,- -,- -,- -,-71.6301,-141.9083,-94.0512,38.9679,-Infinity,-100.9110,-Infinity,-2.4145,-0.5558
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-47552,-300261,-649480,-768739,-2828848,-4046714,-5624354,-2035220,-10336794,-1661825,-397554,-9300222,-2281439
24,Net Income ratio,-172.9932,-5.8517,-6.5359,-10.4833,-71.6301,-141.9083,-94.0512,-50.7967,-Infinity,-100.9110,-Infinity,-2.3695,-0.5381
25,EPS,-0.08,-0.27,-0.37,-0.34,-0.48,-0.54,-6.21,-1.03,-6.97,-0.87,-0.11,-0.13,-0.03
26,EPS Diluted,-0.08,-0.27,-0.37,-0.34,-0.48,-0.54,-6.21,-1.24,-6.97,-0.87,-0.11,-0.13,-0.03
27,Weighted Average Shares Outstanding,568248,1260450,1763367,2280517,5840697,7483881,905381,1978496,1483640,1902582,3773690,70928833,90596827
28,Weighted Average Shares Outstanding Diluted,568248,1260450,1763367,2280517,5840697,7483881,905381,2682510,1483640,1902582,3773690,70928833,90596827
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,190837,157868,41283,168820,332313,186717,94924,24311,343743,824,22257,74926,217788
32,Short-Term Investments,1,1,1,1,1,- -,- -,7250,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,190838,157869,41283,168821,332314,186717,94924,31560,343743,824,22257,74926,217788
34,Net Receivables,5000,18645,51287,130289,17648,26357,144500,38758,11306,32486,3185,134423,172121
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1097304,1375050
36,Other Current Assets,-0,0,0,45237,-0,150157,- -,-0,13597,- -,-0,126309,69816
37,Total Current Assets,195837,176514,92571,344346,349961,363231,239425,70318,368645,33310,25442,1432962,1834775
38,PP&E,422,371605,5667003,9337686,8711029,6199277,4632030,- -,- -,- -,- -,1464917,1151799
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34597,4997
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,772847
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,422,371605,5667003,9337686,8711029,6199277,4632030,- -,- -,- -,- -,1499514,1929643
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,196259,548119,5759574,9682033,9060990,6562508,4871455,70318,368645,33310,25442,2932476,3764418
48,Accounts Payable,67469,139680,460902,- -,- -,1308652,- -,- -,- -,- -,541525,1526855,1059971
49,Short-Term Debt,- -,167500,279313,4033791,3148508,961002,902969,1059284,- -,- -,61528,2275485,146376
50,Tax Payable,- -,9327,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,163522,- -,- -,- -,- -,35000,- -
52,Other Current Liabilities,216511,-5240,54225,1285907,1047237,2822577,2381900,1452648,896232,419725,38048,305149,592757
53,Total Current Liabilities,283980,301939,794440,5319699,4195745,5092231,3448391,2511932,896232,419725,641102,4142489,1799104
54,Long-Term Debt,- -,- -,963169,- -,- -,- -,- -,- -,- -,- -,- -,- -,2510023
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,3318,3684,51288,1894243,1335441,3924062,- -,- -,- -,- -,217633,400310
58,Total Non-Current Liabilities,- -,3318,966853,51288,1894243,1335441,3924062,- -,- -,- -,- -,217633,2910333
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142205,116907
61,Total Liabilities,283980,305257,1761293,5370986,6089988,6427672,7372453,2511932,896232,419725,641102,4360122,4709437
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18210994,12647930,14424341
64,Retained Earnings,-658632,-939079,-1619422,-2522899,-4981134,-8738912,-14096921,-13610708,-22601729,-25100795,-24794077,-17112605,-19394044
65,Other Comprehensive Income/Loss,-520,-120925,-87703,-23633,-110229,194135,4315,-83466,- -,- -,- -,121920,-12197
66,Other Total Stockholders Equity,571431,1302865,5705406,6857579,7970307,9176619,11595923,11169095,22074142,24714379,5967423,2895571,4070264
