,https://roic.ai/company/ELAN,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,2909100000,2913500000,2889000000,3066800000,3071000000,3273300000,4765000000
2,COGS,1533700000,1409000000,1493900000,1573800000,1470300000,1666600000,2134000000
3,Gross Profit,1375400000,1504500000,1395100000,1493000000,1600700000,1606700000,2631000000
4,Gross Profit Ratio,0.4728,0.5164,0.4829,0.4868,0.5212,0.4909,0.5522
5,Research and Development Exp.,291000000,265800000,251700000,246600000,270100000,327000000,369000000
6,General and Administrative Exp.,- -,- -,- -,735200000,760200000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,996000000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,735200000,760200000,996000000,1404000000
9,Other Expenses,1079000000,955500000,1001000000,197400000,200400000,360500000,556000000
10,Operating Expenses,1370000000,1221300000,1252700000,1179200000,1230700000,1683500000,2329000000
11,COGS and Expenses,2903700000,2630300000,2746600000,2753000000,2701000000,3350100000,4463000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,29600000,78900000,149800000,236000000
14,Depreciation and Amortization,236900000,254400000,318400000,296000000,314500000,516900000,716000000
15,EBITDA,-22600000,232000000,85800000,439700000,471600000,-5300000,385000000
16,EBITDA ratio,-0.0078,0.0796,0.0297,0.1434,0.1536,-0.0016,0.0808
17,Operating Income,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-264900000,-305600000,-375000000,-199700000,-291800000,-595200000,-2829000000
20,Income Before Tax,-259500000,-22400000,-232600000,114100000,78200000,-672000000,-567000000
21,Income Before Tax Ratio,-0.0892,-0.0077,-0.0805,0.0372,0.0255,-0.2053,-0.1190
22,Income Tax expense (Gain),-48700000,25500000,78100000,27600000,10300000,-111900000,-95000000
23,Net Income,-210800000,-47900000,-310700000,86500000,67900000,-560100000,-472000000
24,Net Income ratio,-0.0725,-0.0164,-0.1075,0.0282,0.0221,-0.1711,-0.0991
25,EPS,-0.59,-0.13,-1.06,0.28,0.18,-1.27,-0.97
26,EPS Diluted,-0.59,-0.13,-1.06,0.28,0.18,-1.27,-0.97
27,Weighted Average Shares Outstanding,356200000,356200000,356200000,313700000,369000000,441400000,487300000
28,Weighted Average Shares Outstanding Diluted,356200000,356200000,356200000,313700000,370300000,441400000,487300000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739104/000173910419000006/0001739104-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1739104/000173910420000005/0001739104-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1739104/000173910421000004/0001739104-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1739104/000173910422000005/0001739104-22-000005-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,258800000,323400000,474800000,334000000,494700000,638000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,258800000,323400000,474800000,334000000,494700000,638000000
34,Net Receivables,- -,630700000,601900000,709400000,889900000,1076700000,1028000000
35,Inventory,- -,875600000,1062300000,1004100000,1050700000,1578100000,1373000000
36,Other Current Assets,- -,182300000,136100000,316600000,98500000,267000000,237000000
37,Total Current Assets,- -,1947400000,2123700000,2504900000,2373100000,3416500000,3276000000
38,PP&E,- -,741800000,920300000,922400000,955300000,1316300000,1061000000
39,Goodwill,- -,2576500000,2969200000,2958000000,2989600000,6224800000,6172000000
40,Intangible Assets,- -,2621000000,2672800000,2453000000,2482800000,6387300000,5587000000
41,Intangible Assets,- -,5197500000,5642000000,5411000000,5472400000,12612100000,11759000000
42,Investments,- -,9000000,12300000,15300000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,204000000,242000000,103100000,185000000,347800000,387000000
45,Total Non-Current Assets,- -,6152300000,6816600000,6451800000,6612700000,14276200000,13207000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,8099700000,8940300000,8956700000,8985800000,17692700000,16483000000
48,Accounts Payable,- -,228200000,203800000,205200000,222600000,501000000,418000000
49,Short-Term Debt,- -,- -,- -,29000000,24500000,554500000,294000000
50,Tax Payable,- -,7500000,4800000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,390700000,428800000,736500000,571400000,1020800000,931000000
53,Total Current Liabilities,- -,618900000,632600000,970700000,818500000,2076300000,1643000000
54,Long-Term Debt,- -,- -,- -,2443300000,2330500000,5572400000,6025000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,227500000,251900000,114600000,100800000,900300000,745000000
57,Other Non-Current Liabilities,- -,225400000,265000000,230600000,189100000,667800000,532000000
58,Total Non-Current Liabilities,- -,452900000,516900000,2788500000,2620400000,7140500000,7302000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1071800000,1149500000,3759200000,3438900000,9216800000,8945000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,16400000,84300000,-477200000,-949000000
65,Other Comprehensive Income/Loss,- -,-456900000,-256600000,-222200000,-173700000,303000000,-209000000
66,Other Total Stockholders Equity,- -,7789000000,8624900000,5403100000,5636600000,8650100000,- -
67,Total Stockholders Equity,- -,7027900000,7790800000,5197500000,5546900000,8475900000,7538000000
68,Total Liabilities And Stockholders Equity,- -,8099700000,8940300000,8956700000,8985800000,17692700000,16483000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,8099700000,8940300000,8956700000,8985800000,17692700000,16483000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1739104/000173910419000006/0001739104-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1739104/000173910420000005/0001739104-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1739104/000173910421000004/0001739104-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1739104/000173910422000005/0001739104-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-210800000,-47900000,-310700000,86500000,67900000,-560100000,-472000000
74,Depreciation and Amortization,236900000,254400000,318400000,296000000,314500000,516900000,716000000
75,Deferred Income Tax,-76200000,-5900000,-13400000,-60700000,100000,-124800000,-154000000
76,Stock Based Compensation,13400000,20400000,25000000,26000000,49400000,47700000,66000000
77,Change in Working Capital,-15700000,1380900000,162600000,43100000,20400000,-214400000,-87000000
78,Accounts Receivable,-94600000,-80700000,48400000,-122000000,- -,14000000,- -
79,Inventory,14900000,-89100000,-39000000,-20100000,-33100000,-94700000,27000000
80,Accounts Payable,116400000,37100000,-8400000,116100000,-29200000,369300000,-120000000
81,Other Working Capital,-52400000,1328500000,1491100000,1534200000,1554600000,1340200000,9000000
82,Other Non-Cash Items,59000000,-1446000000,-8100000,96400000,-228200000,293700000,414000000
83,Cash Provided by Operating Activities,6600000,155900000,173800000,487300000,224100000,-41000000,483000000
84,CAPEX,-100100000,-110300000,-98600000,-134500000,-197400000,-310900000,-197000000
85,Acquisitions Net,-5283100000,-45000000,-882100000,- -,-32800000,-4566600000,-342000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,32700000,- -
88,Other Investing Activites,387800000,-26800000,16100000,7500000,-4600000,-110700000,-62000000
89,Cash Used for Investing Activites,-4995400000,-182100000,-964600000,-127000000,-234800000,-4779200000,-530000000
90,Debt Repayment,- -,- -,- -,-7500000,-121100000,-951500000,-823000000
91,Common Stock Issued,- -,- -,- -,1659700000,- -,1219900000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,5353200000,-149600000,847500000,-1687400000,-183700000,4685500000,1033000000
95,Cash Used/Provided by Financing Activities,5353200000,-149600000,847500000,-35200000,-304800000,4953900000,210000000
96,Effect of Forex Changes on Cash,-19800000,-26000000,7900000,29000000,-16900000,26600000,-31000000
97,Net Change In Cash,344600000,-201800000,64600000,354100000,-332400000,160300000,132000000
98,Cash at the End of Period,460600000,258800000,323400000,677500000,345100000,505400000,638000000
99,Cash at the Beginning of Period,116000000,460600000,258800000,323400000,677500000,345100000,506000000
100,Free Cash Flow,-93500000,45600000,75200000,352800000,26700000,-351900000,286000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1739104/000173910419000006/0001739104-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1739104/000173910420000005/0001739104-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1739104/000173910421000004/0001739104-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1739104/000173910422000005/0001739104-22-000005-index.htm
102,false,,,,,,,
