,https://roic.ai/company/SPYR,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,90000,2520000,3461176,1912990,1606482,1296018,1233547,1255317,1293804,1427206,1429689,1555690,1274154,1240832,1077832,1118330,1306864,1450887,1596812,1552000,128000,388000,353000,185
2,COGS,- -,60000,700000,1738301,836185,592985,476007,431227,477851,479985,583869,634820,645952,492307,426550,326896,375775,442174,510089,472986,421000,- -,- -,- -,- -
3,Gross Profit,- -,30000,1820000,1722875,1076805,1013497,820011,802320,777466,813819,843337,794869,909738,781847,814282,750936,742555,864690,940798,1123826,1131000,- -,388000,- -,185
4,Gross Profit Ratio,- -,0.3333,0.7222,0.4978,0.5629,0.6309,0.6327,0.6504,0.6193,0.6290,0.5909,0.5560,0.5848,0.6136,0.6562,0.6967,0.6640,0.6617,0.6484,0.7038,0.7287,- -,1.0000,- -,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,416000,1666000,746000,-34000,14
6,General and Administrative Exp.,10000,240000,2350000,3280050,1709850,932334,- -,- -,- -,- -,- -,- -,1271319,780746,763000,681250,1006959,850243,2797749,5006527,7329000,8951000,5650000,1501000,2454000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2260850,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10000,240000,2350000,3280050,1709850,932334,832215,923520,913929,952081,986988,966555,1271319,780746,763000,681250,1006959,850243,5058599,5006527,7329000,8951000,5650000,1501000,2454000
9,Other Expenses,- -,-10000,300000,336531,263124,121732,88944,70018,50015,62105,58752,45510,4132,4933,4798,27889,50423,72394,72048,97967,638000,105000,115000,61000,-2451508
10,Operating Expenses,10000,230000,2650000,3616581,1972974,1054066,921159,993538,963944,1014186,1045740,1012065,1275451,785679,767798,709139,1057382,922637,5130647,5104494,8383000,10722000,6511000,1528000,2506
11,COGS and Expenses,10000,290000,3350000,5354882,2809159,1647051,1397166,1424765,1441795,1494171,1629609,1646885,1921403,1277986,1194348,1036035,1433157,1364811,5640736,5577480,8804000,10722000,6511000,1528000,2506
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,76,833,9705,23887,42184,22237,7406,6100,2950,1410,584,11209,22432,18000,4000,- -,- -,- -
13,Interest Expense (Gain),- -,-10000,-160000,- -,145627,147883,152929,147801,145994,223668,59298,83776,120420,137050,142699,143999,135278,535674,587294,- -,- -,11000,486000,287000,247000
14,Depreciation and Amortization,- -,10000,310000,336531,263124,106441,88944,70018,50015,62105,58752,45510,4132,4933,4798,27889,50423,72394,72048,97967,166000,105000,115000,61000,38000
15,EBITDA,-10000,-210000,-930000,-6112495,-2605115,87312,-140692,-38258,-268653,-140946,-345122,-433625,-904252,436826,-471041,21954,2109515,-593035,3890000,-8846454,-7224000,-16009000,-6508000,-1617000,281943
16,EBITDA ratio,-Infinity,-2.3333,-0.3690,-1.7660,-1.3618,0.0543,-0.1086,-0.0310,-0.2140,-0.1089,-0.2418,-0.3033,-0.5813,0.3428,-0.3796,0.0204,1.8863,-0.4538,2.6811,-5.5401,-4.6546,-125.0703,-16.7732,-4.5807,1524.0162
17,Operating Income,-10000,-210000,-840000,-1893706,-896169,-40569,-101148,-191218,-186478,-200367,-202403,-217196,-365713,-3832,46484,41797,-314827,-57947,-4189849,-3980668,-7252000,-10594000,-6123000,-1175000,-2321000
