,https://roic.ai/company/VISM,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,1019883,2091965,9247633,29995265,22710000,27170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000
2,COGS,473304,1581119,8272985,26897870,20760000,24640000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,546579,510846,974648,3097395,1950000,2530000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.5359,0.2442,0.1054,0.1033,0.0859,0.0931,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,156144,320059,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258168
6,General and Administrative Exp.,- -,- -,- -,- -,5870000,4990000,- -,- -,- -,930000,510000,410000,358660,719870,2056850,1043230,2721470,917993,3873281
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5877
8,"Selling, General and Administrative Exp.",1598709,3920842,6279925,6872519,6206732,4988918,- -,- -,- -,934208,505812,405045,358656,719868,2056854,1043230,2721467,917993,3879158
9,Other Expenses,-1002098,- -,18111,- -,-36881,21388114,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141970,35500,- -
10,Operating Expenses,752755,4240901,6298036,6872519,6169851,26377032,- -,- -,- -,934208,505812,405045,358656,719868,2056854,1043230,2863437,953493,4137326
11,COGS and Expenses,1226059,5822020,14571021,33770389,26980000,29630000,- -,- -,- -,930000,510000,970000,710010,-1165920,2056850,1018090,967290,953493,4137326
12,Interest Income ,- -,- -,- -,- -,- -,43980,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,3254403,- -,- -,- -,385087,272688,191716,310864,456546,339351,275975,276087,323021,442171
14,Depreciation and Amortization,-7659,-90538,-958621,-2137291,-2012798,194616,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141970,206249,- -
