,https://roic.ai/company/WOW,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,1264300000,1217100000,1237000000,1188100000,1153800000,1145800000,1148000000,725700000
2,COGS,737000000,678600000,668300000,626500000,619000000,577500000,- -,376400000
3,Gross Profit,527300000,538500000,568700000,561600000,534800000,568300000,1148000000,349300000
4,Gross Profit Ratio,0.4171,0.4424,0.4597,0.4727,0.4635,0.4960,1.0000,0.4813
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,137500000,112500000,118100000,139500000,- -,170600000,182000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,154100000,- -,- -,- -
8,"Selling, General and Administrative Exp.",137500000,112500000,118100000,139500000,154100000,170600000,182000000,175200000
9,Other Expenses,251300000,221100000,207000000,198100000,186900000,206200000,- -,169300000
10,Operating Expenses,388800000,333600000,325100000,337600000,341000000,376800000,182000000,344500000
11,COGS and Expenses,1125800000,1012200000,993400000,964100000,960000000,954300000,182000000,720900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),237000000,226000000,211100000,151600000,132500000,142100000,130000000,93500000
14,Depreciation and Amortization,251300000,221100000,207000000,198100000,186900000,206200000,230000000,210300000
15,EBITDA,450200000,408300000,417100000,376700000,167000000,386200000,367000000,1060500000
16,EBITDA ratio,0.3561,0.3355,0.3372,0.3171,0.1447,0.3371,0.3197,1.4613
17,Operating Income,138500000,204900000,243600000,170700000,-21600000,176400000,151100000,4800000
18,Operating Income ratio,0.1095,0.1684,0.1969,0.1437,-0.0187,0.1540,0.1316,0.0066
19,Total Other Income Expenses (Gains),-176600000,-243700000,-244600000,-143700000,-130800000,-138500000,-129100000,-87200000
20,Income Before Tax,-38100000,-38800000,-1000000,27000000,-152400000,37900000,22000000,-82400000
21,Income Before Tax Ratio,-0.0301,-0.0319,-0.0008,0.0227,-0.1321,0.0331,0.0192,-0.1135
22,Income Tax expense (Gain),-10800000,9900000,-27300000,-132500000,-61800000,1500000,-7000000,-13800000
23,Net Income,-27300000,-48700000,26300000,159500000,-90600000,36400000,14000000,770500000
24,Net Income ratio,-0.0216,-0.0400,0.0213,0.1342,-0.0785,0.0318,0.0122,1.0617
25,EPS,-0.32,-0.57,0.31,2.03,-1.11,0.45,0.18,9.45
26,EPS Diluted,-0.32,-0.57,0.31,2.02,-1.11,0.45,0.17,9.30
27,Weighted Average Shares Outstanding,84734057,84734057,84734057,78778640,81808425,80713926,81561707,81561707
28,Weighted Average Shares Outstanding Diluted,84734057,84734057,84734057,78915946,81808425,81189162,82814810,82814810
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1701051/000104746918001643/0001047469-18-001643-index.html,https://www.sec.gov/Archives/edgar/data/1701051/000155837019001626/0001558370-19-001626-index.html,https://www.sec.gov/Archives/edgar/data/1701051/000155837020002015/0001558370-20-002015-index.html,https://www.sec.gov/Archives/edgar/data/1701051/000155837021001595/0001558370-21-001595-index.htm,https://www.sec.gov/Archives/edgar/data/1701051/000155837022001834/0001558370-22-001834-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,66600000,30800000,69400000,13200000,21000000,12000000,193200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,66600000,30800000,69400000,13200000,21000000,12000000,193200000
34,Net Receivables,- -,89500000,87400000,83600000,83800000,75600000,69000000,58100000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,15300000,11300000,12200000,15400000,22100000,33000000,30700000
37,Total Current Assets,- -,171400000,129500000,165200000,112400000,118700000,114000000,282000000
38,PP&E,- -,865300000,995100000,924700000,1053400000,1100200000,1100000000,739500000
39,Goodwill,- -,561400000,568000000,384100000,408800000,408800000,408000000,225100000
40,Intangible Assets,- -,1066600000,1074200000,957900000,812800000,802400000,2000000,621800000
41,Intangible Assets,- -,1628000000,1642200000,1342000000,1221600000,1211200000,410000000,846900000
42,Investments,- -,16600000,900000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3400000,3100000,9700000,32200000,41500000,- -,38300000
45,Total Non-Current Assets,- -,2513300000,2641300000,2276400000,2307200000,2352900000,1510000000,1624700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2684700000,2770800000,2441600000,2419600000,2471600000,1624000000,1906700000
48,Accounts Payable,- -,17700000,21000000,26100000,42000000,47100000,43000000,50300000
49,Short-Term Debt,- -,20600000,22700000,24000000,24100000,37000000,44000000,23000000
50,Tax Payable,- -,17600000,8100000,18900000,7400000,2400000,5800000,132700000
51,Deferred Revenue,- -,50400000,50200000,43200000,60200000,45000000,45000000,28100000
52,Other Current Liabilities,- -,182100000,157100000,98100000,97800000,98300000,103000000,219500000
