,https://roic.ai/company/BATRK,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,- -,262000000,386000000,442000000,476000000,178000000,568000000
2,COGS,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,67000000,151000000,118000000,104000000,67000000,99000000
9,Other Expenses,- -,- -,- -,- -,- -,-67170000,449000000
10,Operating Expenses,- -,- -,- -,- -,- -,-170000,548000000
11,COGS and Expenses,- -,323000000,499000000,441000000,515000000,306000000,548000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1000000,15000000,26000000,27000000,26000000,24000000
14,Depreciation and Amortization,- -,32000000,67000000,76000000,71000000,69000000,72000000
15,EBITDA,- -,-46000000,21000000,92000000,6000000,-21000000,93000000
16,EBITDA ratio,- -,-0.1756,0.0544,0.2081,0.0126,-0.1180,0.1637
17,Operating Income,- -,-61000000,-113000000,1000000,-39000000,-128000000,20000000
18,Operating Income ratio,- -,-0.2328,-0.2927,0.0023,-0.0819,-0.7191,0.0352
19,Total Other Income Expenses (Gains),- -,-18000000,51000000,-5000000,-53000000,12000000,-23000000
20,Income Before Tax,- -,-79000000,-62000000,-4000000,-92000000,-116000000,-3000000
21,Income Before Tax Ratio,- -,-0.3015,-0.1606,-0.0090,-0.1933,-0.6517,-0.0053
22,Income Tax expense (Gain),- -,-17000000,-36000000,-15000000,-15000000,-38000000,8000000
23,Net Income,- -,-62000000,-25000000,5000000,-77000000,-78000000,-11000000
24,Net Income ratio,- -,-0.2366,-0.0648,0.0113,-0.1618,-0.4382,-0.0194
25,EPS,-0.57,-0.65,-0.51,0.10,-1.51,-1.53,-0.22
26,EPS Diluted,-0.57,-0.65,-0.51,0.10,-1.51,-2.00,-0.18
27,Weighted Average Shares Outstanding,35380013,46000000,49000000,51000000,51000000,51000000,51000000
28,Weighted Average Shares Outstanding Diluted,35380013,55000000,59000000,61000000,61000000,60000000,60000000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1560385/000110465916115463/0001104659-16-115463-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837017001148/0001558370-17-001148-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837018001342/0001558370-18-001342-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837019001329/0001558370-19-001329-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837020001494/0001558370-20-001494-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837021001967/0001558370-21-001967-index.htm,https://www.sec.gov/Archives/edgar/data/1560385/000155837022002199/0001558370-22-002199-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,107000000,132000000,107000000,142000000,151000000,2814000000
32,Short-Term Investments,- -,- -,- -,- -,- -,1018000,- -
33,Cash and Short-Term Investments,- -,107000000,132000000,107000000,142000000,152018000,2814000000
34,Net Receivables,- -,15000000,32000000,21000000,28000000,30000000,828000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,17000000,56000000,129000000,97000000,61982000,1170000000
37,Total Current Assets,- -,139000000,220000000,257000000,267000000,244000000,4812000000
38,PP&E,- -,930000000,1099000000,1041000000,795000000,799000000,2010000000
39,Goodwill,- -,180000000,180000000,180000000,180000000,180000000,19248000000
40,Intangible Assets,- -,216000000,192000000,180000000,177000000,167000000,14782000000
41,Intangible Assets,- -,396000000,372000000,360000000,357000000,347000000,34030000000
