,https://roic.ai/company/SUIC,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,9740000,92830000,58200000,3680000,640000,2104370,3423660,- -,30000,120000,105000,115000,379000
2,COGS,- -,- -,- -,8390000,80410000,48640000,3600000,600000,- -,2856260,- -,- -,- -,- -,- -,96000
3,Gross Profit,- -,- -,- -,1350000,12420000,9560000,80000,40000,- -,567400,- -,- -,- -,- -,115000,283000
4,Gross Profit Ratio,- -,- -,- -,0.1386,0.1338,0.1643,0.0217,0.0625,- -,0.1657,- -,- -,- -,- -,1.0000,0.7467
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,30844,27549,- -,- -,- -,- -,248896,- -,- -,- -,185449,114325,97469,90760,266416
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,30844,27549,- -,- -,- -,- -,248896,- -,- -,- -,185449,114325,97469,90760,266416
9,Other Expenses,- -,2437,2713,90622,583793,607177,130024,- -,287781,436956,549502,- -,- -,- -,- -,- -
10,Operating Expenses,- -,33281,30262,90622,583793,607177,130024,248896,287781,436956,549502,185449,114325,97469,90760,266416
11,COGS and Expenses,- -,30000,30000,8480000,81000000,49250000,3730000,1120000,2118050,3293220,209350,185450,114330,97470,90760,362416
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,274,225,361,249,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1617,117,- -,- -,- -,- -,41093,43740,40358,33324,96188,5990,13270,17846,18447
14,Depreciation and Amortization,- -,384,384,- -,323,501,348373,25244,13528,5100,32751,- -,- -,- -,50,50
15,EBITDA,- -,-30000,-30000,1250000,11830323,8950501,298373,-413663,-15092,-45522,-314000,-703322,5670,7530,34269,16634
16,EBITDA ratio,- -,-Infinity,-Infinity,0.1283,0.1274,0.1538,0.0811,-0.6463,-0.0072,-0.0133,-Infinity,-23.4441,0.0473,0.0717,0.2980,0.0439
17,Operating Income,- -,-31602,-28512,1260000,11840000,8949894,-49635,-46194,-13685,130442,-157382,-155449,5675,7531,24240,16584
18,Operating Income ratio,- -,-Infinity,-Infinity,0.1294,0.1275,0.1538,-0.0135,-0.0722,-0.0065,0.0381,-Infinity,-5.1816,0.0473,0.0717,0.2108,0.0438
19,Total Other Income Expenses (Gains),- -,1602,-1488,- -,- -,106,-365,-433806,-58675,-221422,-51968,-96191,-5995,-13271,-7867,- -
20,Income Before Tax,- -,-30000,-30000,1260000,11840000,8950000,-50000,-480000,-72360,-90980,-209350,-251640,-320,-5740,16373,- -
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,0.1294,0.1275,0.1538,-0.0136,-0.7500,-0.0344,-0.0266,-Infinity,-8.3880,-0.0027,-0.0547,0.1424,- -
22,Income Tax expense (Gain),- -,- -,- -,310000,3030000,2240000,10000,- -,420,41410,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-30000,-30000,940000,8800000,6710000,-60000,-480000,-72780,-132390,-314000,-799510,-320,-5740,16373,- -
24,Net Income ratio,- -,-Infinity,-Infinity,0.0965,0.0948,0.1153,-0.0163,-0.7500,-0.0346,-0.0387,-Infinity,-26.6503,-0.0027,-0.0547,0.1424,- -
25,EPS,-0.12,-0.68,-0.65,44.98,419.79,299.85,-2.63,-3.56,-0.47,-0.00,-0.01,-0.01,-0.00,-0.00,0.00,- -
26,EPS Diluted,-0.12,-0.70,-0.65,44.98,419.79,299.85,-2.63,-3.56,-0.47,-0.00,-0.01,-0.01,-0.00,-0.00,0.00,- -
27,Weighted Average Shares Outstanding,30000,43320,43906,18947,20987,22248,22518,155918,155918,58443054,58705593,52562705,33503604,33503604,33503604,33503604
28,Weighted Average Shares Outstanding Diluted,30000,43320,43906,18947,20987,22248,22518,155918,155918,58443054,58705593,52562705,33503604,33503604,33503604,33503604
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1394108/000135028409000032/0001350284-09-000032-index.html,https://www.sec.gov/Archives/edgar/data/1394108/000135028410000012/0001350284-10-000012-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1394108/000155479513000584/0001554795-13-000584-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479515000012/0001554795-15-000012-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1394108/000155479516000852/0001554795-16-000852-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479517000206/0001554795-17-000206-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479518000179/0001554795-18-000179-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479519000099/0001554795-19-000099-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479520000152/suic0520form10k.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479521000102/0001554795-21-000102-index.htm,https://www.sec.gov/Archives/edgar/data/1394108/000155479522000132/0001554795-22-000132-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,20000,- -,80000,660000,20000,30000,140000,198910,291830,3020,50040,25880,13440,25258,29850
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,426350,- -,- -,- -,- -,30000,30000
33,Cash and Short-Term Investments,- -,20000,- -,80000,660000,20000,30000,140000,198910,718180,3020,50040,25880,13440,55258,59850
34,Net Receivables,- -,- -,- -,9700000,710000,2990000,- -,1940000,1147700,1233130,- -,15000,20000,155000,150000,470677
35,Inventory,- -,- -,- -,- -,- -,1400000,660000,90000,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,70000,18750000,400000,160000,10000,580530,1020,2068530,- -,- -,- -,- -,-131652
37,Total Current Assets,- -,20000,- -,9850000,20120000,4810000,850000,2180000,1927140,1952330,2071550,65040,45880,168440,205258,398875
38,PP&E,- -,- -,- -,- -,4860000,24430000,- -,1150000,- -,- -,- -,- -,- -,- -,250,200
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,9480000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,9480000,- -,- -,- -,- -,146142,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,146700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
