,https://roic.ai/company/TTMI,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,106447418,203729000,128989000,88989000,180317000,240650000,240209000,369316000,669458000,680981000,582476000,1179671000,1428639000,1348668000,1368215000,1325717000,2095488000,- -,2533359000,2847261000,2689308000,2105322000,- -
2,COGS,76248207,117199000,92235000,79489000,145694000,172103000,186453000,276168000,539289000,543977000,479267000,925266000,1127326000,1123669000,1150372000,1131028000,1785351000,- -,2109744000,2390227000,2287625000,1746299000,- -
3,Gross Profit,30199211,86530000,36754000,9500000,34623000,68547000,53756000,93148000,130169000,137004000,103209000,254405000,301313000,224999000,217843000,194689000,310137000,- -,423615000,457034000,401683000,359023000,- -
4,Gross Profit Ratio,0.2837,0.4247,0.2849,0.1068,0.1920,0.2848,0.2238,0.2522,0.1944,0.2012,0.1772,0.2157,0.2109,0.1668,0.1592,0.1469,0.1480,- -,0.1672,0.1605,0.1494,0.1705,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19770000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36548000,79668000,92682000,98005000,105924000,100999000,167669000,- -,147247000,159437000,152096000,122477000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26517000,34345000,36891000,35957000,37149000,36919000,57361000,- -,66366000,73313000,74011000,63882000,- -
8,"Selling, General and Administrative Exp.",6943187,20611000,12707000,10933000,22554000,25255000,26112000,36129000,62463000,63439000,63065000,114013000,129573000,133962000,143073000,137918000,225030000,- -,213613000,232750000,226107000,186359000,- -
9,Other Expenses,10786612,20218000,4808000,1202000,1202000,1202000,1202000,1786000,4126000,123421000,3440000,13678000,17311000,14637000,9332000,8387000,18888000,- -,24252000,59681000,48474000,38838000,- -
10,Operating Expenses,17729799,40829000,17515000,12135000,23756000,26457000,27314000,37915000,66589000,186860000,66505000,127691000,146884000,148599000,152405000,146305000,243918000,- -,237865000,292431000,274581000,244967000,- -
11,COGS and Expenses,93978006,158028000,109750000,91624000,169450000,198560000,213767000,314083000,605878000,730837000,545772000,1052957000,1274210000,1272268000,1302777000,1277333000,2029269000,- -,2347609000,2682658000,2562206000,1991266000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,467000,505000,661000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11198000,22255000,26504000,25784000,24031000,23830000,59753000,- -,76008000,78958000,83234000,73156000,- -
