,https://roic.ai/company/FRGI,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,439071000,474968000,509726000,551300000,611143000,- -,687392000,669132000,688597000,660943000,- -,554803000
2,COGS,- -,274375000,298635000,321785000,176100000,192250000,- -,217328000,424566000,218946000,434436000,- -,365019000
3,Gross Profit,- -,164696000,176333000,187941000,375200000,418893000,- -,470064000,244566000,469651000,226507000,- -,189784000
4,Gross Profit Ratio,- -,0.3751,0.3713,0.3687,0.6806,0.6854,- -,0.6838,0.3655,0.6820,0.3427,- -,0.3421
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,32865000,37459000,43870000,307700000,336674000,- -,375315000,60144000,404561000,60358000,- -,59564000
7,Selling and Marketing Exp.,- -,15396000,16082000,17047000,- -,- -,- -,- -,26091000,- -,23179000,- -,14839000
8,"Selling, General and Administrative Exp.",- -,48261000,53541000,60917000,307700000,336674000,- -,375315000,86235000,404561000,83537000,- -,74403000
9,Other Expenses,- -,79116000,81831000,83005000,36400000,22852000,- -,32278000,137681000,56109000,133105000,- -,118758000
10,Operating Expenses,- -,127377000,135372000,143922000,344100000,359526000,- -,407593000,223916000,460670000,216642000,- -,193161000
11,COGS and Expenses,- -,401752000,434007000,465707000,520200000,551776000,- -,624921000,648482000,679616000,651078000,- -,558180000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,19898000,24041000,24424000,18043000,2228000,- -,1889000,2877000,3966000,3872000,- -,4756000
14,Depreciation and Amortization,- -,19075000,19537000,18278000,20375000,23047000,- -,30575000,34957000,37604000,39195000,- -,38206000
15,EBITDA,- -,49780000,57754000,55258000,51518000,82414000,- -,93046000,-6153000,50585000,-31950000,- -,24449000
16,EBITDA ratio,- -,0.1134,0.1216,0.1084,0.0934,0.1349,- -,0.1354,-0.0092,0.0735,-0.0483,- -,0.0441
17,Operating Income,- -,30705000,38217000,36980000,47506000,59367000,- -,62471000,-41110000,8981000,-71145000,- -,-12516000
18,Operating Income ratio,- -,0.0699,0.0805,0.0725,0.0862,0.0971,- -,0.0909,-0.0614,0.0130,-0.1076,- -,-0.0226
19,Total Other Income Expenses (Gains),- -,-19898000,-24041000,-24424000,-34406000,-2228000,- -,-1889000,-2877000,-3966000,-3872000,- -,-5997000
20,Income Before Tax,- -,10807000,14176000,12556000,13100000,57139000,- -,60582000,-43987000,5015000,-75017000,- -,-18513000
21,Income Before Tax Ratio,- -,0.0246,0.0298,0.0246,0.0238,0.0935,- -,0.0881,-0.0657,0.0073,-0.1135,- -,-0.0334
22,Income Tax expense (Gain),- -,3764000,4635000,4289000,3800000,20963000,- -,22046000,-7755000,1228000,9369000,- -,-8302000
23,Net Income,- -,7043000,9541000,8267000,9300000,36176000,- -,38536000,-36232000,7787000,-84386000,- -,-10211000
24,Net Income ratio,- -,0.0160,0.0201,0.0162,0.0169,0.0592,- -,0.0561,-0.0541,0.0113,-0.1277,- -,-0.0184
25,EPS,- -,0.30,0.41,0.35,0.39,1.35,- -,1.44,-1.35,0.29,-3.18,- -,-0.40
26,EPS Diluted,- -,0.30,0.41,0.35,0.39,1.35,- -,1.44,-1.35,0.29,-3.18,- -,-0.40
