,https://roic.ai/company/NMEX,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,915,- -,- -,- -,- -,- -,- -,- -,14301,53685,59444,14273,2949,- -
2,COGS,- -,- -,- -,- -,- -,- -,191028,5000,123901,- -,90521,60390,- -,- -,- -
3,Gross Profit,- -,915,- -,- -,- -,- -,-191028,-5000,-123901,- -,-36836,-946,- -,- -,- -
4,Gross Profit Ratio,- -,1.0000,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,- -,-0.6862,-0.0159,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,33338,21664,64124,108969,125339,158020,91292,183027,- -,91588,336465,172911,155207,176910
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123352,38485,- -,- -
8,"Selling, General and Administrative Exp.",- -,33338,21664,64124,108969,125339,158020,91292,183027,- -,91588,459817,211396,155207,176910
9,Other Expenses,482,- -,- -,- -,5000,-250678,- -,- -,- -,199451,- -,289969,355442,35669,1000
10,Operating Expenses,482,33338,21664,64124,113969,-125339,158020,91292,183027,199451,91588,749786,566838,190876,177910
11,COGS and Expenses,482,33338,21664,64124,113969,-125339,349048,96292,306928,199451,182109,810176,566838,190876,177910
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27138,17164,17980,14795,93017
14,Depreciation and Amortization,- -,- -,- -,- -,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
15,EBITDA,-482,-32423,-21664,-64124,-108969,125339,-349048,-96292,-306928,-185150,-593097,-752612,-553597,-20222,-152910
16,EBITDA ratio,-Infinity,-35.4350,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-12.9466,-11.0477,-12.6609,-38.7863,-6.8572,-Infinity
17,Operating Income,-482,-32423,-21664,-64124,-113969,125339,-349048,-96292,-306928,-185150,-128424,-750732,-552565,-187927,-177910
