,https://roic.ai/company/NEN,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7000000,8600000,7500000,8600000,8500000,8500000,8800000,12459478,16634883,17506971,18447450,20278146,25833731,28020334,29273458,31092767,30865032,31745249,32117027,31625741,32297145,33234485,33166110,34035602,35632409,38364552,42632319,45480714,49555090,52827388,58014064,60477314,62102710,62638454
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2198086,2186275,2614110,2734589,2824666,3647632,4030656,4592614,4398243,4618130,4746167,4589496,4470089,4445757,5179408,5815264,6608290,6998592,8258263,8378639,9187714,9191561,8781789,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16249364,18091871,23219621,25285745,26448792,27445135,26834376,27152635,27718784,27007611,27550978,28644989,28696021,29589845,30453001,32549288,36024029,38482122,41296827,44448749,48826350,51285753,53320921,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8808,0.8922,0.8988,0.9024,0.9035,0.8827,0.8694,0.8553,0.8631,0.8540,0.8530,0.8619,0.8652,0.8694,0.8546,0.8484,0.8450,0.8461,0.8334,0.8414,0.8416,0.8480,0.8586,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,500000,600000,500000,500000,600000,600000,1358890,1554143,1729050,1826630,2014612,2319557,2520633,2602430,2740931,2619977,2625990,2739676,2897119,7927191,7953155,8204396,- -,3456100,3889472,4382281,4453492,4768786,4799797,5310651,5857466,5527136,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,500000,600000,500000,500000,600000,600000,1358890,1554143,1729050,1826630,2014612,2319557,2520633,2602430,2740931,2619977,2625990,2739676,2897119,7927191,7953155,8204396,8167929,3456100,3889472,4382281,4453492,4768786,4799797,5310651,5857466,5527136,- -
9,Other Expenses,-3900000,-5800000,-5600000,-5400000,-5600000,-5900000,-5700000,14216675,14355091,14654267,8000582,8620213,10469567,10847742,11013270,13205009,14617572,15042327,16257663,15653770,9840114,9521858,9803432,10057300,14074836,17528399,20739155,21316942,23268091,25503986,28597327,28156520,32824752,- -
10,Operating Expenses,-3900000,-5300000,-5000000,-4900000,-5100000,-5300000,-5100000,15575565,15909234,16383317,9827212,10634825,12789124,13368375,13615700,15945940,17237549,17668317,18997339,18550889,17767305,17475013,18007828,18225229,17530936,21417871,25121436,25770434,28036877,30303783,33907978,34013986,38351888,- -
11,COGS and Expenses,-3900000,-5300000,-5000000,-4900000,-5100000,-5300000,-5100000,15575565,15909234,16383317,12025298,12821100,15403234,16102964,16440366,19593572,21268205,22260931,23395582,23169019,22513472,22064509,22477917,22670986,22710344,27233135,31729726,32769026,36295140,38682422,43095692,43205547,47133677,- -
12,Interest Income ,- -,400000,200000,200000,200000,100000,100000,59909,156127,- -,171435,- -,424765,605143,275685,202116,216149,224354,433921,382154,172133,48948,5932,3861,2216,1118,754,1596,1025,1284,344,607,195,87
13,Interest Expense (Gain),1600000,2100000,2100000,1900000,1800000,1600000,1700000,3400000,4700000,- -,4600000,- -,- -,6524401,6567578,7495174,7707569,7798325,7741433,7574784,7704843,7940002,8182661,7965422,7802999,8013109,9553200,9809293,10200393,11114146,12389680,12201966,13705415,-13629463
14,Depreciation and Amortization,- -,1400000,1500000,1500000,1500000,1600000,1600000,2339883,3055786,3239186,3338924,3573658,4496500,4306578,4437043,5256999,6156952,6430055,6820360,6984033,6465057,5838246,5622395,5940878,6092725,8380013,10551527,10733773,12181396,13462395,15568973,14684248,18410811,- -
15,EBITDA,3100000,4200000,3500000,4600000,4400000,4300000,4400000,2865072,8668216,4507817,10163943,7222669,10297347,17477935,18829758,15521301,15476938,23684059,15964993,15745549,20751611,15390786,12445824,23197581,17529522,22048507,21129577,24315631,27332641,31514472,32127743,33433466,33540754,-16329626
16,EBITDA ratio,0.4429,0.4884,0.4667,0.5349,0.5176,0.5059,0.5000,0.2300,0.5211,0.2575,0.5510,0.3562,0.3986,0.6238,0.6432,0.4992,0.5014,0.7461,0.4971,0.4979,0.6425,0.4631,0.3753,0.6816,0.4920,0.5747,0.4956,0.5346,0.5516,0.5966,0.5538,0.5528,0.5401,-0.2607
17,Operating Income,10900000,13900000,12500000,13500000,13600000,13800000,13900000,-3116087,725649,1123654,1985727,2871604,4399696,5998112,12833092,11499195,9596827,9484318,8721445,8456722,9783673,11169976,10688193,11364616,12922065,11131417,10902593,12711688,13259950,14144966,14918372,17271767,14969033,-2700163
18,Operating Income ratio,1.5571,1.6163,1.6667,1.5698,1.6000,1.6235,1.5795,-0.2501,0.0436,0.0642,0.1076,0.1416,0.1703,0.2141,0.4384,0.3698,0.3109,0.2988,0.2716,0.2674,0.3029,0.3361,0.3223,0.3339,0.3626,0.2901,0.2557,0.2795,0.2676,0.2678,0.2572,0.2856,0.2410,-0.0431
19,Total Other Income Expenses (Gains),-9400000,- -,- -,- -,-300000,- -,- -,181367,30654,11712,67857,416906,2568654,43701,-61787,-1639125,-751906,1354644,-444654,-516025,-5657513,20874,-3870696,-1913800,-9288267,-9173918,-9877743,-8939123,-8309098,-7207035,-10749282,-10724515,-13544505,- -
20,Income Before Tax,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3633798,1957499,1024850,3772565,4950852,6937931,4169090,6547252,1424528,-2700163
21,Income Before Tax Ratio,0.2143,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1020,0.0510,0.0240,0.0829,0.0999,0.1313,0.0719,0.1083,0.0229,-0.0431
22,Income Tax expense (Gain),700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,800000,700000,-100000,1200000,1100000,1100000,1100000,-2874811,912430,1268631,2225019,3649011,5800847,6646956,7825137,2769128,1612417,9455679,1403200,1186732,6581711,1612538,-1359232,9291281,3633798,5655385,1024850,3772565,4950852,6937931,4169090,6547252,1424528,-2700163
24,Net Income ratio,0.1143,0.0814,-0.0133,0.1395,0.1294,0.1294,0.1250,-0.2307,0.0549,0.0725,0.1206,0.1799,0.2245,0.2372,0.2673,0.0891,0.0522,0.2979,0.0437,0.0375,0.2038,0.0485,-0.0410,0.2730,0.1020,0.1474,0.0240,0.0829,0.0999,0.1313,0.0719,0.1083,0.0229,-0.0431
25,EPS,0.05,0.04,-0.01,0.08,0.07,0.07,0.07,-0.18,0.06,0.08,0.14,0.23,0.37,0.42,0.50,0.18,0.10,0.60,0.09,0.08,0.53,0.13,-0.11,0.78,0.91,1.44,0.26,0.99,1.31,1.84,1.11,1.76,0.39,-0.73
26,EPS Diluted,0.05,0.04,-0.01,0.08,0.07,0.07,0.07,-0.18,0.06,0.08,0.14,0.23,0.37,0.42,0.50,0.18,0.10,0.60,0.09,0.08,0.53,0.13,-0.11,0.78,0.91,1.44,0.26,0.99,1.31,1.84,1.11,1.76,0.39,-0.73
27,Weighted Average Shares Outstanding,16604400,16401125,12987013,15787396,16313214,15723270,16330974,16104727,16052000,15805000,15750182,15750182,15750182,15750182,15750182,15750182,15750182,15750182,15750182,15620182,12524727,12087818,11972364,11953091,3976667,3935394,3901061,3829121,3786394,3769455,3769273,3709758,3690485,3689576
28,Weighted Average Shares Outstanding Diluted,16604400,16401125,12987013,15787396,16313214,15723270,16330974,16104727,16052000,15805000,15837821,15861090,15750182,15750182,15750182,15750182,15750182,15750182,15750182,15620182,12524727,12087818,11972364,11953091,3976667,3935394,3901061,3829121,3786394,3769455,3769273,3709758,3690485,3689576
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746514/0000912057-96-005751-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/746514/000104746904009866/0001047469-04-009866-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746905008614/0001047469-05-008614-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000110465906017326/0001104659-06-017326-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000110465907019850/0001104659-07-019850-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746908002959/0001047469-08-002959-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746909002706/0001047469-09-002706-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746910002084/0001047469-10-002084-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746911001788/0001047469-11-001788-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746912002457/0001047469-12-002457-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746913003473/0001047469-13-003473-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746914002769/0001047469-14-002769-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000104746915002122/0001047469-15-002122-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837016004053/0001558370-16-004053-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837017001693/0001558370-17-001693-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837018001971/0001558370-18-001971-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837019001912/0001558370-19-001912-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837020002520/0001558370-20-002520-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837021002894/0001558370-21-002894-index.htm,https://www.sec.gov/Archives/edgar/data/746514/000155837022003450/0001558370-22-003450-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,2706124,1830605,456277,623078,1244438,14478972,16690943,18974446,24362328,9862810,12049392,9773250,6890525,10752931,2879663,3245361,4050157,6981906,14013380,14015898,10298186,7463697,7238905,9059901,7546324,18646972,96083508
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3060373,21787,- -,- -,- -,- -,- -,- -,18193178,15011786,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1455888
