,https://roic.ai/company/CWGL,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,23762000,39306000,48774000,56472000,58114000,60977000,64621000,63222000,67766000,67135000,64108000,68918000
2,COGS,14618000,23445000,24684000,29685000,27170000,28446000,31653000,31257000,36110000,40946000,44416000,38865000
3,Gross Profit,9144000,15861000,24090000,26787000,30944000,32531000,32968000,31965000,31656000,26189000,19692000,30053000
4,Gross Profit Ratio,0.3848,0.4035,0.4939,0.4743,0.5325,0.5335,0.5102,0.5056,0.4671,0.3901,0.3072,0.4361
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3482000,6704000,7273000,9270000,10249000,10543000,10653000,10769000,10634000,11792000,11369000,13122000
7,Selling and Marketing Exp.,6474000,9280000,11452000,12807000,13227000,14197000,15834000,15394000,16385000,17956000,14250000,15658000
8,"Selling, General and Administrative Exp.",9956000,15984000,18725000,22077000,23476000,24740000,26487000,26163000,27019000,29748000,25619000,28780000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,9956000,15984000,18725000,22077000,23476000,24740000,26487000,26163000,27019000,29748000,25619000,28780000
11,COGS and Expenses,24574000,39429000,43409000,51762000,50646000,53186000,58140000,57420000,63129000,70694000,70035000,67645000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),3479000,4495000,5192000,901000,152000,252000,840000,910000,1179000,1061000,1094000,-1015000
14,Depreciation and Amortization,3582000,5864000,6958000,6857000,7069000,7427000,8247000,8700000,8977000,8907000,6981000,- -
15,EBITDA,2746000,6052000,12372000,12531000,16082000,15611000,14984000,14884000,12887000,3309000,1667000,2436000
16,EBITDA ratio,0.1156,0.1540,0.2537,0.2219,0.2767,0.2560,0.2319,0.2354,0.1902,0.0493,0.0260,0.0353
17,Operating Income,-812000,-123000,5365000,4710000,9021000,7850000,6239000,5598000,3113000,-6031000,-8873000,244000
18,Operating Income ratio,-0.0342,-0.0031,0.1100,0.0834,0.1552,0.1287,0.0965,0.0885,0.0459,-0.0898,-0.1384,0.0035
19,Total Other Income Expenses (Gains),-3503000,-4184000,-5143000,63000,-160000,82000,-342000,-324000,-382000,-628000,-622000,3207000
20,Income Before Tax,-4315000,-4307000,222000,4773000,8861000,7932000,5897000,5274000,2731000,-6659000,-9495000,3451000
21,Income Before Tax Ratio,-0.1816,-0.1096,0.0046,0.0845,0.1525,0.1301,0.0913,0.0834,0.0403,-0.0992,-0.1481,0.0501
22,Income Tax expense (Gain),3000,3000,11000,-2335000,3861000,2806000,2619000,-908000,753000,-1785000,- -,286000
23,Net Income,-4318000,-4310000,211000,7108000,5000000,5126000,3278000,6182000,1978000,-4874000,-6408000,3165000
24,Net Income ratio,-0.1817,-0.1097,0.0043,0.1259,0.0860,0.0841,0.0507,0.0978,0.0292,-0.0726,-0.1000,0.0459
25,EPS,-0.18,-0.18,0.01,0.29,0.20,0.21,0.14,0.26,0.08,-0.21,-0.28,0.14
26,EPS Diluted,-0.18,-0.18,0.01,0.29,0.20,0.21,0.14,0.26,0.08,-0.21,-0.28,0.14
27,Weighted Average Shares Outstanding,24458368,24458368,24458368,24458000,24458000,24434000,24124000,23997000,23897000,23513000,23243000,22524000
28,Weighted Average Shares Outstanding Diluted,24458368,24458368,24458368,24458000,24458000,24434000,24124000,23997000,23897000,23513000,23243000,22834000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1562151/000009622313000018/0000096223-13-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1562151/000156276214000070/0001562762-14-000070-index.htm,https://www.sec.gov/Archives/edgar/data/1562151/000156215115000003/0001562151-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1562151/000156215116000111/0001562151-16-000111-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215117000004/0001562151-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215118000013/0001562151-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215119000011/0001562151-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215120000028/0001562151-20-000028-index.html,https://www.sec.gov/Archives/edgar/data/1562151/000156215121000031/0001562151-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1562151/000156215122000007/0001562151-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,5631000,5704000,13269000,13274000,18333000,4795000,9792000,9376000,12986000,29314000,32732000
32,Short-Term Investments,- -,- -,- -,10470000,15711000,25423000,23754000,19956000,19213000,10006000,8507000,- -
33,Cash and Short-Term Investments,- -,5631000,5704000,23739000,28985000,43756000,28549000,29748000,28589000,22992000,37821000,32732000
34,Net Receivables,- -,4606000,4501000,5144000,5784000,6121000,5061000,3981000,7285000,10131000,7906000,6572000
35,Inventory,- -,39006000,43061000,44293000,49593000,55636000,66856000,75458000,77267000,73498000,57554000,52548000
36,Other Current Assets,- -,679000,872000,4055000,4078000,1851000,1729000,1328000,2593000,4287000,2904000,13949000
37,Total Current Assets,- -,49922000,54138000,77231000,88440000,107364000,102195000,110515000,115734000,110908000,106185000,105801000
38,PP&E,- -,110783000,108986000,109036000,108707000,111635000,123261000,129018000,126230000,119112000,113683000,111439000
39,Goodwill,- -,1053000,1053000,1053000,1053000,1053000,1262000,1262000,1262000,1262000,1262000,1262000
40,Intangible Assets,- -,21540000,20026000,18820000,17300000,15483000,14527000,12969000,11570000,10283000,9238000,8322000
41,Intangible Assets,- -,22593000,21079000,19873000,18353000,16536000,15789000,14231000,12832000,11545000,10500000,9584000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12493000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,411000,252000,245000,289000,667000,- -,-12493000
45,Total Non-Current Assets,- -,133376000,130065000,128909000,127060000,128582000,139302000,143494000,139351000,131324000,124183000,121023000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,183298000,184203000,206140000,215500000,235946000,241497000,254009000,255085000,242232000,230368000,226824000
48,Accounts Payable,- -,2518000,1279000,5122000,5608000,3936000,5863000,5412000,7733000,5469000,9419000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,633000,634000,1125000,1125000,1298000,3549000,1128000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,328000,229000,328000,403000,385000,367000,593000,375000,405000,- -,- -
52,Other Current Liabilities,- -,109830000,156862000,2061000,1979000,5088000,5929000,4911000,4862000,4728000,109000,13537000
53,Total Current Liabilities,- -,112676000,158370000,7511000,7990000,10042000,12793000,12041000,14095000,11900000,13077000,14665000
