,https://roic.ai/company/ULTA,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,362217000,423863000,491152000,579075000,755113000,912100000,1084646000,1222800000,1454800000,1776200000,2220300000,2670600000,3241369000,3924116000,4854737000,5884506000,6716615000,7398068000,6151953000,8630889000
2,COGS,259836000,312203000,- -,404794000,519929000,628500000,756712000,846200000,970800000,1159300000,1436600000,1729300000,2104582000,2539783000,3107508000,3787697000,4307304000,4717004000,4202794000,5262335000
3,Gross Profit,102381000,111660000,- -,174281000,235184000,283600000,327934000,376600000,484000000,616900000,783700000,941300000,1136787000,1384333000,1747229000,2096809000,2409311000,2681064000,1949159000,3368554000
4,Gross Profit Ratio,0.2827,0.2634,- -,0.3010,0.3115,0.3109,0.3023,0.3080,0.3327,0.3473,0.3530,0.3525,0.3507,0.3528,0.3599,0.3563,0.3587,0.3624,0.3168,0.3903
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,236900000,281633000,308400000,365200000,420600000,503700000,613700000,712006000,878036000,1092405000,1311518000,1555231000,- -,1583017000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",86382000,98446000,- -,144857000,195096000,236925000,281633000,304896000,365201000,410658000,488880000,596390000,712006000,863354000,1073834000,1287232000,1535464000,1760716000,1583017000,2061545000
9,Other Expenses,2751000,2318000,- -,- -,- -,-25000,- -,3504000,-1000,10042000,14820000,17310000,14366000,14682000,18571000,24286000,19767000,19254000,15000000,9517000
10,Operating Expenses,89133000,100764000,- -,144857000,195096000,236900000,281633000,308400000,365200000,420700000,503700000,613700000,726372000,878036000,1092405000,1311518000,1555231000,1779970000,1598017000,2071062000
