,https://roic.ai/company/NVEE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,32098000,63366000,60576000,68232000,108382000,154655000,223910000,333034000,418081000,508938000,- -,659296000
2,COGS,15866000,30948000,28908000,33416000,63201000,85877000,116330000,167780000,216677000,263556000,- -,324758000
3,Gross Profit,16232000,32418000,31668000,34816000,45181000,68778000,107580000,165254000,201404000,245382000,- -,334538000
4,Gross Profit Ratio,0.5057,0.5116,0.5228,0.5103,0.4169,0.4447,0.4805,0.4962,0.4817,0.4821,- -,0.5074
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,12742000,24238000,24453000,26081000,31752000,46661000,74937000,125558000,148335000,188359000,- -,248310000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",12742000,24238000,24453000,26081000,31752000,46661000,74937000,125558000,148335000,188359000,- -,248310000
9,Other Expenses,2706000,5357000,4858000,4839000,5186000,8418000,14240000,13128000,17384000,25816000,- -,42079000
10,Operating Expenses,15448000,29595000,29311000,30920000,36938000,55079000,89177000,138686000,165719000,214175000,- -,290389000
11,COGS and Expenses,31314000,60543000,58219000,64336000,100139000,140956000,205507000,306466000,382396000,477731000,- -,615147000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),260000,376000,389000,263000,274000,212000,257000,1935000,1966000,2275000,- -,15181000
14,Depreciation and Amortization,1137000,1949000,1468000,1514000,1988000,3468000,6228000,13128000,17384000,25816000,- -,45488000
15,EBITDA,1354000,4180000,3825000,5410000,10231000,17167000,24631000,39696000,53069000,57023000,- -,89637000
16,EBITDA ratio,0.0422,0.0660,0.0631,0.0793,0.0944,0.1110,0.1100,0.1192,0.1269,0.1120,- -,0.1360
17,Operating Income,285000,2728000,2357000,3896000,8243000,13699000,18403000,26568000,35685000,31207000,- -,44149000
18,Operating Income ratio,0.0089,0.0431,0.0389,0.0571,0.0761,0.0886,0.0822,0.0798,0.0854,0.0613,- -,0.0670
19,Total Other Income Expenses (Gains),-259000,-376000,-389000,-263000,-274000,-212000,-257000,-1935000,-1966000,-2275000,- -,-15181000
20,Income Before Tax,26000,2352000,1968000,3633000,7969000,13487000,18146000,24633000,33719000,28932000,- -,28968000
21,Income Before Tax Ratio,0.0008,0.0371,0.0325,0.0532,0.0735,0.0872,0.0810,0.0740,0.0807,0.0568,- -,0.0439
22,Income Tax expense (Gain),132000,436000,675000,874000,3076000,4995000,6539000,627000,6863000,5176000,- -,7950000
23,Net Income,-175000,1419000,1293000,2759000,4893000,8492000,11607000,24006000,26856000,23756000,- -,21018000
24,Net Income ratio,-0.0055,0.0224,0.0213,0.0404,0.0451,0.0549,0.0518,0.0721,0.0642,0.0467,- -,0.0319
25,EPS,-0.03,0.26,0.32,0.75,0.96,1.25,1.27,2.36,2.44,1.96,- -,1.70
26,EPS Diluted,-0.03,0.26,0.32,0.70,0.87,1.18,1.22,2.23,2.33,1.90,- -,1.65
27,Weighted Average Shares Outstanding,5546400,5546400,4000000,3660289,5102058,6773135,9125167,10178901,10991124,12116185,- -,12362786
