,https://roic.ai/company/XPER,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,11480000,27015000,28270000,37321000,72736000,94700000,208726000,195688000,248291000,299440000,301393000,254576000,234023000,168908000,278807000,273300000,259565000,373732000,406133000,280067000,892020000,877696000
2,COGS,7003000,5298000,4264000,6734000,9613000,13313000,19359000,17708000,16746000,16971000,21777000,23493000,40366000,4515000,1445000,566000,551000,6308000,13291000,8460000,78357000,126758000
3,Gross Profit,4477000,21717000,24006000,30587000,63123000,81387000,189367000,177980000,231545000,282469000,279616000,231083000,193657000,164393000,277362000,272734000,259014000,367424000,392842000,271607000,813663000,750938000
4,Gross Profit Ratio,0.3900,0.8039,0.8492,0.8196,0.8678,0.8594,0.9073,0.9095,0.9326,0.9433,0.9277,0.9077,0.8275,0.9733,0.9948,0.9979,0.9979,0.9831,0.9673,0.9698,0.9122,0.8556
5,Research and Development Exp.,9418000,8202000,6700000,7661000,7107000,7013000,20063000,37526000,61599000,65888000,74098000,75976000,100681000,86653000,37479000,32181000,44738000,105849000,106406000,112345000,195154000,232197000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",17342000,20761000,9494000,12140000,20375000,28801000,70309000,74314000,69539000,72808000,79300000,83378000,97295000,82236000,59409000,43592000,72065000,144649000,127907000,122897000,245356000,266085000
9,Other Expenses,20279000,1364000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20624000,31870000,111930000,108450000,99946000,174744000,227202000
10,Operating Expenses,47039000,30327000,16194000,19801000,27482000,35814000,90372000,111840000,131138000,138696000,153398000,159354000,197976000,168889000,96888000,96397000,148673000,362428000,342763000,335188000,615254000,725484000
