,https://roic.ai/company/SDPI,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,9955092,11922969,20036895,12706372,7153063,15595659,18245212,18997014,10470798,13336149
2,COGS,4589996,6062331,10256167,11436878,8782919,9636821,10837575,11610949,7922073,5618844
3,Gross Profit,5365096,5860638,9780728,1269494,-1629856,5958838,7407637,7386065,2548725,7717305
4,Gross Profit Ratio,0.5389,0.4915,0.4881,0.0999,-0.2279,0.3821,0.4060,0.3888,0.2434,0.5787
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1261259,2168350,8103166,7013653,5775760,5734315,7107432,8287832,6371337,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1261259,2168350,8103166,7013653,5775760,5734315,7107432,8287832,6371337,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,13922900
10,Operating Expenses,1261259,2168350,8103166,7013653,5775760,5734315,7107432,8287832,6371337,13922900
11,COGS and Expenses,5851255,8230681,18359333,18450531,14558679,15371136,17945007,19898781,14293410,13922900
12,Interest Income ,- -,- -,173315,293932,313547,346926,432753,60996,5803,228
13,Interest Expense (Gain),993776,786140,2279597,1822636,1613214,905990,773680,764754,575306,-539390
14,Depreciation and Amortization,742002,1102905,3240445,4818548,4291249,3676598,3760231,3428403,2816396,2103534
15,EBITDA,5220964,5557195,5372924,-8286674,-3226386,4303883,4479176,3275284,76824,1145094
16,EBITDA ratio,0.5245,0.4661,0.2682,-0.6522,-0.4510,0.2760,0.2455,0.1724,0.0073,0.0859
17,Operating Income,4103837,3692288,1677562,-13547062,-8245996,224523,300205,-901767,-3822612,-586751
18,Operating Income ratio,0.4122,0.3097,0.0837,-1.0662,-1.1528,0.0144,0.0165,-0.0475,-0.3651,-0.0440
19,Total Other Income Expenses (Gains),-618651,-24138,-1824680,-1380796,-884853,-503228,-354940,-16106,507734,167701
20,Income Before Tax,3485186,3668150,-147118,-14927858,-9130849,-278705,-54735,-917873,-3314878,-419050
21,Income Before Tax Ratio,0.3501,0.3077,-0.0073,-1.1748,-1.2765,-0.0179,-0.0030,-0.0483,-0.3166,-0.0314
22,Income Tax expense (Gain),1299974,1368220,474279,-472279,-2000,- -,3640,18550,114996,110751
23,Net Income,2185212,2299930,-621397,-14455579,-9128849,-278705,-58375,-936423,-3429874,-529801
24,Net Income ratio,0.2195,0.1929,-0.0310,-1.1377,-1.2762,-0.0179,-0.0032,-0.0493,-0.3276,-0.0397
25,EPS,0.25,0.26,-0.04,-0.83,-0.48,-0.01,-0.00,-0.04,-0.13,-0.02
26,EPS Diluted,0.25,0.26,-0.04,-0.83,-0.48,-0.01,-0.00,-0.04,-0.13,-0.02
27,Weighted Average Shares Outstanding,8814860,8814860,13831259,17347306,19155981,24268409,24608967,25090283,25515166,26378967
28,Weighted Average Shares Outstanding Diluted,8814860,8814860,13831259,17347306,19257074,24268409,24608967,25090283,25515166,26378967
