,https://roic.ai/company/SMDM,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,5195567,10674879,6230022,9547816,19032320,34306839,61828894,95613766,70541128,38209825,32305560,26732144,34067871,31780709,21277370,19165979,25943832,34437774,31379629,39308281,48856544,52919228,60808050,46482998,41418304,45802574
2,COGS,4790870,9145359,5052277,7029359,13611008,22172085,41448891,72329035,68279589,28945283,25223056,20616541,26389070,25836586,17291011,14921289,20292738,26368945,24273038,30997211,36937654,39082802,45135272,34709799,30323223,33505356
3,Gross Profit,404697,1529520,1177745,2518457,5421312,12134754,20380003,23284731,2261539,9264542,7082504,6115603,7678801,5944123,3986359,4244690,5651094,8068829,7106591,8311070,11918890,13836426,15672778,11773199,11095081,12297218
4,Gross Profit Ratio,0.0779,0.1433,0.1890,0.2638,0.2848,0.3537,0.3296,0.2435,0.0321,0.2425,0.2192,0.2288,0.2254,0.1870,0.1874,0.2215,0.2178,0.2343,0.2265,0.2114,0.2440,0.2615,0.2577,0.2533,0.2679,0.2685
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,9766985,16638134,19673410,10286956,9073187,- -,- -,4346627,3388203,2575032,2537379,3310325,4257335,4507606,5153950,5648036,6371541,5790019,6564422,6531932
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,2377638,5032367,2340439,597821,168739,- -,- -,3160950,3114552,1838217,2470985,3078340,2402153,3104598,4656003,5035787,4875238,5117235,7203991,3976523
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,12144623,21670501,22013849,10884777,9241926,- -,- -,7507577,6502755,4413249,5008364,6388665,6659488,7612204,9809953,10683823,11246779,10907254,13768413,10508455
9,Other Expenses,3842965,4957405,2641863,1544806,3895644,6806097,- -,- -,- -,- -,- -,7817264,7522417,459354,439432,430115,171818,110267,168138,130254,171785,166025,219968,259662,269107,298357
10,Operating Expenses,3842965,4957405,2641863,1544806,3895644,6806097,12144623,21670501,22013849,10884777,9241926,7817264,7522417,7966931,6942187,4843364,5180182,6498932,6827626,7742458,9981738,10849848,11466747,11166916,14037520,10806812
