,https://roic.ai/company/NWBO,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,230000,480000,390000,210000,155962,129446,9000,529000,390000,124000,800000,10000,10000,10000,10000,10000,772000,809000,1454000,1739000,623000,336000,412000,2410000,1291000,1005000
2,COGS,- -,- -,80000,50000,50849,66943,7000,79000,40000,12000,- -,12000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,230000,480000,310000,160000,105113,62503,2000,450000,350000,112000,800000,-2000,10000,10000,10000,10000,772000,809000,1454000,1739000,- -,- -,- -,- -,1291000,- -
4,Gross Profit Ratio,1.0000,1.0000,0.7949,0.7619,0.6740,0.4828,0.2222,0.8507,0.8974,0.9032,1.0000,-0.2000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,660000,1970000,2860000,2890000,3114160,4907622,5956000,1624000,3621000,4469000,3777000,8778000,12703000,9588000,9899000,13452000,28908000,43906000,85637000,103120000,60081000,33515000,18154000,13590000,33637000,20308000
6,General and Administrative Exp.,700000,880000,1770000,2540000,3682015,4758601,7463000,4059000,2845000,2005000,2273000,7171000,8906000,5799000,5463000,13335000,15675000,12364000,16949000,24903000,19808000,21499000,27015000,16283000,50992000,33399000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",700000,880000,1770000,2540000,3682015,4758601,7463000,4059000,2845000,2005000,2273000,7171000,8906000,5799000,5463000,13335000,15675000,12364000,16949000,24903000,19808000,21499000,27015000,16283000,54259000,33399000
9,Other Expenses,100000,140000,160000,180000,198532,466893,2346000,1285000,262000,63000,747000,7000,22000,7000,2000,10000,14000,12000,11000,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1460000,2990000,4790000,5610000,6994707,10133116,15765000,6968000,6728000,6537000,6797000,15956000,21631000,15394000,15364000,26797000,44597000,56282000,102597000,128023000,79889000,55014000,45169000,29873000,87896000,53707000
11,COGS and Expenses,1460000,2990000,4870000,5660000,7045556,10200059,15772000,7047000,6768000,6549000,6797000,15968000,21631000,15394000,15364000,26797000,44597000,56282000,102597000,128023000,79889000,55014000,45169000,29873000,87896000,53707000
12,Interest Income ,- -,- -,- -,- -,166179,193234,157000,23000,3000,5000,39000,340000,103000,- -,489000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,-50000,-230000,-160000,6055806,1062385,38000,73000,1765000,3517000,2564000,5629000,821000,3881000,7884000,7648000,13442000,842000,996000,4153000,3818000,5545000,9871000,2975000,8544000,5011000
14,Depreciation and Amortization,- -,- -,160000,200000,5586284,1147763,593000,249000,1691000,2971000,2025000,5769000,390000,7000,2000,10000,14000,11000,11000,56000,189000,439000,1291000,-301000,425000,586000
15,EBITDA,-1230000,-2610000,-4790000,-5570000,-1137131,-8729616,-12173000,-5430000,-5052000,-3449000,3194000,-9859000,-21120000,-21383000,-19482000,-25172000,-53864000,-64936000,-134627000,-110532000,-76207000,-67159000,-24632000,-17622000,-520852000,184723000
16,EBITDA ratio,-5.3478,-5.4375,-12.2821,-26.5238,-7.2911,-67.4383,-1352.5556,-10.2647,-12.9538,-27.8145,3.9925,-985.9000,-2112.0000,-2138.3000,-1948.2000,-2517.2000,-69.7720,-80.2670,-92.5908,-63.5607,-122.3226,-199.8780,-59.7864,-7.3120,-403.4485,183.8040
17,Operating Income,-1230000,-2510000,-4480000,-5450000,-6889594,-10070613,-15763000,-6518000,-6378000,-6425000,-5997000,-15958000,-21621000,-15773000,-15354000,-26787000,-43825000,-57473000,-101143000,-126284000,-79266000,-54678000,-41481000,-27463000,-86605000,-52702000
18,Operating Income ratio,-5.3478,-5.2292,-11.4872,-25.9524,-44.1748,-77.7978,-1751.4444,-12.3214,-16.3538,-51.8145,-7.4962,-1595.8000,-2162.1000,-1577.3000,-1535.4000,-2678.7000,-56.7681,-71.0420,-69.5619,-72.6187,-127.2327,-162.7321,-100.6820,-11.3954,-67.0837,-52.4398
19,Total Other Income Expenses (Gains),- -,-50000,-240000,-160000,- -,- -,1087000,-262000,-498000,- -,7137000,- -,8000,-6006000,-4619000,1605000,-23495000,-8316000,-34491000,11543000,-948000,-18465000,5687000,7167000,-443216000,231828000
20,Income Before Tax,-1230000,-2560000,-4720000,-5610000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67320000,-65789000,-135634000,-114741000,-80214000,-73143000,-35794000,-20296000,-529821000,179126000
21,Income Before Tax Ratio,-5.3478,-5.3333,-12.1026,-26.7143,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87.2021,-81.3214,-93.2834,-65.9810,-128.7544,-217.6875,-86.8786,-8.4216,-410.3958,178.2348
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1230000,-2560000,-4720000,-5610000,-12779221,-10939764,-12804000,-5752000,-8508000,-9937000,-1395000,-21257000,-22331000,-25271000,-27368000,-32830000,-67320000,-65789000,-135634000,-114741000,-80214000,-73143000,-35794000,-20296000,-529821000,179126000
24,Net Income ratio,-5.3478,-5.3333,-12.1026,-26.7143,-81.9380,-84.5122,-1422.6667,-10.8733,-21.8154,-80.1371,-1.7437,-2125.7000,-2233.1000,-2527.1000,-2736.8000,-3283.0000,-87.2021,-81.3214,-93.2834,-65.9810,-128.7544,-217.6875,-86.8786,-8.4216,-410.3958,178.2348
25,EPS,-123.00,-256.00,-472.00,-561.00,-1524.00,-1576.79,-182.40,-72.00,-108.00,-124.80,-7.20,-38.08,-8.48,-8.48,-6.56,-5.60,-5.72,-2.00,-2.29,-1.48,-0.77,-0.31,-0.12,-0.04,-0.73,0.21
26,EPS Diluted,-123.00,-256.00,-472.00,-561.00,-1524.00,-1576.79,-182.40,-72.00,-108.00,-124.80,-7.20,-38.08,-8.48,-8.48,-6.56,-5.60,-5.72,-2.00,-2.29,-1.48,-0.77,-0.31,-0.12,-0.04,-0.73,-0.06
27,Weighted Average Shares Outstanding,10000,10000,10000,10000,8668,10963,70462,78783,79283,79450,222634,1526250,2651562,2997562,4191437,5887312,11759000,32865000,59248000,77713000,111078000,242849000,440016000,564188000,725129000,873517000
28,Weighted Average Shares Outstanding Diluted,10000,10000,10000,10000,8668,10963,70462,78783,79283,79450,1845092,1526250,2651562,2997562,4191437,5887312,11759000,32865000,59248000,77713000,111078000,242849000,440016000,564188000,725129000,1007869000
