,https://roic.ai/company/SMTI,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,20959,- -,- -,85019,211167,189755,630505,290183,288021,910420,2209685,1173544,1726392,2632643,3372188,5507853,6304741,5837839,11766763,15586976,24143919
2,COGS,19949,- -,- -,79558,271339,193057,223184,417099,1105228,538273,799626,798532,792774,803631,891970,943579,806038,507418,1209300,1616625,2908196
3,Gross Profit,1010,- -,- -,5461,-60172,-3302,407321,-126916,-817207,372147,1410059,375012,933618,1829012,2480218,4564274,5498703,5330421,10557463,13970351,21235723
4,Gross Profit Ratio,0.0482,- -,- -,0.0642,-0.2849,-0.0174,0.6460,-0.4374,-2.8373,0.4088,0.6381,0.3196,0.5408,0.6947,0.7355,0.8287,0.8722,0.9131,0.8972,0.8963,0.8795
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,558704
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,900109,2932289,- -,3289009,3810350,3835095,3385168,4764789,5275402,5735833,13067569,18683594,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,900109,2932289,- -,3289009,3810350,3835095,3385168,4764789,5275402,5735833,13067569,18683594,28053176
9,Other Expenses,1449084,- -,- -,6134321,800995,484583,813058,1631832,124758,509959,3216557,2477444,51663,56446,60031,71618,80648,83890,119951,291370,596975
10,Operating Expenses,1449084,- -,- -,6134321,800995,484583,813058,1631832,1024867,3442248,3216557,5766453,3862013,3891541,3445199,4836407,5356050,5819723,13187520,18974964,29208855
11,COGS and Expenses,1469033,- -,- -,6213879,1072334,677640,1036242,2048931,2130095,3980521,4016183,6564985,4654787,4695172,4337169,5779986,6162088,6327141,14396820,20591589,32117051
12,Interest Income ,28486,- -,- -,- -,- -,- -,- -,- -,12825,157724,277770,166538,- -,103,20,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),328330,- -,- -,7765,51085,135674,137019,14448,473278,801778,262340,286620,1725553,293896,176892,174493,126825,86587,105919,11528,711
14,Depreciation and Amortization,-61120,- -,- -,24265,16219,21786,20080,14000,124758,471757,470619,61172,51663,56446,60031,60883,80648,83891,119951,291370,596975
15,EBITDA,-1336797,- -,- -,-6263305,-690559,-466099,-385657,-1744748,-1704491,-3861956,-12007857,-1497531,-2370872,-1927835,-1103532,-180371,538782,-430096,-2588218,-4053542,-7324228
16,EBITDA ratio,-63.7815,- -,- -,-73.6695,-3.2702,-2.4563,-0.6117,-6.0126,-5.9179,-4.2419,-5.4342,-1.2761,-1.3733,-0.7323,-0.3272,-0.0327,0.0855,-0.0737,-0.2200,-0.2601,-0.3034
17,Operating Income,-1448074,- -,- -,-6128860,-740823,-487885,-405737,-1758748,-1842074,-3070101,-5014870,-5418485,-2928395,-2062529,-964981,-272133,120444,-501860,-2740057,-5034613,-7376157
18,Operating Income ratio,-69.0908,- -,- -,-72.0881,-3.5082,-2.5711,-0.6435,-6.0608,-6.3956,-3.3722,-2.2695,-4.6172,-1.6963,-0.7834,-0.2862,-0.0494,0.0191,-0.0860,-0.2329,-0.3230,-0.3055
19,Total Other Income Expenses (Gains),-299844,- -,- -,-7755,-17040,-135674,-137019,-14448,-460453,-2065390,-7725946,3573162,-1219693,-215648,-375474,-143614,210865,-98714,-95721,589468,-545757
20,Income Before Tax,-1747918,- -,- -,-6136615,-757863,-623559,-542756,-1773196,-2302527,-5135491,-12740816,-1845323,-4148088,-2278177,-1340455,-415747,331309,-600574,-2835778,-4445145,-7921914
21,Income Before Tax Ratio,-83.3970,- -,- -,-72.1793,-3.5889,-3.2861,-0.8608,-6.1106,-7.9943,-5.6408,-5.7659,-1.5724,-2.4027,-0.8654,-0.3975,-0.0755,0.0525,-0.1029,-0.2410,-0.2852,-0.3281
22,Income Tax expense (Gain),-74136,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1529871,- -,- -,-6295335,-757863,-623559,-542756,-1773196,-2302527,-5135491,-12740816,-1845323,-4148088,-2278177,-1340455,-415747,331309,-600574,-2814088,-4356440,-7921914
