,https://roic.ai/company/WNDW,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,50000,81379,213115,248272,323848,685549,451372,672443,356877,620634,683132,822922,950470,1931216,1979222,2279884,1656634
6,General and Administrative Exp.,- -,- -,- -,- -,- -,-2736684,523770,- -,- -,- -,- -,- -,- -,- -,- -,- -,5323579,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,372220,592344,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",19787,53932,82908,1286330,5499737,-2364464,1116114,3173558,1648086,2885845,2392276,2432158,2318443,2779325,3622367,4431643,5323579,6279263
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,103932,164287,1499445,5748009,-2040616,1801663,3624930,2320529,3242722,3012910,3115290,3141365,3729795,5553583,6410865,7603463,7935897
11,COGS and Expenses,19787,-103766,165060,1499445,5748009,-1950594,-2352064,3624930,2320529,3242722,3012910,3115290,3141365,3729795,5553583,6410865,7603463,7935897
12,Interest Income ,- -,- -,- -,- -,- -,7743,- -,- -,- -,- -,- -,- -,- -,- -,- -,315344,250401,36770
13,Interest Expense (Gain),- -,- -,- -,- -,- -,267,- -,1391,26746,1029810,879471,4977454,2644937,1623630,1301290,792157,- -,- -
14,Depreciation and Amortization,341,332,374,628,1289,- -,- -,463,5419,6143,6103,9623,11504,13925,15920,18349,24465,27794
15,EBITDA,-19446,103932,-163913,-1526024,-5720032,1947489,233136,-3631038,-2471164,-3236579,-3006807,-3105667,-3695267,-3715870,-5537663,-6077172,-7578998,-7899328
16,EBITDA ratio,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-19787,103766,-165060,-1499445,-5748009,1950594,-2352064,-3624930,-2320529,-3242722,-3012910,-3115290,-3141365,-3729795,-5553583,-6410865,-7603463,-7935897
18,Operating Income ratio,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,166,-773,27207,-26688,3105,2118928,6571,156054,-1029810,-879471,-4977454,-1495948,-1623630,-1300964,-476813,250401,27995
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4272532,-3892381,-8092744,-4637313,-5353425,-6854547,-6887678,-7353062,-7907902
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-19787,-103142,-157982,-1442769,-5721545,1961175,-233136,-3619750,-2433431,-4272532,-3892381,-8092744,-4637313,-5353425,-6854547,-6887678,-7353062,-7907902
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.00,-0.02,-0.01,-0.09,-0.31,0.09,-0.01,-0.18,-0.12,-0.19,-0.16,-0.32,-0.17,-0.17,-0.19,-0.14,-0.14,-0.15
26,EPS Diluted,-0.00,-0.02,-0.01,-0.09,-0.31,0.09,-0.01,-0.18,-0.12,-0.19,-0.16,-0.32,-0.17,-0.17,-0.19,-0.14,-0.14,-0.15
27,Weighted Average Shares Outstanding,4569395,4569395,14004075,16273634,18657243,19279134,19533513,20396362,20638360,22686892,24279448,25131836,27295540,31299979,36020453,48986720,52959323,53107648
28,Weighted Average Shares Outstanding Diluted,4569395,4569395,14004075,16273634,18657243,19279134,19533513,20396362,20638360,22686892,24279448,25131836,27295540,31299979,36020453,48986720,52959323,53107648
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1071840/000117184320007829/0001171843-20-007829-index.htm,https://www.sec.gov/Archives/edgar/data/1071840/000117184321007579/0001171843-21-007579-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3826,27708,247492,1437876,2992010,2736221,502528,2320185,1046918,347493,785237,228465,2509215,670853,696826,16604011,14151523,7127456
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000
33,Cash and Short-Term Investments,3826,27708,247492,1437876,2992010,2736221,502528,2320185,1046918,347493,785237,228465,2509215,670853,696826,16604011,14151523,12127456
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,1496,- -,141019,47145,78585,225661,60828,172379,164257,127287,365054,107902,192794,627711,630878,190981
37,Total Current Assets,3826,27708,248988,1437876,3133029,2783366,581113,2545846,1107746,519872,949494,355752,2874269,778755,889620,17231722,14782401,12318437
38,PP&E,800,468,1080,452,- -,- -,- -,927,19966,13823,24597,30535,21331,52953,39614,1434575,- -,1387342
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200,- -,21598
45,Total Non-Current Assets,800,468,1080,452,- -,- -,- -,927,19966,13823,24597,30535,21331,52953,39614,1436775,- -,1408940
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1393907,- -
47,Total Assets,4626,28176,250068,1438328,3133029,2783366,581113,2546773,1127712,533695,974091,386287,2895600,831708,929234,18668497,16176308,13727377
48,Accounts Payable,6300,62992,42866,23706,35331,98467,67553,119868,63403,122356,144239,97438,184743,230184,93616,97549,53428,55402
49,Short-Term Debt,- -,100000,- -,- -,- -,- -,- -,- -,515,- -,686320,2713676,543444,- -,- -,23169,24828,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,30000,- -,- -,- -,156109,156109,164168,161009,26231,- -,193151,443498,66401,- -,- -,57933,113186,114750
53,Total Current Liabilities,36300,162992,42866,23706,191440,254576,231721,280877,90149,122356,1023710,3254612,794588,230184,93616,178651,191442,170152
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1349880,3186623,2936082,- -,17737,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,669244,1046377,1523943,42564,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2019124,4233000,4460025,42564,17737,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65733,42565,- -
61,Total Liabilities,36300,162992,42866,23706,191440,254576,231721,280877,90149,122356,1023710,3254612,2813712,4463184,4553641,221215,17737,170152
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,13708,13708,44125,53865,57755,58601,58601,20638,20638,24194,24306,26572,28500,34330,36293,52959,52959,53198
64,Retained Earnings,-288006,-391148,-549130,-2391899,-8113444,-6152269,-6728176,-10347926,-12781357,-17053889,-20946270,-29039014,-33676327,-39029752,-45884299,-52771977,- -,-68032941
65,Other Comprehensive Income/Loss,-1859,-2191,-2565,-1811,10693,- -,- -,-463,-5882,-12025,-18128,-27751,-39255,-53181,-50509,-68858,- -,-14872
66,Other Total Stockholders Equity,244483,244815,714772,3754467,10986585,8622458,7018967,12593647,13804164,17453059,20890473,26171868,33768970,35417127,42274108,71235158,15914170,81551840
67,Total Stockholders Equity,-31674,-134816,207202,1414622,2941589,2528790,349392,2265896,1037563,411339,-49619,-2868325,81888,-3631476,-3624407,18447282,15967129,13557225
68,Total Liabilities And Stockholders Equity,4626,28176,250068,1438328,3133029,2783366,581113,2546773,1127712,533695,974091,386287,2895600,831708,929234,18668497,15984866,13727377
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191442,- -
70,Total Liabilities & Equity,4626,28176,250068,1438328,3133029,2783366,581113,2546773,1127712,533695,974091,386287,2895600,831708,929234,18668497,16176308,13727377
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1071840/000117184320007829/0001171843-20-007829-index.htm,https://www.sec.gov/Archives/edgar/data/1071840/000117184321007579/0001171843-21-007579-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , 
73,Net Income,-19787,-103142,-157982,-1442769,-5721545,1961175,-233136,-3619750,-2433431,-4272532,-3892381,-8092744,-4637313,-5353425,-6854547,-6887678,-7353062,-7907902
74,Depreciation and Amortization,341,332,374,628,1289,- -,- -,463,5419,6143,6103,9623,11504,13925,15920,18349,24465,27794
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,-3407781,182069,1551079,205098,324230,431423,520774,646263,648201,2838025,3959367,4872909,4787998
77,Change in Working Capital,150,-102810,341406,1208048,1527419,-412799,-2179398,1915577,-1247372,-620081,-471732,-2824644,4978541,-1531110,247433,16257067,-2462112,424095
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,63136,-30914,52315,-56465,58953,21883,-46801,87305,45441,- -,3933,-44121,1938
81,Other Working Capital,-32474,-135284,206122,1414170,2941589,2528790,349392,2264969,1017597,397516,-74216,-2898860,2079681,548571,796004,17053071,14590959,452046
82,Other Non-Cash Items,- -,129502,-363028,-1225712,2104906,569809,-3228,-2013497,1221477,2656331,1381208,7792266,-3633055,3455880,832397,-15892256,19069323,8775
83,Cash Provided by Operating Activities,-19296,-76118,-179230,-1459805,-2087931,-1289596,-2233693,-2166128,-2248809,-1905909,-2545379,-2594725,-2634060,-2766529,-2920772,-2545151,14151523,-2659240
84,CAPEX,- -,- -,-986,- -,-6144,- -,- -,-1390,-24458,- -,-16877,-15561,-2300,-45547,-2581,-1347664,- -,-76338
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74177
89,Cash Used for Investing Activites,- -,- -,-986,- -,-6144,- -,- -,-1390,-24458,- -,-16877,-15561,-2300,-45547,-2581,-1347664,-5031,-5074177
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18146,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,500000,3052000,3635705,1044500,- -,3985175,- -,1206484,- -,- -,4367100,991860,2949326,19800000,- -,724872
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
