,https://roic.ai/company/FRSH,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,97399000,120209000,- -,126883000,126429000,172377000,249659000,371022000
2,COGS,19686000,26603000,- -,28347000,20415000,36462000,52492000,78030000
3,Gross Profit,77713000,93606000,- -,98536000,106014000,135915000,197167000,292992000
4,Gross Profit Ratio,0.7979,0.7787,- -,0.7766,0.8385,0.7885,0.7897,0.7897
5,Research and Development Exp.,- -,- -,- -,- -,- -,38559000,69210000,120407000
6,General and Administrative Exp.,29263000,28207000,- -,28108000,49731000,15911000,50792000,117022000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,111115000,133277000,260345000
8,"Selling, General and Administrative Exp.",29263000,28207000,- -,28108000,49731000,127026000,184069000,377367000
9,Other Expenses,5041000,3365000,- -,3335000,16235000,- -,- -,- -
10,Operating Expenses,34304000,31572000,- -,31443000,65966000,165585000,253279000,497774000
11,COGS and Expenses,82094000,104574000,- -,117235000,115160000,202047000,305771000,575804000
12,Interest Income ,- -,- -,- -,- -,- -,1276000,4210000,2454000
13,Interest Expense (Gain),8098000,- -,- -,- -,5212000,- -,- -,- -
14,Depreciation and Amortization,8615000,10002000,- -,12236000,7241000,6260000,11169000,13294000
15,EBITDA,19196000,16981000,- -,16828000,18260000,-21230000,-42110000,-168185000
16,EBITDA ratio,0.1971,0.1413,- -,0.1326,0.1444,-0.1232,-0.1687,-0.4533
17,Operating Income,15305000,15635000,- -,9648000,11269000,-29670000,-56112000,-204782000
18,Operating Income ratio,0.1571,0.1301,- -,0.0760,0.0891,-0.1721,-0.2248,-0.5519
19,Total Other Income Expenses (Gains),-12822000,-9156000,- -,-5056000,-5462000,2180000,2833000,23303000
20,Income Before Tax,2483000,6479000,- -,4592000,5807000,-27490000,-53279000,-181479000
21,Income Before Tax Ratio,0.0255,0.0539,- -,0.0362,0.0459,-0.1595,-0.2134,-0.4891
22,Income Tax expense (Gain),1235000,2068000,- -,1943000,1483000,3635000,4015000,10516000
23,Net Income,1248000,4911000,- -,2649000,4324000,-31125000,-57294000,-191995000
24,Net Income ratio,0.0128,0.0409,- -,0.0209,0.0342,-0.1806,-0.2295,-0.5175
25,EPS,0.10,0.29,- -,0.16,0.26,-0.12,-0.23,-0.68
26,EPS Diluted,0.10,0.29,- -,0.16,0.25,-0.12,-0.23,-0.68
27,Weighted Average Shares Outstanding,12101236,16653127,- -,16743285,16929764,252901000,252122000,282647001
28,Weighted Average Shares Outstanding Diluted,12101236,16870693,- -,16773493,17000858,252901000,252122000,282647001
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1592379/000159237915000020/0001592379-15-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1592379/000159237916000111/0001592379-16-000111-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1592379/000159237917000029/0001592379-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/1592379/000159237919000013/0001592379-19-000013-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1544522/000162828022003537/0001628280-22-003537-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,5056000,6867000,- -,2069000,5766000,74999000,95382000,747861000
32,Short-Term Investments,- -,- -,- -,- -,- -,147863000,142733000,575679000
33,Cash and Short-Term Investments,5056000,6867000,- -,2069000,5766000,222862000,238115000,1323540000
34,Net Receivables,5661000,4944000,- -,5330000,3564000,24295000,34270000,51756000
35,Inventory,640000,868000,- -,917000,549000,- -,- -,- -
36,Other Current Assets,4972000,6217000,- -,4800000,2173000,29339000,40019000,46080000
37,Total Current Assets,16329000,18896000,- -,13116000,12052000,276496000,312404000,1421376000
38,PP&E,12120000,21261000,- -,28516000,4866000,19962000,20784000,21478000
39,Goodwill,101082000,106506000,- -,108470000,101763000,4473000,6181000,6181000
40,Intangible Assets,87002000,87002000,- -,87002000,87002000,4404000,6223000,1894000
41,Intangible Assets,188084000,193508000,- -,195472000,188765000,8877000,12404000,8075000
42,Investments,225000,143000,- -,57000,126181000,- -,- -,- -
43,Tax Assets,1338000,2383000,- -,4960000,5171000,2065000,4393000,6284000
44,Other Non-Current Assets,48853000,39280000,- -,31751000,-90311000,14368000,17439000,25599000
45,Total Non-Current Assets,250620000,256575000,- -,260756000,234672000,45272000,55020000,61436000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,266949000,275471000,- -,273872000,246724000,321768000,367424000,1482812000
48,Accounts Payable,3057000,9798000,- -,6160000,4773000,3655000,3710000,6321000
