,https://roic.ai/company/REZI,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,4154000000,4455000000,4519000000,4827000000,4988000000,5071000000,5846000000
2,COGS,2925000000,3090000000,3203000000,3461000000,3798000000,3758000000,4285000000
3,Gross Profit,1229000000,1365000000,1316000000,1366000000,1190000000,1313000000,1561000000
4,Gross Profit Ratio,0.2959,0.3064,0.2912,0.2830,0.2386,0.2589,0.2670
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,86000000
6,General and Administrative Exp.,- -,- -,- -,- -,932000000,- -,- -
7,Selling and Marketing Exp.,810000000,870000000,871000000,873000000,- -,- -,- -
8,"Selling, General and Administrative Exp.",810000000,870000000,871000000,873000000,932000000,- -,916000000
9,Other Expenses,- -,- -,- -,- -,- -,1002000000,- -
10,Operating Expenses,810000000,870000000,871000000,873000000,932000000,1002000000,1002000000
11,COGS and Expenses,3735000000,3960000000,4074000000,4334000000,4730000000,4760000000,5287000000
12,Interest Income ,- -,- -,- -,-20000000,- -,- -,- -
13,Interest Expense (Gain),3000000,3000000,3000000,- -,69000000,63000000,48000000
14,Depreciation and Amortization,58000000,64000000,67000000,66000000,80000000,86000000,88000000
15,EBITDA,318000000,377000000,236000000,170000000,220000000,250000000,489000000
16,EBITDA ratio,0.0766,0.0846,0.0522,0.0352,0.0441,0.0493,0.0836
17,Operating Income,419000000,495000000,445000000,493000000,258000000,311000000,559000000
18,Operating Income ratio,0.1009,0.1111,0.0985,0.1021,0.0517,0.0613,0.0956
19,Total Other Income Expenses (Gains),-162000000,-185000000,-279000000,-389000000,-187000000,-210000000,-206000000
20,Income Before Tax,257000000,310000000,166000000,104000000,71000000,101000000,353000000
21,Income Before Tax Ratio,0.0619,0.0696,0.0367,0.0215,0.0142,0.0199,0.0604
22,Income Tax expense (Gain),110000000,133000000,560000000,-301000000,35000000,64000000,111000000
23,Net Income,147000000,177000000,-394000000,405000000,36000000,37000000,242000000
24,Net Income ratio,0.0354,0.0397,-0.0872,0.0839,0.0072,0.0073,0.0414
25,EPS,1.19,1.43,-3.19,3.31,0.29,0.30,1.68
26,EPS Diluted,1.19,1.43,-3.19,3.30,0.29,0.29,1.63
27,Weighted Average Shares Outstanding,123451420,123451420,123451420,122499000,122722000,125348000,144284000
28,Weighted Average Shares Outstanding Diluted,123451420,123451420,123451420,122624000,123238000,126324000,148559000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1740332/000156459019008280/0001564590-19-008280-index.html,https://www.sec.gov/Archives/edgar/data/1740332/000156459020007105/0001564590-20-007105-index.html,https://www.sec.gov/Archives/edgar/data/1740332/000156459021008469/0001564590-21-008469-index.htm,https://www.sec.gov/Archives/edgar/data/1740332/000095017022001289/0000950170-22-001289-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,47000000,56000000,265000000,122000000,517000000,779000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,47000000,56000000,265000000,122000000,517000000,779000000
34,Net Receivables,- -,740000000,802000000,821000000,817000000,863000000,876000000
35,Inventory,- -,435000000,465000000,628000000,671000000,672000000,740000000
36,Other Current Assets,- -,50000000,69000000,95000000,175000000,173000000,146000000
37,Total Current Assets,- -,1272000000,1392000000,1809000000,1785000000,2225000000,2541000000
38,PP&E,- -,261000000,265000000,300000000,316000000,318000000,428000000
39,Goodwill,- -,2594000000,2648000000,2634000000,2642000000,2691000000,2661000000
40,Intangible Assets,- -,139000000,140000000,133000000,127000000,- -,120000000
41,Intangible Assets,- -,2733000000,2788000000,2767000000,2769000000,2691000000,2781000000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,6000000,5000000,84000000,- -,- -,- -
44,Other Non-Current Assets,- -,22000000,23000000,12000000,258000000,376000000,103000000
45,Total Non-Current Assets,- -,3022000000,3081000000,3163000000,3343000000,3385000000,3312000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,4294000000,4473000000,4972000000,5128000000,5610000000,5853000000
48,Accounts Payable,- -,641000000,678000000,964000000,920000000,936000000,883000000
49,Short-Term Debt,- -,- -,- -,22000000,22000000,7000000,10000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,54000000
51,Deferred Revenue,- -,3000000,3000000,- -,- -,- -,- -
52,Other Current Liabilities,- -,438000000,466000000,503000000,552000000,595000000,601000000
53,Total Current Liabilities,- -,1082000000,1147000000,1489000000,1494000000,1538000000,1494000000
54,Long-Term Debt,- -,- -,- -,1179000000,1158000000,1155000000,1220000000
55,Deferred Revenue,- -,2000000,3000000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,70000000,377000000,25000000,- -,- -,- -
57,Other Non-Current Liabilities,- -,266000000,343000000,746000000,874000000,924000000,887000000
58,Total Non-Current Liabilities,- -,338000000,723000000,1950000000,2032000000,2079000000,2107000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,1420000000,1870000000,3439000000,3526000000,3617000000,3601000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3043000000,2703000000,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,2000000,38000000,75000000,317000000
65,Other Comprehensive Income/Loss,- -,-539000000,-573000000,-189000000,-194000000,-146000,-165000000
66,Other Total Stockholders Equity,- -,370000000,473000000,1720000000,1758000000,1918146000,- -
67,Total Stockholders Equity,- -,2874000000,2603000000,1533000000,1602000000,1993000000,2252000000
68,Total Liabilities And Stockholders Equity,- -,4294000000,4473000000,4972000000,5128000000,5610000000,5853000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,4294000000,4473000000,4972000000,5128000000,5610000000,5853000000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1740332/000156459019008280/0001564590-19-008280-index.html,https://www.sec.gov/Archives/edgar/data/1740332/000156459020007105/0001564590-20-007105-index.html,https://www.sec.gov/Archives/edgar/data/1740332/000156459021008469/0001564590-21-008469-index.htm,https://www.sec.gov/Archives/edgar/data/1740332/000095017022001289/0000950170-22-001289-index.htm
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,147000000,177000000,-394000000,405000000,36000000,37000000,242000000
74,Depreciation and Amortization,58000000,64000000,67000000,66000000,80000000,86000000,88000000
75,Deferred Income Tax,-1000000,-4000000,297000000,-323000000,-25000000,22000000,6000000
76,Stock Based Compensation,10000000,13000000,16000000,20000000,25000000,29000000,39000000
77,Change in Working Capital,-113000000,209000000,55000000,75000000,-29000000,396000000,-104000000
78,Accounts Receivable,-32000000,-106000000,-31000000,-62000000,7000000,-27000000,-30000000
79,Inventory,-28000000,-49000000,-17000000,-172000000,-44000000,19000000,-73000000
80,Accounts Payable,30000000,61000000,11000000,231000000,-38000000,-1000000,-42000000
81,Other Working Capital,-19000000,190000000,245000000,320000000,291000000,687000000,5000000
82,Other Non-Cash Items,27000000,-308000000,-4000000,219000000,-64000000,-326000000,44000000
83,Cash Provided by Operating Activities,128000000,151000000,37000000,462000000,23000000,244000000,315000000
84,CAPEX,-68000000,-71000000,-49000000,-81000000,-95000000,-70000000,-63000000
85,Acquisitions Net,- -,- -,- -,- -,-17000000,- -,-11000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-200000000,-131000000,-2000000,-10000000,-95000000,-103000000,-54000000
89,Cash Used for Investing Activites,-268000000,-191000000,-51000000,-74000000,-112000000,-103000000,-65000000
90,Debt Repayment,- -,- -,-4000000,-5000000,-22000000,-22000000,-1188000000
91,Common Stock Issued,- -,- -,- -,- -,- -,279000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,145000000,4000000,25000000,-162000000,-31000000,-4000000,1208000000
95,Cash Used/Provided by Financing Activities,145000000,4000000,21000000,-167000000,-53000000,253000000,20000000
96,Effect of Forex Changes on Cash,-10000000,1000000,2000000,-12000000,-1000000,1000000,-8000000
97,Net Change In Cash,-5000000,-35000000,9000000,209000000,-143000000,395000000,262000000
98,Cash at the End of Period,82000000,47000000,56000000,265000000,122000000,517000000,779000000
99,Cash at the Beginning of Period,87000000,82000000,47000000,56000000,265000000,122000000,517000000
100,Free Cash Flow,60000000,80000000,-12000000,381000000,-72000000,174000000,252000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1740332/000156459019008280/0001564590-19-008280-index.html,https://www.sec.gov/Archives/edgar/data/1740332/000156459020007105/0001564590-20-007105-index.html,https://www.sec.gov/Archives/edgar/data/1740332/000156459021008469/0001564590-21-008469-index.htm,https://www.sec.gov/Archives/edgar/data/1740332/000095017022001289/0000950170-22-001289-index.htm
102,false,,,,,,,
