,https://roic.ai/company/GNAL,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,15614,28745,- -,- -,- -,- -,- -,- -,7713456,8563751,8975840,3348288,1965163,1282000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,4994420,5439892,5830568,2826558,1066211,687000
3,Gross Profit,15614,28745,- -,- -,- -,- -,- -,- -,2719036,3123859,3145272,521730,898952,595000
4,Gross Profit Ratio,1.0000,1.0000,- -,- -,- -,- -,- -,- -,0.3525,0.3648,0.3504,0.1558,0.4574,0.4641
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,256448,370625,231770,167765,154964,100000
6,General and Administrative Exp.,45418,84262,25017,33744,13674,18730,23094,16344,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,136,3085,446,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",45418,84398,28102,34190,13674,18730,23094,16344,2825269,3173851,11804322,11975974,3580198,1105000
9,Other Expenses,1741,2056,2056,- -,- -,- -,- -,- -,- -,- -,- -,216932,162699,- -
10,Operating Expenses,47159,86454,30158,34190,13674,18730,23094,16344,3081717,3544476,12036092,12360671,3897861,1205000
11,COGS and Expenses,47159,86454,30158,34190,13674,18730,23094,16344,8076137,8984368,17866660,15187229,4964072,1892000
12,Interest Income ,- -,- -,- -,19445,- -,- -,- -,- -,- -,4500,255,- -,- -,- -
13,Interest Expense (Gain),1850,454,4042,28875,22500,22500,23728,26060,60463,96470,224879,1804266,592924,954000
14,Depreciation and Amortization,942,1256,1256,- -,- -,- -,- -,- -,51118,70950,69893,271013,313423,33000
15,EBITDA,-30602,-55653,650,-31365,-13774,-18830,-23094,-16344,-560543,-370490,-13719801,-14995026,-6987309,416000
16,EBITDA ratio,-1.9599,-1.9361,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.0727,-0.0433,-1.5285,-4.4784,-3.5556,0.3245
17,Operating Income,-31545,-57709,-59710,-34460,-13774,-18830,-23094,-16344,-362681,-420617,-8890820,-17525674,-5941863,-1485000
18,Operating Income ratio,-2.0203,-2.0076,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.0470,-0.0491,-0.9905,-5.2342,-3.0236,-1.1583
19,Total Other Income Expenses (Gains),- -,346,-29552,-2825,-132797,-22500,-23728,-26060,-309443,-117293,-5123753,455369,-1951793,914000
20,Income Before Tax,- -,-57363,- -,- -,-146571,-41330,-46822,-42404,-672124,-537910,-14014573,-17070305,-7893656,-571000
21,Income Before Tax Ratio,- -,-1.9956,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-0.0871,-0.0628,-1.5614,-5.0982,-4.0168,-0.4454
22,Income Tax expense (Gain),- -,800,- -,- -,- -,- -,- -,- -,-119102,800,7155,3700,- -,- -
23,Net Income,-33394,-58163,-63752,-46445,-146571,-41330,-46822,-42404,-553022,-538710,-14021728,-17074005,-7893656,-571000
24,Net Income ratio,-2.1387,-2.0234,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.0717,-0.0629,-1.5622,-5.0993,-4.0168,-0.4454
25,EPS,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.02,-0.02,-0.38,-0.39,-0.17,-0.01
26,EPS Diluted,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.02,-0.02,-0.38,-0.39,-0.17,-0.01
27,Weighted Average Shares Outstanding,62700000,64662000,64662000,64662000,64662000,64662000,64662000,64662000,27764038,29632824,37158145,43564550,46343600,53419000
28,Weighted Average Shares Outstanding Diluted,62700000,64662000,64662000,64662000,64662000,64662000,64662000,64662000,27764038,29632824,37158145,43564550,46343600,53419000
