,https://roic.ai/company/WILC,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,102219300,136464400,130029748,127036238,126832897,131536364,137383372,171294946,166175000,190893650,250329454,349227000,303460000,348358000,264404000,286509000,336032000,328741000,312514000,294202000,311978000,338245000,395637000,454094000,454213000
2,COGS,79936200,106924850,101693495,98363951,98165820,103215818,110161386,130535303,128133000,143157600,199332776,281651000,219569000,247572000,202699000,217468000,252355000,249136000,237452000,217585000,237645000,240032000,271784000,308717000,315920000
3,Gross Profit,22283100,29539550,28336253,28672287,28667077,28320546,27221986,40759643,38042000,47736050,50996679,67576000,83891000,100786000,61705000,69041000,83677000,79605000,75062000,76617000,74333000,98213000,123853000,145377000,138293000
4,Gross Profit Ratio,0.2180,0.2165,0.2179,0.2257,0.2260,0.2153,0.1981,0.2380,0.2289,0.2501,0.2037,0.1935,0.2764,0.2893,0.2334,0.2410,0.2490,0.2422,0.2402,0.2604,0.2383,0.2904,0.3130,0.3201,0.3045
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23127000,20451000,22217000,16863000,15331000,17373000,17682000,27817000,14111000,13832000,14782000,18145000,20755000,23299000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33759000,35598000,45048000,27482000,28915000,35130000,39696000,37294000,39405000,42090000,43823000,55490000,65990000,65869000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56886000,56049000,67265000,44345000,44246000,52503000,57378000,65111000,53516000,55922000,58605000,73635000,86745000,89168000
9,Other Expenses,11672100,15393850,16817518,18360785,18169894,18600479,20000005,24816598,29297400,35144888,46539385,2195000,-5330000,-47000,272000,1384000,2035000,-1243000,3148000,466000,2007000,1904000,2922000,1163000,-230000
10,Operating Expenses,11672100,15393850,16817518,18360785,18169894,18600479,20000005,24816598,29297400,35144888,46539385,59081000,50719000,67218000,44617000,45630000,54538000,56135000,68259000,53982000,57929000,60509000,76557000,87908000,88938000
11,COGS and Expenses,91608300,122318700,118511013,116724737,116335714,121816297,130161391,155351900,157430400,178302488,245872161,340732000,270288000,314790000,247316000,263098000,306893000,305271000,305711000,271567000,295574000,300541000,348341000,396625000,404858000
12,Interest Income ,- -,416050,- -,1469025,1720201,- -,1552552,1899009,1651400,3222563,2625793,2021000,835000,1798000,3466000,2668000,2195000,1755000,2784000,2113000,3320000,4987000,5166000,4321000,28957000
13,Interest Expense (Gain),- -,2912350,- -,- -,- -,1015175,675971,776867,142600,269600,929245,843000,778000,449000,47000,24000,- -,- -,- -,6568000,3769000,7212000,- -,1253000,20492000
14,Depreciation and Amortization,353700,416050,767639,1335477,1080000,925043,955081,1061719,1251200,1200563,5452087,5020000,5777000,5815000,3506000,3134000,4459000,3634000,3723000,3762000,3682000,3614000,4815000,5690000,6200000
15,EBITDA,10611000,14977800,12792600,13140284,13297384,11446814,13292633,18938301,12673000,35363938,10873328,6531000,42034000,42924000,25770000,34921000,45784000,29674000,13133000,26509000,38384000,43643000,70061000,74615000,84512000
16,EBITDA ratio,0.1038,0.1098,0.0984,0.1034,0.1048,0.0870,0.0968,0.1106,0.0763,0.1853,0.0434,0.0187,0.1385,0.1232,0.0975,0.1219,0.1362,0.0903,0.0420,0.0901,0.1230,0.1290,0.1771,0.1643,0.1861
17,Operating Income,10611000,14145700,11518734,10311501,10497183,9720067,7226343,15943045,8744600,12591163,4457293,7428000,33172000,33568000,17088000,23457000,29193000,23621000,7025000,22747000,16765000,37773000,47296000,57577000,49355000
18,Operating Income ratio,0.1038,0.1037,0.0886,0.0812,0.0828,0.0739,0.0526,0.0931,0.0526,0.0660,0.0178,0.0213,0.1093,0.0964,0.0646,0.0819,0.0869,0.0719,0.0225,0.0773,0.0537,0.1117,0.1195,0.1268,0.1087
19,Total Other Income Expenses (Gains),-353700,-2496300,506227,1493306,1720201,-213471,4439600,1156669,2534600,23105563,2328897,-5707000,1471000,4242000,1167000,8306000,12132000,2419000,2385000,-6568000,14168000,-4956000,17950000,10095000,8465000
20,Income Before Tax,10257300,11649400,12024961,11804807,12217384,9506595,11665943,17099715,11279200,35696725,6786190,1721000,34643000,37810000,18255000,31763000,41325000,26040000,9410000,16179000,30933000,32817000,65246000,67672000,57820000
21,Income Before Tax Ratio,0.1003,0.0854,0.0925,0.0929,0.0963,0.0723,0.0849,0.0998,0.0679,0.1870,0.0271,0.0049,0.1142,0.1085,0.0690,0.1109,0.1230,0.0792,0.0301,0.0550,0.0992,0.0970,0.1649,0.1490,0.1273
22,Income Tax expense (Gain),3537000,4160500,4257284,4022619,3990337,2300748,2887048,5895560,3560400,5362513,2521687,1454000,5043000,8483000,3906000,7757000,9517000,7186000,2566000,5327000,5910000,7850000,13735000,15463000,12719000
23,Net Income,6720300,7488900,7767677,7782189,8227046,7205847,8774533,11204154,7718800,28531263,1970309,-786000,30436000,28177000,18311000,24006000,31808000,18854000,6844000,10852000,25023000,24967000,51511000,52209000,45101000
24,Net Income ratio,0.0657,0.0549,0.0597,0.0613,0.0649,0.0548,0.0639,0.0654,0.0464,0.1495,0.0079,-0.0023,0.1003,0.0809,0.0693,0.0838,0.0947,0.0574,0.0219,0.0369,0.0802,0.0738,0.1302,0.1150,0.0993
25,EPS,0.94,0.92,0.93,0.91,0.97,0.84,1.02,1.30,0.90,3.17,0.19,-0.08,2.96,2.18,1.35,1.85,2.45,1.45,0.52,0.82,1.58,1.89,3.90,3.89,3.25
26,EPS Diluted,0.92,0.89,0.91,0.91,0.97,0.84,1.02,1.30,0.90,3.12,0.19,-0.08,2.96,2.18,1.35,1.85,2.45,1.45,0.52,0.82,1.58,1.89,3.90,3.89,3.25
27,Weighted Average Shares Outstanding,7169811,8181818,8295000,8556000,8555000,8555000,8555000,8600000,8615000,9028223,10267893,10267893,10267893,12876294,13565068,12977481,12974245,12974245,13107579,13240913,13240913,13240913,13217017,13433684,13867017
28,Weighted Average Shares Outstanding Diluted,7307692,8372093,8555000,8556000,8555000,8555000,8555000,8600000,8615000,9152233,10267893,10267893,10267893,12876294,13565068,12977481,12974245,12974245,13107579,13240913,13240913,13240913,13217017,13433684,13867017
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1030997/000117891310001683/zk1008462.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891311001847/zk1110077.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891312001241/zk1211391.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891313001272/zk1313015.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891314001479/zk1414799.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891315001380/zk1516657.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891316005185/zk1618400.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891317001235/zk1719852.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891318001346/zk1821527.htm,https://www.sec.gov/Archives/edgar/data/1030997/000117891319000946/0001178913-19-000946-index.html,https://www.sec.gov/Archives/edgar/data/1030997/000117891320000863/0001178913-20-000863-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3890700,3328400,15610043,27029245,2800000,27718082,12464024,55934453,30410600,91129013,61804458,78749000,87104000,113631000,34661000,57563000,36197000,82902000,79421000,129577000,113062000,134287000,121860000,201822000,195718000
32,Short-Term Investments,3537000,1664200,4875545,1145273,9700000,21579592,42298309,1696160,3224600,13905463,31347573,9367000,11356000,67890000,163430000,158810000,178164000,142178000,165295000,104921000,143514000,137904000,141543000,154700000,154090000
33,Cash and Short-Term Investments,7427700,4992600,20485588,28174518,12500000,49297674,54762333,57630613,33635200,105034475,93152031,88116000,98460000,181521000,198091000,216373000,214361000,225080000,244716000,234498000,256576000,272191000,263403000,356522000,349808000
34,Net Receivables,19453500,28707450,25477316,31675086,7400000,24610886,29672924,42179584,55765800,52112838,68532811,86042000,79742000,87675000,73348000,75534000,84052000,90118000,87220000,87886000,97672000,100842000,157542000,157423000,144736000
35,Inventory,14855400,13313600,15083069,10566456,4300000,16641285,18822508,27194675,30778600,19044713,29238456,34417000,44810000,37614000,32613000,49270000,54001000,48586000,34517000,41877000,39899000,49289000,71548000,59514000,59528000
36,Other Current Assets,353700,2496300,- -,- -,- -,3230535,2891409,-0,266800,391763,- -,- -,- -,534000,- -,1794000,1574000,1644000,4456000,2579000,1027000,1781000,2507000,3217000,- -
37,Total Current Assets,42090300,49509950,61045973,70416060,24200000,93780380,106149174,127004872,120446400,176583788,190923298,208575000,223012000,307344000,304052000,342971000,353988000,365428000,370909000,366840000,395174000,424103000,495000000,576676000,554072000
38,PP&E,1768500,2080250,2543582,2598110,800000,2855774,3397297,3042731,16647400,42643138,47075340,42107000,39385000,50838000,42545000,41628000,40974000,45247000,44166000,42241000,41209000,39392000,41381000,39511000,42902000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3829000,1936000,1936000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
40,Intangible Assets,353700,416050,224068,- -,- -,- -,- -,- -,- -,- -,- -,5181000,4674000,4067000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,353700,416050,224068,- -,- -,- -,- -,- -,- -,- -,- -,9010000,6610000,6003000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13700000,31056000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,92675,- -,1111000,375000,694000,933000,20000,- -,505000,3614000,2354000,503000,2882000,818000,- -,- -
44,Other Non-Current Assets,- -,416050,568468,226626,- -,61670,61055,64739,92000,- -,2224791,12539000,13337000,2405000,117000,62000,50000,133000,138000,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,2122200,2912350,3336118,2824736,800000,2917443,3458352,3107470,16739400,42735813,49300131,64767000,59707000,59940000,43631000,41746000,41060000,45921000,47954000,44631000,41748000,42310000,42235000,53247000,73994000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,44212500,52422300,64382090,73240796,25000000,96697823,109607526,130112342,137185800,219319600,240223429,273342000,282719000,367284000,347683000,384717000,395048000,411349000,418863000,411471000,436922000,466413000,537235000,629923000,628066000
48,Accounts Payable,9196200,5408650,8398386,10157719,4000000,11375656,16109903,19102306,19927200,20076775,34046626,53728000,49382000,32300000,25683000,26292000,20245000,15518000,12863000,14832000,12800000,16239000,24650000,23474000,20386000
49,Short-Term Debt,- -,- -,- -,- -,2146951,1072101,43611,2494608,- -,- -,5991898,17562000,10372000,5780000,- -,9930000,18000,- -,16000,- -,- -,- -,1675000,1393000,1136000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1050000,2801000,5910000,3837000,2117000,637000,- -,- -,- -,- -,- -,3750000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,572000,990000,730000,657000,1329000,733000,351000,1223000,1267000,1576000,1787000,- -
52,Other Current Liabilities,3537000,4576550,4572639,3715054,-1046951,4027495,6144790,9244722,15157000,12612225,7329857,14762000,14899000,19648000,10175000,13423000,7142000,7801000,4860000,4435000,6170000,7192000,14280000,13261000,28618000
53,Total Current Liabilities,12733200,9985200,12971024,13872773,5100000,16475252,22298304,30841636,35084200,32689000,47368380,86052000,74653000,58300000,36848000,50375000,28062000,24648000,18472000,19618000,20193000,24698000,42181000,39915000,50140000
