,https://roic.ai/company/CMBM,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , 
1,Revenue,181444000,216671000,241762000,267028000,278459000,335854000
2,COGS,91715000,105960000,126267000,135799000,139049000,175058000
3,Gross Profit,89729000,110711000,115495000,131229000,139410000,160796000
4,Gross Profit Ratio,0.4945,0.5110,0.4777,0.4914,0.5006,0.4788
5,Research and Development Exp.,26267000,32227000,38917000,47692000,43188000,47929000
6,General and Administrative Exp.,13218000,17578000,18804000,30125000,28851000,29490000
7,Selling and Marketing Exp.,29621000,37209000,42658000,46253000,36784000,40787000
8,"Selling, General and Administrative Exp.",42839000,54787000,61462000,76378000,65635000,70277000
9,Other Expenses,8433000,8824000,8765000,5858000,6639000,6171000
10,Operating Expenses,77539000,95838000,109144000,129928000,115462000,124377000
11,COGS and Expenses,169254000,201798000,235411000,265727000,254511000,299435000
12,Interest Income ,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),7565000,5018000,8113000,8076000,5326000,4269000
14,Depreciation and Amortization,8433000,8871000,9018000,6367000,7268000,6977000
15,EBITDA,19820000,23270000,14819000,7122000,30725000,43152000
16,EBITDA ratio,0.1092,0.1074,0.0613,0.0267,0.1103,0.1285
17,Operating Income,12190000,14873000,6351000,1301000,23948000,36419000
18,Operating Income ratio,0.0672,0.0686,0.0263,0.0049,0.0860,0.1084
19,Total Other Income Expenses (Gains),-7730000,-5492000,-8663000,-8622000,-5817000,-4513000
20,Income Before Tax,4460000,9381000,-2312000,-7321000,18131000,31906000
21,Income Before Tax Ratio,0.0246,0.0433,-0.0096,-0.0274,0.0651,0.0950
22,Income Tax expense (Gain),1547000,-418000,-799000,10280000,-444000,-5515000
23,Net Income,2275000,9799000,-1513000,-17601000,18575000,37421000
24,Net Income ratio,0.0125,0.0452,-0.0063,-0.0659,0.0667,0.1114
25,EPS,0.11,0.49,-0.08,-0.89,0.72,1.41
26,EPS Diluted,0.11,0.49,-0.08,-0.89,0.70,1.31
27,Weighted Average Shares Outstanding,19807770,19807770,19807770,19732956,25707092,26540843
28,Weighted Average Shares Outstanding Diluted,19807770,19807770,19807770,19732956,26403112,28639177
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1738177/000156459020012247/0001564590-20-012247-index.htm,https://www.sec.gov/Archives/edgar/data/1738177/000156459021009841/0001564590-21-009841-index.htm,https://www.sec.gov/Archives/edgar/data/1738177/000095017022001957/0000950170-22-001957-index.htm
30,BALANCE SHEET, , , , , , 
31,Cash and Cash Equivalents,- -,7377000,4441000,19346000,62472000,59291000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,7377000,4441000,19346000,62472000,59291000
34,Net Receivables,- -,52208000,61068000,58628000,59534000,70633000
35,Inventory,- -,21885000,30710000,41670000,33962000,33777000
36,Other Current Assets,- -,4156000,9354000,9673000,9167000,16888000
37,Total Current Assets,- -,85626000,105573000,129317000,165135000,180589000
38,PP&E,- -,5221000,7965000,15186000,12618000,16389000
39,Goodwill,- -,8060000,8060000,8552000,9842000,9842000
40,Intangible Assets,- -,16664000,12437000,18495000,16333000,16644000
41,Intangible Assets,- -,24724000,20497000,27047000,26175000,26486000
42,Investments,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,6042000,8022000,929000,1537000,7604000
44,Other Non-Current Assets,- -,- -,- -,- -,288000,1200000
45,Total Non-Current Assets,- -,35987000,36484000,43162000,40618000,51679000
46,Other Assets,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,121613000,142057000,172479000,205753000,232268000
48,Accounts Payable,- -,18475000,23710000,25214000,30859000,28241000
49,Short-Term Debt,- -,3934000,8836000,9454000,29201000,2489000
50,Tax Payable,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,2891000,2770000,7430000,6471000,6880000
52,Other Current Liabilities,- -,29340000,30983000,25770000,41080000,44530000
53,Total Current Liabilities,- -,54640000,66299000,67868000,107611000,82140000
54,Long-Term Debt,- -,83443000,94183000,54158000,24957000,31077000
55,Deferred Revenue,- -,1356000,1541000,4852000,4448000,5363000
56,Deferred Tax Liabilities,- -,- -,- -,337000,9000,- -
57,Other Non-Current Liabilities,- -,- -,605000,5335000,5341000,1551000
58,Total Non-Current Liabilities,- -,84799000,96329000,64682000,34755000,37991000
59,Other Liabilities,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,5335000,3332000,4112000
61,Total Liabilities,- -,139439000,162628000,132550000,142366000,120131000
62,Preferred Stock,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,772000,772000,3000,3000,3000
64,Retained Earnings,- -,-43400000,-45773000,-63374000,-44799000,-7378000
65,Other Comprehensive Income/Loss,- -,151000,-221000,-379000,-564000,-699000
66,Other Total Stockholders Equity,- -,24651000,24651000,103679000,108747000,- -
67,Total Stockholders Equity,- -,-17826000,-20571000,39929000,63387000,112137000
68,Total Liabilities And Stockholders Equity,- -,121613000,142057000,172479000,205753000,232268000
69,Minority Interest,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,121613000,142057000,172479000,205753000,232268000
