,https://roic.ai/company/NTR,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,305800000,277900000,238500000,265200000,291000000,313200000,425400000,906900000,1403900000,2325900000,2307800000,2061064000,2231600000,2072700000,1913800000,2465800000,3244400000,3847200000,3766700000,5234200000,9446500000,3976700000,6538600000,8715000000,7927000000,7305000000,7115000000,6279000000,4456000000,4547000000,19636000000,20023000000,20908000000,27712000000
2,COGS,127500000,114100000,124700000,130000000,148100000,156400000,216500000,526400000,920400000,1570800000,1507500000,1461687000,1748800000,1673500000,1612200000,2085400000,2563000000,2722200000,2764700000,3353000000,457300000,2950700000,3913600000,4429000000,4517000000,4515000000,4468000000,4010000000,3626000000,3872000000,14244000000,14582000000,15669000000,18303000000
3,Gross Profit,178300000,163800000,113800000,135200000,142900000,156800000,208900000,380500000,483500000,755100000,800300000,599377000,482800000,399200000,301600000,380400000,681400000,1125000000,1002000000,1881200000,8989200000,1026000000,2625000000,4286000000,3410000000,2790000000,2647000000,2269000000,830000000,675000000,5392000000,5441000000,5239000000,9409000000
4,Gross Profit Ratio,0.5831,0.5894,0.4771,0.5098,0.4911,0.5006,0.4911,0.4196,0.3444,0.3246,0.3468,0.2908,0.2163,0.1926,0.1576,0.1543,0.2100,0.2924,0.2660,0.3594,0.9516,0.2580,0.4015,0.4918,0.4302,0.3819,0.3720,0.3614,0.1863,0.1484,0.2746,0.2717,0.2506,0.3395
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211000000,213000000,223000000,- -,- -,- -,- -,539000000,508000000,498000000,675000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2337000000,2505000000,2813000000,3142000000
8,"Selling, General and Administrative Exp.",31600000,34400000,34500000,38800000,44900000,45900000,50700000,58500000,60300000,99700000,116000000,116294000,111000000,99700000,91700000,96100000,130600000,144500000,158400000,212600000,188400000,183600000,228100000,211000000,213000000,223000000,245000000,239000000,212000000,214000000,2876000000,3013000000,3311000000,3817000000
9,Other Expenses,32300000,53100000,49000000,52500000,51600000,50600000,71700000,114400000,130300000,240300000,271000000,268191000,77200000,29800000,43000000,23800000,32900000,87900000,-31900000,80100000,-3997900000,-349800000,93300000,153000000,198000000,215000000,275000000,349000000,141000000,171000000,250000000,292000000,237000000,466000000
10,Operating Expenses,63900000,87500000,83500000,91300000,96500000,96500000,122400000,172900000,190600000,340000000,387000000,384485000,188200000,129500000,134700000,119900000,163500000,232400000,126500000,292700000,-3809500000,-166200000,321400000,364000000,411000000,438000000,520000000,588000000,353000000,385000000,3126000000,3305000000,3548000000,4283000000
11,COGS and Expenses,191400000,201600000,208200000,221300000,244600000,252900000,338900000,699300000,1111000000,1910800000,1894500000,1846172000,1937000000,1803000000,1746900000,2205300000,2726500000,2954600000,2891200000,3645700000,729600000,2784500000,4235000000,4793000000,4928000000,4953000000,4988000000,4598000000,3979000000,4257000000,17370000000,17887000000,19217000000,22586000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17700000,10500000,7700000,- -,4000000,3000000,1000000,2000000,3000000,2000000,17000000,5000000,1000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80500000,131400000,106800000,159000000,106000000,134000000,170000000,181000000,205000000,223000000,504000000,505000000,488000000,613000000
14,Depreciation and Amortization,32300000,33600000,31800000,33900000,32400000,31700000,39300000,71000000,90100000,170000000,190900000,191106000,187000000,185700000,219100000,227400000,240000000,242400000,242400000,291300000,327500000,312100000,410700000,489000000,578000000,666000000,701000000,685000000,695000000,692000000,1592000000,1799000000,1989000000,1951000000
