,https://roic.ai/company/TLS,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,142595000,140873000,226585000,217067000,275681000,225797000,189888000,226096000,207394000,127562000,120634000,134868000,107727000,138016000,159218000,179917000,- -
2,COGS,118539000,119024000,185005000,172640000,230108000,178497000,142345000,171290000,168794000,102609000,89961000,91422000,67161000,84954000,106874000,117497000,156404000000
3,Gross Profit,24056000,21849000,41580000,44427000,45573000,47300000,47543000,54806000,38600000,24953000,30673000,43446000,40566000,53062000,52344000,62420000,-156404000000
4,Gross Profit Ratio,0.1687,0.1551,0.1835,0.2047,0.1653,0.2095,0.2504,0.2424,0.1861,0.1956,0.2543,0.3221,0.3766,0.3845,0.3288,0.3469,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14243000,19096000000
6,General and Administrative Exp.,29919000,30874000,32227000,29814000,31860000,32294000,34856000,37106000,32489000,36597000,34290000,41334000,40152000,44048000,47319000,41704000,88742000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6176000,19655000000
8,"Selling, General and Administrative Exp.",29919000,30874000,32227000,29814000,31860000,32294000,34856000,37106000,32489000,36597000,34290000,41334000,40152000,44048000,47319000,47880000,108397000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,29919000,30874000,32227000,29814000,31860000,32294000,34856000,37106000,32489000,36597000,34290000,41334000,40152000,44048000,47319000,62123000,127493000000
11,COGS and Expenses,148458000,149898000,217232000,202454000,261968000,210791000,177201000,208396000,201283000,139206000,124251000,132756000,107313000,129002000,154193000,179620000,283897000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),8756000,20577000,8351000,7701000,7226000,6228000,6265000,6632000,5483000,5370000,5639000,5465000,6690000,7258000,7467000,7259000,-777000000
14,Depreciation and Amortization,1951000,1855000,1751000,1431000,1472000,1625000,2728000,3812000,3817000,4251000,4291000,2898000,1999000,3028000,4972000,5353000,5624000
15,EBITDA,-3344000,-7237000,15928000,14089000,14238000,15608000,13685000,25109000,8360000,-8655000,-1745000,1522000,89000,8677000,5934000,14253000,-43933376000
16,EBITDA ratio,-0.0235,-0.0514,0.0703,0.0649,0.0516,0.0691,0.0721,0.1111,0.0403,-0.0678,-0.0145,0.0113,0.0008,0.0629,0.0373,0.0792,-Infinity
17,Operating Income,-5863000,-9025000,9353000,14613000,13713000,15006000,12687000,17700000,6111000,-11644000,-3617000,2112000,414000,9014000,5025000,297000,-41464000
18,Operating Income ratio,-0.0411,-0.0641,0.0413,0.0673,0.0497,0.0665,0.0668,0.0783,0.0295,-0.0913,-0.0300,0.0157,0.0038,0.0653,0.0316,0.0017,-Infinity
19,Total Other Income Expenses (Gains),-9188000,-20644000,-3527000,-9656000,-7141000,-6054000,-5946000,-975000,-5244000,-4956000,-5620000,-5447000,-6679000,-7246000,-7266000,6498000,-43120536000
20,Income Before Tax,-15051000,-29669000,5826000,4957000,6572000,8952000,6741000,16725000,867000,-16600000,-9237000,-3335000,-6265000,1768000,-2241000,6795000,-43162000000
21,Income Before Tax Ratio,-0.1056,-0.2106,0.0257,0.0228,0.0238,0.0396,0.0355,0.0740,0.0042,-0.1301,-0.0766,-0.0247,-0.0582,0.0128,-0.0141,0.0378,-Infinity
22,Income Tax expense (Gain),9000,12000,280000,-5731000,4263000,4708000,3238000,7230000,1678000,-5988000,4265000,334000,-2767000,31000,-104000,-46000,-28000000
23,Net Income,-14060000,-29681000,5546000,10688000,1277000,3047000,1454000,7435000,-2618000,-12288000,-15940000,-7175000,-5833000,-1640000,-6401000,1687000,-43134000000
24,Net Income ratio,-0.0986,-0.2107,0.0245,0.0492,0.0046,0.0135,0.0077,0.0329,-0.0126,-0.0963,-0.1321,-0.0532,-0.0541,-0.0119,-0.0402,0.0094,-Infinity
25,EPS,-0.25,-1.18,0.22,0.38,0.03,0.08,0.04,0.19,-0.06,-0.28,-0.36,-0.16,-0.12,-0.03,0.08,0.04,-1035.83
26,EPS Diluted,-0.25,-1.18,0.22,0.38,0.03,0.08,0.04,0.19,-0.06,-0.28,-0.36,-0.16,-0.12,-0.03,0.07,0.04,-1005.99
27,Weighted Average Shares Outstanding,55361000,25208830,25208830,28307774,37670597,37626529,39944089,39946589,44256089,44276089,44276089,44276089,49251089,49196088,55361000,41642000,41642000
28,Weighted Average Shares Outstanding Diluted,57208000,25208830,25208830,28307774,37670597,37626529,39944089,39946589,44256089,44276089,44276089,44276089,49251089,49196088,57208000,42877000,42877000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/320121/000119312510073473/0001193125-10-073473-index.htm,- -,https://www.sec.gov/Archives/edgar/data/320121/000114036112018306/0001140361-12-018306-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000114036113014720/0001140361-13-014720-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000114036114014708/0001140361-14-014708-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012115000011/0000320121-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012116000045/0000320121-16-000045-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012117000007/0000320121-17-000007-index.htm,- -,https://www.sec.gov/Archives/edgar/data/320121/000032012119000007/0000320121-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012120000009/0000320121-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000114036121009988/0001140361-21-009988-index.htm,https://www.sec.gov/Archives/edgar/data/320121/000032012122000064/0000320121-22-000064-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
