,https://roic.ai/company/BOWL,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,520431000,395234000
2,COGS,443265000,374255000
3,Gross Profit,77166000,20979000
4,Gross Profit Ratio,0.1483,0.0531
5,Research and Development Exp.,- -,- -
6,General and Administrative Exp.,- -,- -
7,Selling and Marketing Exp.,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -
9,Other Expenses,85062000,79835000
10,Operating Expenses,85062000,79835000
11,COGS and Expenses,528327000,454090000
12,Interest Income ,- -,- -
13,Interest Expense (Gain),80642000,88857000
14,Depreciation and Amortization,89234000,91851000
15,EBITDA,87247000,53212000
16,EBITDA ratio,0.1676,0.1346
17,Operating Income,-1987000,-38639000
18,Operating Income ratio,-0.0038,-0.0978
19,Total Other Income Expenses (Gains),-80642000,-88857000
20,Income Before Tax,-82629000,-127496000
21,Income Before Tax Ratio,-0.1588,-0.3226
22,Income Tax expense (Gain),8263000,-1035000
23,Net Income,-90892000,-126461000
24,Net Income ratio,-0.1746,-0.3200
25,EPS,-0.60,-0.81
26,EPS Diluted,-0.60,-0.81
27,Weighted Average Shares Outstanding,165378145,165378145
28,Weighted Average Shares Outstanding Diluted,165378145,165378145
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1840572/000121390021043189/0001213900-21-043189-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,140705000,187093000
32,Short-Term Investments,- -,- -
33,Cash and Short-Term Investments,140705000,187093000
34,Net Receivables,3758000,3300000
35,Inventory,8167000,8310000
36,Other Current Assets,9010000,8742000
37,Total Current Assets,161640000,207445000
38,PP&E,743720000,708800000
39,Goodwill,724932000,726156000
40,Intangible Assets,101797000,96057000
41,Intangible Assets,826729000,822213000
42,Investments,1217000,1230000
43,Tax Assets,115000,- -
44,Other Non-Current Assets,43025000,42550000
45,Total Non-Current Assets,1614806000,1574793000
46,Other Assets,- -,- -
47,Total Assets,1776446000,1782238000
48,Accounts Payable,16954000,29489000
49,Short-Term Debt,5260000,5058000
50,Tax Payable,9754000,9646000
51,Deferred Revenue,8368000,12999000
52,Other Current Liabilities,40793000,59827000
53,Total Current Liabilities,71375000,107373000
54,Long-Term Debt,1192292000,1245126000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,12846000,11867000
57,Other Non-Current Liabilities,56121000,87749000
58,Total Non-Current Liabilities,1261259000,1344742000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,361706000,374598000
61,Total Liabilities,1332634000,1452115000
62,Preferred Stock,133147000,141162000
63,Common Stock,160602000,464828000
64,Retained Earnings,-102701000,-266463000
65,Other Comprehensive Income/Loss,-19012000,-9404000
66,Other Total Stockholders Equity,271776000,- -
67,Total Stockholders Equity,443812000,330123000
68,Total Liabilities And Stockholders Equity,1776446000,1782238000
69,Minority Interest,- -,- -
70,Total Liabilities & Equity,1776446000,1782238000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1840572/000121390021043189/0001213900-21-043189-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,-90892000,-126461000
74,Depreciation and Amortization,89234000,91851000
75,Deferred Income Tax,7402000,-1418000
76,Stock Based Compensation,3431000,3164000
77,Change in Working Capital,2095000,9807000
78,Accounts Receivable,- -,- -
79,Inventory,-91000,-137000
80,Accounts Payable,- -,- -
81,Other Working Capital,90265000,100072000
82,Other Non-Cash Items,7552000,81289000
83,Cash Provided by Operating Activities,18822000,58232000
84,CAPEX,-119711000,-43197000
85,Acquisitions Net,-13710000,-4892000
86,Purchases of Investments,-15773000,- -
87,Sales/Maturities of Investments,19161000,- -
88,Other Investing Activites,595000,1353000
89,Cash Used for Investing Activites,-129395000,-46676000
90,Debt Repayment,-5893000,-8211000
91,Common Stock Issued,- -,- -
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,143156000,43016000
95,Cash Used/Provided by Financing Activities,137263000,34805000
96,Effect of Forex Changes on Cash,-177000,27000
97,Net Change In Cash,26513000,46388000
98,Cash at the End of Period,140705000,187093000
99,Cash at the Beginning of Period,114192000,140705000
100,Free Cash Flow,-100889000,15035000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1840572/000121390021043189/0001213900-21-043189-index.htm
102,false,,
