,https://roic.ai/company/DNN,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,700152,50175096,20515927,24128087,1276996,10839780,16968752,3057700,152093,- -,76019389,149914928,82898907,128340531,98832800,11069473,11081061,11166312,17582032,18592935,13939388,15550000,15549000,14423000,20000000
2,COGS,300065,40598934,16012430,22016291,5462979,6640509,7314710,4006323,2879697,- -,48860412,147483362,104521522,124893980,105326360,14277800,9343357,13507767,17085239,14088856,13349620,15759000,14224000,10337000,12621000
3,Gross Profit,400087,9576162,4503497,2111796,-4185982,4199271,9654042,-948623,-2727604,- -,27158978,2431566,-21622615,3446551,-6493560,-3208327,1737705,-2341455,496793,4504079,589768,-209000,1325000,4086000,7379000
4,Gross Profit Ratio,0.5714,0.1909,0.2195,0.0875,-3.2780,0.3874,0.5689,-0.3102,-17.9338,- -,0.3573,0.0162,-0.2608,0.0269,-0.0657,-0.2898,0.1568,-0.2097,0.0283,0.2422,0.0423,-0.0134,0.0852,0.2833,0.3690
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25333072,- -,- -,- -,10420844,8695977,8810927,8968640,5940922,7366435,7189000,7811000,7609000,9691000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19428,- -,- -,- -,- -,14000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25333072,- -,- -,- -,10420844,8695977,8810927,8988068,5940922,7366435,7189000,7811000,7623000,9691000
9,Other Expenses,1400304,8578645,8606681,7720810,2722965,5360658,3873190,4412293,5464993,- -,34098010,24478738,29161735,23672787,32024686,13243177,15454072,18028156,21058196,15346934,17394998,16962000,17656000,14222000,21036000
10,Operating Expenses,1400304,8578645,8606681,7720810,2722965,5360658,3873190,4412293,5464993,- -,34098010,49811810,29161735,23672787,32024686,23664021,24150048,26839083,30046264,21287856,24761433,24151000,25467000,21845000,30727000
11,COGS and Expenses,1700369,49177579,24619111,29737101,8185944,12001167,11187899,8418616,8344690,- -,82958421,197295172,133683257,148566767,137351046,37941821,33493405,40346850,47131503,35376712,38111053,39910000,39691000,32182000,43348000
12,Interest Income ,- -,- -,- -,- -,- -,- -,506179,- -,- -,- -,- -,1355738,821974,680109,1529458,480503,417390,643116,303904,237906,255273,1049000,594000,291000,383000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3227484,1505730,27004,1568256,138281,136291,134660,134606,1217755,77965,3386000,3358000,3175000,3167000
14,Depreciation and Amortization,- -,3092303,2101632,1644142,1375628,1290353,834989,684894,638184,- -,13256156,48178596,38034860,60607696,40818559,19161421,693165,2432002,5031764,5408658,5819710,8585000,8711000,7145000,7385000
15,EBITDA,-1000218,5785598,-23017868,-21258742,-3076047,1583941,8316308,-2810887,-2088680,- -,47540342,-37405712,-154744626,46221394,-31031253,-101907401,-72014654,-36904900,-71613130,-22000229,-16493370,-26400000,-11448000,-6823000,27534000
16,EBITDA ratio,-1.4286,0.1153,-1.1220,-0.8811,-2.4088,0.1461,0.4901,-0.9193,-13.7329,- -,0.6254,-0.2495,-1.8667,0.3601,-0.3140,-9.2062,-6.4989,-3.3050,-4.0731,-1.1833,-1.1832,-1.6977,-0.7363,-0.4731,1.3767
17,Operating Income,-1000218,997517,-26620665,-23975809,-6908947,-1161387,5621197,-5360916,-10366508,- -,-6939032,-91815348,-179048865,-20226236,-73379270,- -,-21564787,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,-1.4286,0.0199,-1.2976,-0.9937,-5.4103,-0.1071,0.3313,-1.7533,-68.1589,- -,-0.0913,-0.6124,-2.1598,-0.1576,-0.7425,- -,-1.9461,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),1100240,1695778,-22517479,-18366795,949885,213998,1016025,1865135,7639644,- -,41223218,3003556,-15236352,5812930,-38798,-2319944,-51279323,-10291024,-61352550,-4256765,1882478,-14011000,625000,616000,40330000
20,Income Before Tax,- -,2693296,- -,- -,- -,- -,- -,-3495782,-2726864,- -,34284186,-88811792,-194285217,-14413306,-73418068,-29192292,-72844110,-39471562,-90902021,-21040541,-22289188,-38371000,-23517000,-17143000,16982000
21,Income Before Tax Ratio,- -,0.0537,- -,- -,- -,- -,- -,-1.1433,-17.9289,- -,0.4510,-0.5924,-2.3436,-0.1123,-0.7429,-2.6372,-6.5737,-3.5349,-5.1702,-1.1316,-1.5990,-2.4676,-1.5124,-1.1886,0.8491
22,Income Tax expense (Gain),- -,299255,- -,- -,- -,- -,- -,-737964,31160,- -,-12501547,9336824,-40348951,-176028,-1060819,-3868894,16420883,-2668817,-5230204,-5315916,-4574785,-8294000,-5376000,-860000,-1995000
23,Net Income,- -,2394040,-25119500,-22902885,-4451675,293588,7481319,-2757818,-2758024,- -,46785733,-98148616,-153936265,-14237278,-72357249,-117338209,-89264993,-36802745,-71549296,-23310726,-17816260,-30077000,-18141000,-16283000,18977000
24,Net Income ratio,- -,0.0477,-1.2244,-0.9492,-3.4861,0.0271,0.4409,-0.9019,-18.1338,- -,0.6154,-0.6547,-1.8569,-0.1109,-0.7321,-10.6002,-8.0556,-3.2959,-4.0695,-1.2537,-1.2781,-1.9342,-1.1667,-1.1290,0.9488
25,EPS,- -,0.03,-0.38,0.52,0.10,0.00,0.11,-0.04,-0.03,- -,0.25,-0.51,-0.53,-0.04,-0.19,-0.31,-0.20,-0.07,-0.14,-0.04,-0.04,-0.05,-0.03,-0.03,0.03
26,EPS Diluted,- -,0.03,-0.38,0.52,0.10,0.00,0.11,-0.04,-0.03,- -,0.24,-0.51,-0.53,-0.04,-0.19,-0.31,-0.20,-0.07,-0.14,-0.04,-0.04,-0.05,-0.03,-0.03,0.03
27,Weighted Average Shares Outstanding,80016327,80016327,66052997,63334188,57118192,67379863,67011765,76306520,80575343,- -,188722000,190218000,286421000,340826000,380838000,385352000,440895000,494510000,513415000,529053000,555263000,564976000,590343000,628441000,628441000
28,Weighted Average Shares Outstanding Diluted,80016327,80016327,66052997,63334188,57118192,67379863,67011765,82396627,80575343,- -,193613000,190218000,286421000,340826000,381108000,385352000,440895000,494510000,513415000,529053000,555263000,564976000,590343000,628441000,628441000
