,https://roic.ai/company/WPM,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,509554,603015,683788,577768,562558,724544,- -,70900000,158500000,175400000,166700000,239300000,423400000,730000000,849600000,706500000,620176000,648687000,891557000,843215000,794012000,861332000,1096224000
2,COGS,- -,191083,201005,309872,195525,194724,244798,- -,43800000,69300000,72800000,63400000,104900000,140300000,151600000,230600000,295700000,326447000,402226000,574434000,518375000,521995000,546399000,510652000
3,Gross Profit,- -,318471,402010,373916,382243,367834,479746,- -,27100000,89200000,102600000,103300000,134400000,283100000,578400000,619000000,410800000,293729000,246461000,317123000,324840000,272017000,314933000,585572000
4,Gross Profit Ratio,- -,0.6250,0.6667,0.5468,0.6616,0.6539,0.6621,- -,0.3822,0.5628,0.5849,0.6197,0.5616,0.6686,0.7923,0.7286,0.5815,0.4736,0.3799,0.3557,0.3852,0.3426,0.3656,0.5342
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,100000,200000,400000,900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,2400000,5700000,9700000,16400000,17300000,24700000,17000000,18800000,22900000,22364000,18185000,22189000,21507000,26679000,21590000,58017000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,2400000,5700000,9700000,16400000,17300000,24700000,17000000,18800000,22900000,22364000,18185000,22189000,21507000,26679000,21590000,58017000
9,Other Expenses,- -,382166,402010,397761,393919,365138,426818,- -,3500000,10638000,11605000,14000,-12000,-31000,11362000,12039000,12408000,15496000,14052000,12250000,13166000,24971000,32917000,1889000
10,Operating Expenses,- -,382166,402010,397761,393919,365138,426818,- -,6000000,16538000,21705000,17314000,17288000,24669000,28362000,30839000,35308000,37860000,32237000,34439000,34673000,51650000,54507000,59906000
11,COGS and Expenses,- -,573249,603015,707633,589444,559862,671616,- -,46400000,76900000,84500000,146500000,121800000,154300000,168900000,249600000,318800000,417288000,805954000,668575000,768512000,304016000,735804000,570558000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,705000,3221000,1508000,320000,- -,- -,- -,1222000,204000,123000,122000,147000,407000,-3567000,1041000,229000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,1893,- -,- -,1691000,- -,116000,- -,- -,- -,- -,6083000,2277000,4090000,24193000,24993000,35839000,44942000,12366000
14,Depreciation and Amortization,- -,- -,- -,18170,16730,16218,14874,- -,6000000,16500000,21700000,19500000,41400000,57800000,57700000,101500000,144400000,160506000,199202000,309654000,263352000,253343000,258730000,1889000
15,EBITDA,- -,-63695,- -,7096,9760,-107369,71786,- -,31300000,103391000,113600000,39816000,159300000,334300000,616000000,702300000,520883000,361564000,37859000,527654000,345162000,732165000,380744000,519584000
16,EBITDA ratio,- -,-0.1250,- -,0.0104,0.0169,-0.1909,0.0991,- -,0.4415,0.6523,0.6477,0.2388,0.6657,0.7896,0.8438,0.8266,0.7373,0.5830,0.0584,0.5918,0.4093,0.9221,0.4420,0.4740
17,Operating Income,- -,-63694,- -,-23845,-11676,-125600,52928,- -,27056000,89231000,102670000,86024000,117134000,258364000,558365000,630842000,422967000,308899000,201578000,293982000,- -,244281000,125528000,519874000
18,Operating Income ratio,- -,-0.1250,- -,-0.0349,-0.0202,-0.2233,0.0731,- -,0.3816,0.5630,0.5853,0.5160,0.4895,0.6102,0.7649,0.7425,0.5987,0.4981,0.3107,0.3297,- -,0.3077,0.1457,0.4742
19,Total Other Income Expenses (Gains),- -,- -,- -,12771,4706,2013,3984,- -,-1756000,-4031000,-10770000,-65824000,766000,18136000,35000,-30042000,-52567000,-110118000,-367011000,-100175000,-17886000,198702000,-48456000,-14545000
20,Income Before Tax,- -,- -,- -,-11074,- -,-123587,- -,- -,25300000,85200000,91900000,20200000,117900000,276500000,558400000,600800000,370400000,198781000,-165433000,193807000,56817000,442983000,77072000,505329000
21,Income Before Tax Ratio,- -,- -,- -,-0.0162,- -,-0.2197,- -,- -,0.3568,0.5375,0.5239,0.1212,0.4927,0.6530,0.7649,0.7072,0.5243,0.3205,-0.2550,0.2174,0.0674,0.5579,0.0895,0.4610
22,Income Tax expense (Gain),- -,- -,- -,-17668,- -,-2566,- -,- -,- -,- -,- -,2900000,- -,-13600000,8300000,14800000,-5100000,-1045000,-3391000,-1330000,-886000,15868000,-9066000,-2475000
23,Net Income,- -,- -,- -,6594,-6970,-121021,55019,- -,25300000,85200000,91900000,17300000,117900000,290100000,550000000,586000000,375500000,199826000,-162042000,195137000,57703000,427115000,86138000,507804000
24,Net Income ratio,- -,- -,- -,0.0096,-0.0121,-0.2151,0.0759,- -,0.3568,0.5375,0.5239,0.1038,0.4927,0.6852,0.7534,0.6897,0.5315,0.3222,-0.2498,0.2189,0.0684,0.5379,0.1000,0.4632
25,EPS,- -,- -,- -,0.00,-0.00,-0.00,0.03,- -,0.15,0.40,0.41,0.07,0.39,0.84,1.56,1.66,1.06,0.56,-0.41,0.45,0.13,0.96,0.19,1.13
26,EPS Diluted,- -,- -,- -,0.00,-0.00,-0.00,0.03,- -,0.15,0.37,0.37,0.07,0.38,0.83,1.55,1.65,1.05,0.56,-0.41,0.45,0.13,0.96,0.19,1.13
27,Weighted Average Shares Outstanding,- -,1720000,1720000,1720000,1720000,1720000,1720000,168606667,168606667,210538000,221909000,232855000,306040000,344288000,353249000,353874000,355588000,359401000,395755000,430461000,441961000,443407000,446021000,448694000
28,Weighted Average Shares Outstanding Diluted,- -,1720000,1720000,1720000,1720000,1720000,1720000,168606667,168606667,232566000,246728000,249244000,309500000,350429000,355904000,356008000,356595000,359804000,395938000,430845000,442442000,443862000,446930000,450070000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1323404/000117625606000142/silverwheatonform40f2final.htm,- -,https://www.sec.gov/Archives/edgar/data/1323404/000117625608000381/0001176256-08-000381-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000095014209000451/0000950142-09-000451-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000117625610000277/0001176256-10-000277-index.html,- -,https://www.sec.gov/Archives/edgar/data/1323404/000120445912000613/0001204459-12-000613-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000106299313001652/0001062993-13-001652-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1323404/000106299316008586/0001062993-16-008586-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000106299317001625/0001062993-17-001625-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000119312518102198/0001193125-18-102198-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000119312519094594/0001193125-19-094594-index.html,https://www.sec.gov/Archives/edgar/data/1323404/000119312520091051/0001193125-20-091051-index.html,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,82849,19989000,117700000,60000000,10000000,7100000,227600000,428600000,840200000,778200000,95823000,308098000,103297000,124300000,98521000,75767000,103986000,192683000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,82849,19989000,117700000,60000000,10000000,7100000,227600000,428600000,840200000,778200000,95823000,308098000,103297000,124300000,98521000,75767000,103986000,192683000
34,Net Receivables,- -,- -,- -,- -,- -,- -,140914,163000,2500000,1200000,1400000,800000,4900000,7100000,3900000,6200000,4132000,- -,1124000,2300000,3194000,2396000,7262000,6696000
35,Inventory,- -,- -,- -,- -,- -,- -,195278,478000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,5100,49000,100000,100000,300000,800000,1000000,800000,1200000,1000000,238538000,- -,1455000,1500000,1700000,1541000,43504000,2452000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,424141,20679000,120700000,61300000,11700000,8700000,233500000,436500000,845300000,785400000,338493000,- -,105876000,128100000,103415000,79704000,154752000,201831000
38,PP&E,- -,- -,- -,- -,- -,- -,86324,- -,130300000,534700000,1075000000,1238400000,1928500000,1912900000,1871700000,2281200000,4248265000,- -,5469412000,5919300000,5423277000,6156839000,5741417000,5497727000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3036000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3036000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21840000,73747000,284448000,151621000,121377000,40801000,32872000,19776000,64621000,98726000,167315000,310639000,199878000
