,https://roic.ai/company/GSTX,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,1900000,3370000,4640000,1680000,- -,- -,- -,- -,- -,- -
2,COGS,- -,290000,830000,930000,620000,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,1610000,2540000,3710000,1060000,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,0.8474,0.7537,0.7996,0.6310,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,110000,- -,- -,2087791,1448459,109593,- -,142834,2125279,1148213,1045887
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",110000,- -,- -,2087791,1448459,109593,- -,142834,2125279,1148213,1045887
9,Other Expenses,10000,1281221,2417696,2088127,1090541,- -,64790,- -,- -,- -,- -
10,Operating Expenses,120000,1281221,2417696,4175918,2539000,109593,64790,142834,2125279,1148213,1045887
11,COGS and Expenses,120000,1570000,3660000,7810000,3760000,-2467300,-26310,142830,2125280,1175890,1045887
12,Interest Income ,- -,904,3062,1340,233,- -,- -,1,- -,- -,- -
13,Interest Expense (Gain),- -,679629,1171756,1864379,1458898,31608,19482,17516,20853,76135,36839
14,Depreciation and Amortization,- -,260000,840000,1850000,940000,- -,- -,- -,38278,16879,16324
15,EBITDA,-120000,-170371,981756,314379,-971102,2443488,26285,-177810,-2087000,-1159010,-1086837
16,EBITDA ratio,-Infinity,-0.0897,0.2913,0.0678,-0.5780,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-120000,330404,123862,-3165874,-1724348,-109953,-64790,-142834,-2125279,-1148213,-1045887
18,Operating Income ratio,-Infinity,0.1739,0.0368,-0.6823,-1.0264,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,-1440404,-1153862,-234126,-1645652,2521833,71620,-17486,-20851,-98337,-57274
20,Income Before Tax,-120000,-1110000,-1030000,-3400000,-3370000,2411880,6830,-160320,-2146130,-1246550,-1103161
21,Income Before Tax Ratio,-Infinity,-0.5842,-0.3056,-0.7328,-2.0060,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-120000,-1110000,-1030000,-3400000,-3370000,2411880,6830,-160320,-2146130,-1246550,-1103161
24,Net Income ratio,-Infinity,-0.5842,-0.3056,-0.7328,-2.0060,Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.92,-15.00,-9.00,-27.00,-26.92,2.90,0.01,-0.00,-0.01,-0.01,-0.00
26,EPS Diluted,-0.92,-15.00,-9.00,-27.00,-26.92,2.65,0.01,-0.00,-0.01,-0.01,-0.00
27,Weighted Average Shares Outstanding,130000,71709,119018,127415,125130,831241,999392,36569260,231311252,238985282,243913723
28,Weighted Average Shares Outstanding Diluted,130000,71709,119018,127415,125130,831241,999392,36569260,231311252,238985282,243913723
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1497649/000135448811005245/0001354488-11-005245-index.html,https://www.sec.gov/Archives/edgar/data/1497649/000135448812006628/0001354488-12-006628-index.html,https://www.sec.gov/Archives/edgar/data/1497649/000135448814004995/0001354488-14-004995-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000135448815000027/0001354488-15-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000164033418001731/0001640334-18-001731-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000164033417002470/0001640334-17-002470-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000164033417002470/0001640334-17-002470-index.html,https://www.sec.gov/Archives/edgar/data/1497649/000164033419000098/0001640334-19-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000164033420000125/0001640334-20-000125-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000157570521000061/0001575705-21-000061-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,160000,450000,3090000,1330000,40000,- -,- -,10000,10000,74240,12
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,160000,450000,3090000,1330000,40000,- -,- -,10000,10000,74240,12
34,Net Receivables,- -,260000,620000,370000,- -,- -,- -,30000,- -,5200,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,50000,- -,- -,20000,10000,- -,- -,- -,- -,11680,- -
37,Total Current Assets,210000,710000,3710000,1720000,50000,- -,- -,40000,10000,91120,12
38,PP&E,370000,3960000,9630000,6490000,- -,- -,- -,90000,50000,27870,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,880000,880000,550000,90000,- -,- -,30000,20000,28420,- -
45,Total Non-Current Assets,370000,4840000,10510000,7040000,90000,- -,- -,120000,70000,56290,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12259
47,Total Assets,580000,5550000,14220000,8760000,140000,- -,- -,160000,80000,147410,12271
48,Accounts Payable,- -,180000,410000,110000,- -,20000,50000,360000,140000,402600,653476
49,Short-Term Debt,285668,- -,247416,- -,2923040,196937,155747,155747,221244,160747,181896
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,4332,80000,352584,330000,716960,53063,54253,494253,538756,566313,849174
53,Total Current Liabilities,290000,260000,1010000,440000,3640000,270000,260000,1010000,900000,1129660,1684546
54,Long-Term Debt,- -,2330000,7620000,7810000,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,2320000,2320000,640000,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,4650000,9940000,8450000,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,290000,4910000,10950000,8890000,3640000,270000,260000,1010000,900000,1129660,1684546
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,2420,2463
64,Retained Earnings,-120000,-1230000,-2250000,-5650000,-9020000,-6590000,-6580000,-6740000,-8890000,-10132540,- -
65,Other Comprehensive Income/Loss,- -,-260000,-1110000,-6590000,- -,- -,- -,- -,92046,100717,52015
66,Other Total Stockholders Equity,411756,2128648,6627633,12108602,5520286,6323542,6320395,5890606,8110786,9047148,-1726753
67,Total Stockholders Equity,291756,638648,3267633,-131398,-3499714,-266458,-259605,-849394,-819214,-982255,-1672275
68,Total Liabilities And Stockholders Equity,581756,5548648,14217633,8758602,140286,3542,395,160606,80786,147405,12271
69,Minority Interest,-1756,1352,2367,1398,-286,-3542,-395,-606,-786,5,- -
70,Total Liabilities & Equity,580000,5550000,14220000,8760000,140000,- -,- -,160000,80000,147410,12271
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1497649/000135448811005245/0001354488-11-005245-index.html,https://www.sec.gov/Archives/edgar/data/1497649/000135448812006628/0001354488-12-006628-index.html,https://www.sec.gov/Archives/edgar/data/1497649/000135448814004995/0001354488-14-004995-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000135448815000027/0001354488-15-000027-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000164033418001731/0001640334-18-001731-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000164033417002470/0001640334-17-002470-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000164033417002470/0001640334-17-002470-index.html,https://www.sec.gov/Archives/edgar/data/1497649/000164033419000098/0001640334-19-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000164033420000125/0001640334-20-000125-index.htm,https://www.sec.gov/Archives/edgar/data/1497649/000157570521000061/0001575705-21-000061-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-120000,-1110000,-1030000,-3400000,-3370000,2411880,6830,-160320,-2146130,-1246550,-1103161
74,Depreciation and Amortization,- -,260000,840000,1850000,940000,- -,- -,- -,38278,16879,16324
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,258731,59700,- -,- -,- -,- -,- -,1206412,100200,300000
77,Change in Working Capital,-50000,-295517,-556796,-68780,634128,20348,29846,39501,352735,460386,550617
78,Accounts Receivable,- -,- -,-358484,243866,343194,12500,- -,- -,- -,- -,- -
