,https://roic.ai/company/RM,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,64133000,76948000,92876000,124436000,156485000,189772000,201085000,220594000,248551000,273242000,315588000,336054000,397002000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,373906000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.1126,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,23370000,21863000,32051000,43866000,55419000,75019000,90806000,91736000,102297000,110020000,124160000,143330000,156983000
7,Selling and Marketing Exp.,1212000,2027000,2056000,2767000,3980000,6330000,7017000,6837000,7128000,7745000,8206000,10357000,14405000
8,"Selling, General and Administrative Exp.",24582000,23890000,34107000,46633000,59399000,81349000,97823000,98573000,109425000,117765000,132366000,153687000,171388000
9,Other Expenses,- -,- -,- -,38367000,50601000,84651000,65177000,83427000,98575000,109235000,124634000,146313000,- -
10,Operating Expenses,- -,- -,- -,85000000,110000000,166000000,163000000,182000000,208000000,227000000,257000000,300000000,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186673000,- -
12,Interest Income ,63590000,74218000,91286000,119235000,152343000,184786000,195794000,220963000,249034000,280121000,321169000,335215000,382544000
13,Interest Expense (Gain),8681000,9884000,12343000,11610000,14144000,14947000,16221000,19924000,23908000,33464000,40125000,37852000,31349000
14,Depreciation and Amortization,1144000,1743000,1344000,2582000,3459000,3790000,3774000,6444000,7357000,8803000,10856000,13308000,11653000
15,EBITDA,24170000,37249000,47100000,54124000,63857000,42676000,58134000,65316000,71522000,88169000,109974000,87088000,155475000
16,EBITDA ratio,0.3769,0.4841,0.5071,0.4350,0.4081,0.2249,0.2891,0.2961,0.2878,0.3227,0.3485,0.2591,0.3916
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187233000,112473000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.5572,0.2833
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151305000,- -
20,Income Before Tax,14345000,25622000,33413000,39932000,46254000,23939000,38139000,38948000,40257000,45902000,58993000,35928000,112473000
21,Income Before Tax Ratio,0.2237,0.3330,0.3598,0.3209,0.2956,0.1261,0.1897,0.1766,0.1620,0.1680,0.1869,0.1069,0.2833
22,Income Tax expense (Gain),4472000,9178000,12169000,14565000,17460000,9137000,14774000,14917000,10294000,10557000,14261000,9198000,23786000
23,Net Income,9873000,16444000,21244000,25367000,28794000,14802000,23365000,24031000,29963000,35345000,44732000,26730000,88687000
24,Net Income ratio,0.1539,0.2137,0.2287,0.2039,0.1840,0.0780,0.1162,0.1089,0.1206,0.1294,0.1417,0.0795,0.2234
25,EPS,1.06,1.76,1.73,2.17,2.29,1.17,1.82,2.03,2.59,3.03,3.92,2.45,8.84
26,EPS Diluted,1.03,1.72,1.73,2.12,2.23,1.14,1.79,1.99,2.54,2.93,3.80,2.40,8.33
27,Weighted Average Shares Outstanding,9336727,9336727,12311727,11694924,12572298,12701083,12849000,11824000,11551000,11655000,11401000,10930000,10034000
28,Weighted Average Shares Outstanding Diluted,9574651,9574651,12311727,11980748,12893693,12951441,13074000,12085000,11783000,12078000,11773000,11145000,10643000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1519401/000119312513112595/0001193125-13-112595-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312514102613/0001193125-14-102613-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312515094003/0001193125-15-094003-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312516473676/0001193125-16-473676-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312517038556/0001193125-17-038556-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312518056059/0001193125-18-056059-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312519069241/0001193125-19-069241-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312520073232/0001193125-20-073232-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000156459021008906/0001564590-21-008906-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000156459022008810/0001564590-22-008810-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,856000,4849000,3298000,4121000,4012000,7654000,4446000,5230000,3657000,2263000,8052000,10507000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,856000,4849000,3298000,4121000,4012000,7654000,4446000,5230000,3657000,2263000,8052000,10507000
34,Net Receivables,- -,229246000,- -,6051000,- -,2484000,658000,1161000,12503000,3319000,3914000,1136259000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,-6051000,- -,-2484000,-658000,-1161000,-12503000,-3319000,-3914000,-1136259000,- -
37,Total Current Assets,- -,- -,- -,3298000,4121000,4012000,7654000,4446000,5230000,3657000,2263000,8052000,- -
38,PP&E,- -,3069000,4446000,5111000,7100000,8905000,10441000,11693000,12294000,13926000,41739000,41574000,41659000
39,Goodwill,- -,- -,- -,363000,716000,716000,716000,716000,716000,716000,716000,- -,- -
40,Intangible Assets,- -,- -,- -,1815000,1386000,847000,473000,5732000,9891000,9294000,8722000,8689000,- -
41,Intangible Assets,- -,- -,- -,2178000,2102000,1563000,1189000,6448000,10607000,10010000,9438000,8689000,9517000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,-9557000,520565000,515790000,609781000,689637000,800328000,927775000,1103039000,-27116000,- -
45,Total Non-Current Assets,- -,- -,- -,-2268000,529767000,526258000,621411000,707778000,823229000,951711000,1154216000,23147000,- -
46,Other Assets,- -,241358000,304150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1459662000
47,Total Assets,- -,241358000,304150000,1030000,533888000,530270000,629065000,712224000,828459000,955368000,1156479000,31199000,1459662000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40284000,- -
49,Short-Term Debt,- -,- -,1000,292379000,362750000,341419000,338281000,451628000,- -,- -,393072000,393072000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,7499000,-279479000,-352850000,-330891000,-325620000,-436405000,18576000,25885000,-335926000,1131424000,- -
53,Total Current Liabilities,- -,- -,7500000,12900000,9900000,10528000,12661000,15223000,18576000,25885000,57146000,1564780000,- -
54,Long-Term Debt,- -,- -,231823000,- -,- -,- -,72896000,37898000,566546000,651349000,405539000,762248000,1127643000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,5947000,2653000,- -,575000,- -,4961000,747000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-23000,286453000,360147000,341419000,335014000,451628000,-11000,-747000,393072000,6661000,- -
58,Total Non-Current Liabilities,- -,- -,231800000,292400000,362800000,341419000,408485000,489526000,571496000,651349000,798611000,768909000,1127643000
59,Other Liabilities,- -,209914000,475571000,- -,725615000,- -,819662000,- -,- -,- -,- -,- -,2304569000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28470000,29201000,30700000
61,Total Liabilities,- -,209914000,251271000,304422000,372715000,351947000,423838000,504749000,590072000,677234000,855757000,831733000,1176926000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,934000,934000,1249000,1265000,1275000,1291000,1300000,1321000,1332000,1350000,1385000,1416000
64,Retained Earnings,- -,2551000,23795000,49162000,76591000,91393000,114758000,138789000,168752000,204097000,248829000,227343000,306105000
65,Other Comprehensive Income/Loss,- -,-6871000,-8073000,-9565000,-11320000,-12171000,-16266000,-16627000,-16848000,-19783000,-21994000,- -,- -
66,Other Total Stockholders Equity,- -,34830000,48223000,89723000,94637000,97826000,105444000,84013000,86186000,93515000,74598000,43395000,-24785000
67,Total Stockholders Equity,- -,31444000,64879000,130569000,161173000,178323000,205227000,207475000,239411000,279161000,302783000,272123000,282736000
68,Total Liabilities And Stockholders Equity,- -,241358000,316150000,434991000,533888000,530270000,629065000,712224000,829483000,956395000,1158540000,1103856000,1459662000
69,Minority Interest,- -,- -,-12000000,-433961000,- -,- -,- -,- -,-1024000,-1027000,-2061000,-1072657000,- -
70,Total Liabilities & Equity,- -,241358000,304150000,1030000,533888000,530270000,629065000,712224000,828459000,955368000,1156479000,31199000,1459662000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1519401/000119312513112595/0001193125-13-112595-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312514102613/0001193125-14-102613-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312515094003/0001193125-15-094003-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312516473676/0001193125-16-473676-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312517038556/0001193125-17-038556-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312518056059/0001193125-18-056059-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312519069241/0001193125-19-069241-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312520073232/0001193125-20-073232-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000156459021008906/0001564590-21-008906-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000156459022008810/0001564590-22-008810-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,9873000,16444000,21244000,25367000,28794000,14802000,23365000,24031000,29963000,35345000,44732000,26730000,88687000
74,Depreciation and Amortization,1144000,1743000,1344000,2582000,3459000,3790000,3774000,6444000,7357000,8803000,10856000,13308000,11653000
75,Deferred Income Tax,-98000,2930000,4361000,5962000,-3294000,-4523000,-122000,1902000,4994000,-4214000,-1366000,676000,-4299000
76,Stock Based Compensation,360000,- -,- -,542000,1571000,2312000,3638000,4158000,4346000,6911000,5147000,5599000,7399000
77,Change in Working Capital,316000,- -,-7500000,-2102000,3823000,-737000,1509000,-5770000,-2569000,-8882000,-32655000,-1501845000,1855342000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93011000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11136000,10153000
81,Other Working Capital,- -,- -,-7500000,-9602000,-5779000,-6516000,-5007000,-10777000,-13346000,-22228000,-54883000,-1556728000,298614000
82,Other Non-Cash Items,19637000,20098000,21599000,25218000,38237000,69876000,50279000,69143000,71342000,108322000,138348000,1628114000,-1769767000
83,Cash Provided by Operating Activities,31232000,41215000,41048000,57569000,72590000,85520000,82443000,99908000,115433000,146285000,165062000,172582000,189015000
84,CAPEX,-556000,-1210000,-2581000,-1996000,-4152000,-4442000,-4790000,-11735000,-11120000,-6798000,-7407000,-4383000,-3588000
85,Acquisitions Net,- -,- -,- -,-28000000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-800000,- -,- -,-975000,-357000,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-39355000,-49389000,-76352000,-128485000,-137168000,-60090000,-141237000,-145618000,-177298000,-192446000,-268222000,-94426000,-351470000
89,Cash Used for Investing Activites,-40711000,-50599000,-78933000,-159456000,-142677000,-64532000,-146027000,-157353000,-188418000,-199244000,-275629000,-98809000,-355058000
90,Debt Repayment,-394000,- -,-466000,-25815000,- -,-21331000,-3138000,- -,-799000,-191655000,-21642000,-3170000,-8907000
91,Common Stock Issued,- -,- -,- -,39781000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-25046000,- -,- -,-25028000,-12014000,-67442000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2196000,-9537000
94,Other Financing Activites,11460000,7222000,42344000,86370000,70910000,234000,70364000,79283000,74568000,272738000,163523000,-40944000,329242000
95,Cash Used/Provided by Financing Activities,11066000,7222000,41878000,100336000,70910000,-21097000,67226000,54237000,73769000,81083000,116853000,-58324000,243356000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1587000,-2162000,3993000,-1551000,823000,-109000,3642000,-3208000,784000,28124000,6286000,15449000,77313000
98,Cash at the End of Period,3018000,856000,4849000,3298000,4121000,4012000,7654000,4446000,5230000,50141000,56427000,71876000,149189000
99,Cash at the Beginning of Period,1431000,3018000,856000,4849000,3298000,4121000,4012000,7654000,4446000,22017000,50141000,56427000,71876000
100,Free Cash Flow,30676000,40005000,38467000,55573000,68438000,81078000,77653000,88173000,104313000,139487000,157655000,168199000,185427000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1519401/000119312513112595/0001193125-13-112595-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312514102613/0001193125-14-102613-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312515094003/0001193125-15-094003-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312516473676/0001193125-16-473676-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312517038556/0001193125-17-038556-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312518056059/0001193125-18-056059-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312519069241/0001193125-19-069241-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000119312520073232/0001193125-20-073232-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000156459021008906/0001564590-21-008906-index.htm,https://www.sec.gov/Archives/edgar/data/1519401/000156459022008810/0001564590-22-008810-index.htm
102,false,,,,,,,,,,,,,
