,https://roic.ai/company/NAOV,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,94000,166000,211000,203000,147000,229000,239000,318000,530000,623
2,COGS,29000,50000,91000,93000,49000,88000,88000,158000,249000,409
3,Gross Profit,65000,116000,120000,110000,98000,141000,151000,160000,281000,214
4,Gross Profit Ratio,0.6915,0.6988,0.5687,0.5419,0.6667,0.6157,0.6318,0.5031,0.5302,0.3435
5,Research and Development Exp.,510000,572000,620000,431000,399000,584000,693000,614000,514000,171
6,General and Administrative Exp.,87000,128000,366000,589000,747000,1359000,2084000,2637000,3822000,3769
7,Selling and Marketing Exp.,150000,190000,244000,301000,377000,514000,465000,1212000,1096000,993
8,"Selling, General and Administrative Exp.",237000,318000,610000,890000,1124000,1873000,2549000,3849000,4918000,4762
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,747000,890000,1230000,1321000,1523000,2457000,3242000,4463000,5432000,4933
11,COGS and Expenses,776000,940000,1321000,1414000,1572000,2545000,3330000,4621000,5681000,5342
12,Interest Income ,1000,1000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),21000,256000,316000,372000,65000,- -,1234000,- -,62000,147000
14,Depreciation and Amortization,10000,9000,10000,9000,9000,7000,5000,6000,4000,2
15,EBITDA,-692000,-1010000,-1628000,-2217000,-2782000,-2707000,-3688000,-4275000,-5745000,142662
16,EBITDA ratio,-7.3617,-6.0843,-7.7156,-10.9212,-18.9252,-11.8210,-15.4310,-13.4434,-10.8396,228.9920
17,Operating Income,-682000,-774000,-1110000,-1211000,-1424000,-2316000,-3091000,-4303000,-5151000,-4719000
18,Operating Income ratio,-7.2553,-4.6627,-5.2607,-5.9655,-9.6871,-10.1135,-12.9331,-13.5314,-9.7189,-7574.6388
19,Total Other Income Expenses (Gains),-41000,-501000,-844000,-1387000,-1432000,-398000,-1836000,22000,-660000,4714660
20,Income Before Tax,-723000,-1275000,-1954000,-2598000,-2856000,-2714000,-4927000,-4281000,-5811000,-4340
21,Income Before Tax Ratio,-7.6915,-7.6807,-9.2607,-12.7980,-19.4286,-11.8515,-20.6151,-13.4623,-10.9642,-6.9663
22,Income Tax expense (Gain),- -,- -,35000,49000,28000,117000,38000,-127000,-17000,-15
23,Net Income,-723000,-1275000,-1989000,-2647000,-2884000,-2831000,-4965000,-4154000,-5794000,-4325
24,Net Income ratio,-7.6915,-7.6807,-9.4265,-13.0394,-19.6190,-12.3624,-20.7741,-13.0629,-10.9321,-6.9422
25,EPS,-0.61,-0.49,-0.76,-1.01,-1.46,-0.62,-1.17,-0.64,-0.83,-0.42
26,EPS Diluted,-0.61,-0.49,-0.76,-1.01,-1.46,-0.62,-1.17,-0.64,-0.83,-0.42
27,Weighted Average Shares Outstanding,2611328,2611328,2611328,2611328,1978395,4578470,4964077,6448343,6939358,10298117
28,Weighted Average Shares Outstanding Diluted,2611328,2611328,2611328,2611328,1978395,4578470,4964077,6448343,6939358,10298117
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1326706/000114420415019323/0001144204-15-019323-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000114420416091141/0001144204-16-091141-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000161577417003832/0001615774-17-003832-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000161577418002203/0001615774-18-002203-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000161577419007616/0001615774-19-007616-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000149315220009519/0001493152-20-009519-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000149315221008951/0001493152-21-008951-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,893000,101000,94000,90000,1614000,106000,4360000,896000,1338000,7142
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,893000,101000,94000,90000,1614000,106000,4360000,896000,1338000,7142
34,Net Receivables,45000,24000,33000,40000,41000,14000,35000,144000,130000,267
35,Inventory,- -,60000,65000,35000,71000,67000,76000,144000,121000,145
36,Other Current Assets,5000,- -,32000,- -,50000,34000,45000,42000,249000,416
37,Total Current Assets,943000,185000,224000,165000,1776000,221000,4516000,1226000,1838000,7970
38,PP&E,32000,28000,23000,18000,10000,11000,6000,8000,4000,4
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,110000,136000,444000,540000,197000,262000,343000,346000,194000,- -
45,Total Non-Current Assets,142000,164000,467000,558000,207000,273000,349000,354000,198000,4
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1085000,349000,691000,723000,1983000,494000,4865000,1580000,2036000,7974
48,Accounts Payable,19000,20000,18000,101000,58000,82000,168000,193000,129000,488
49,Short-Term Debt,- -,- -,3107000,4617000,- -,- -,- -,- -,- -,13
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,19000,- -,- -,- -,- -,- -,- -,199
52,Other Current Liabilities,85000,75000,414000,702000,239000,483000,629000,447000,280000,2202
53,Total Current Liabilities,104000,95000,3558000,5420000,297000,565000,797000,640000,409000,2902
54,Long-Term Debt,1452000,1946000,- -,- -,- -,- -,- -,- -,- -,18
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,114000,140000,430000,919000,1895000,2428000,434000,477000,279000,- -
58,Total Non-Current Liabilities,1566000,2086000,430000,919000,1895000,2428000,434000,477000,279000,18
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2951
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,31000
61,Total Liabilities,1670000,2181000,3988000,6339000,2192000,2993000,1231000,1117000,688000,5835
62,Preferred Stock,- -,- -,- -,- -,2000,2000,2000,2000,4000,2000
63,Common Stock,1000,1000,1000,- -,2000,2000,4000,4000,5000,22
64,Retained Earnings,-10939000,-12214000,-14203000,-16850000,-19734000,-22576000,-28382000,-32536000,-38330000,66
65,Other Comprehensive Income/Loss,-63000,-72000,-82000,-91000,-100000,-40000,-45000,-50000,-54000,66
66,Other Total Stockholders Equity,10416000,10453000,10987000,11325000,19621000,20113000,32055000,33043000,39723000,2391846
67,Total Stockholders Equity,-585000,-1832000,-3297000,-5616000,-209000,-2499000,3634000,463000,1348000,2394000
68,Total Liabilities And Stockholders Equity,1085000,349000,691000,723000,1983000,494000,4865000,1580000,2036000,2399835
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2391861
70,Total Liabilities & Equity,1085000,349000,691000,723000,1983000,494000,4865000,1580000,2036000,7974
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1326706/000114420415019323/0001144204-15-019323-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000114420416091141/0001144204-16-091141-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000161577417003832/0001615774-17-003832-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000161577418002203/0001615774-18-002203-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000161577419007616/0001615774-19-007616-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000149315220009519/0001493152-20-009519-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000149315221008951/0001493152-21-008951-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , 
73,Net Income,-723000,-1275000,-1989000,-2647000,-2884000,-2831000,-4965000,-4154000,-5794000,-4325
74,Depreciation and Amortization,10000,9000,10000,9000,9000,7000,5000,6000,4000,2
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,63000,28000,479000,24000,220000,508000,800000,889000,1755000,376
77,Change in Working Capital,66000,-749000,-3424000,-1921000,6734000,-1823000,4063000,-3133000,843000,-1423932
78,Accounts Receivable,22000,-1000,-6000,-8000,16000,-1000,-18000,-71000,-16000,86
79,Inventory,- -,-60000,-5000,30000,-36000,4000,-9000,-68000,23000,-26
80,Accounts Payable,-2000,1000,-2000,83000,-43000,24000,86000,25000,-64000,209
81,Other Working Capital,839000,90000,-3334000,-5255000,1479000,-344000,3719000,586000,1429000,5068
82,Other Non-Cash Items,37000,1200000,4322000,3635000,-5559000,2606000,-2085000,2842000,-682000,1424488
83,Cash Provided by Operating Activities,-547000,-787000,-602000,-900000,-1480000,-1533000,-2182000,-3550000,-3874000,-3391
84,CAPEX,-2000,-5000,-5000,-4000,-1000,-8000,- -,-8000,- -,-2
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2000,-5000,-5000,-4000,-1000,-8000,- -,-8000,- -,-2
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-475000,- -
91,Common Stock Issued,- -,- -,- -,- -,3005000,- -,5056000,- -,630000,9479
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1325000,- -,600000,900000,- -,33000,1380000,94000,4161000,43
95,Cash Used/Provided by Financing Activities,1325000,- -,600000,900000,3005000,33000,6436000,94000,4316000,9522
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,776000,-792000,-7000,-4000,1524000,-1508000,4254000,-3464000,442000,6195
98,Cash at the End of Period,893000,101000,94000,90000,1614000,106000,4360000,896000,1338000,7533
99,Cash at the Beginning of Period,117000,893000,101000,94000,90000,1614000,106000,4360000,896000,1338
100,Free Cash Flow,-549000,-792000,-607000,-904000,-1481000,-1541000,-2182000,-3558000,-3874000,-3393
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1326706/000114420415019323/0001144204-15-019323-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000114420416091141/0001144204-16-091141-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000161577417003832/0001615774-17-003832-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000161577418002203/0001615774-18-002203-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000161577419007616/0001615774-19-007616-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000149315220009519/0001493152-20-009519-index.htm,https://www.sec.gov/Archives/edgar/data/1326706/000149315221008951/0001493152-21-008951-index.htm
102,false,,,,,,,,,,
