,https://roic.ai/company/DDOG,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,100761000,198077000,362780000,603466000,1028784000
2,COGS,23414000,46529000,88949000,130197000,234245000
3,Gross Profit,77347000,151548000,273831000,473269000,794539000
4,Gross Profit Ratio,0.7676,0.7651,0.7548,0.7843,0.7723
5,Research and Development Exp.,24734000,55176000,111425000,210626000,419769000
6,General and Administrative Exp.,11356000,18556000,35889000,62756000,94429000
7,Selling and Marketing Exp.,44213000,88849000,146657000,213660000,299497000
8,"Selling, General and Administrative Exp.",55569000,107405000,182546000,276416000,393926000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,80303000,162581000,293971000,487042000,813695000
11,COGS and Expenses,103717000,209110000,382920000,617239000,1047940000
12,Interest Income ,- -,- -,- -,21234000,21786000
13,Interest Expense (Gain),- -,- -,- -,30434000,21052000
14,Depreciation and Amortization,2704000,6026000,12370000,15450000,22938000
15,EBITDA,591000,-4214000,-3606000,23662000,25568000
16,EBITDA ratio,0.0059,-0.0213,-0.0099,0.0392,0.0249
17,Operating Income,-2956000,-11033000,-20140000,-13773000,-19156000
18,Operating Income ratio,-0.0293,-0.0557,-0.0555,-0.0228,-0.0186
19,Total Other Income Expenses (Gains),843000,793000,4164000,-8449000,734000
20,Income Before Tax,-2113000,-10240000,-15976000,-22222000,-18422000
21,Income Before Tax Ratio,-0.0210,-0.0517,-0.0440,-0.0368,-0.0179
22,Income Tax expense (Gain),457000,522000,734000,2325000,2323000
23,Net Income,-2570000,-10762000,-16710000,-24547000,-20745000
24,Net Income ratio,-0.0255,-0.0543,-0.0461,-0.0407,-0.0202
25,EPS,-0.03,-0.04,-0.12,-0.08,-0.07
26,EPS Diluted,-0.03,-0.04,-0.12,-0.08,-0.07
27,Weighted Average Shares Outstanding,79566000,250766000,139873000,300350000,310247000
28,Weighted Average Shares Outstanding Diluted,79566000,250766000,139873000,300350000,310247000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1561550/000156459020006422/0001564590-20-006422-index.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156459021009770/0001564590-21-009770-index.htm,https://www.sec.gov/Archives/edgar/data/1561550/000156155022000009/0001561550-22-000009-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,60024000,53639000,597297000,224927000,270973000
