,https://roic.ai/company/RPRX,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1577507000,1658934000,1794612000,2122353000,2289463000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,2122353000,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,117866000,392609000,83036000,26289000,200084000
6,General and Administrative Exp.,106440000,61906000,103439000,181715000,182826000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",106440000,61906000,103439000,181715000,182826000
9,Other Expenses,413509000,-160027000,-1015039000,318950000,475838000
10,Operating Expenses,637815000,294488000,-828564000,526954000,858748000
11,COGS and Expenses,637815000,294488000,-828564000,526954000,858748000
12,Interest Income ,6762000,24441000,22329000,28379000,53535000
13,Interest Expense (Gain),247339000,279956000,268573000,157059000,166142000
14,Depreciation and Amortization,33267000,33267000,23924000,23058000,22996000
15,EBITDA,1490631000,1690952000,2641032000,1155157000,808866000
16,EBITDA ratio,0.9449,1.0193,1.4716,0.5443,0.3533
17,Operating Income,939692000,1364446000,2623176000,1595399000,1430715000
18,Operating Income ratio,0.5957,0.8225,1.4617,0.7517,0.6249
19,Total Other Income Expenses (Gains),403488000,153409000,-161757000,106555000,-189514000
20,Income Before Tax,1343180000,1517855000,2461419000,1701954000,1241201000
21,Income Before Tax Ratio,0.8515,0.9150,1.3716,0.8019,0.5421
22,Income Tax expense (Gain),- -,- -,- -,- -,- -
23,Net Income,1210025000,1377729000,2348535000,975040000,619728000
24,Net Income ratio,0.7670,0.8305,1.3087,0.4594,0.2707
25,EPS,3.42,3.89,3.35,2.51,0.92
26,EPS Diluted,3.42,3.89,3.35,2.51,0.92
27,Weighted Average Shares Outstanding,354175555,354175555,354175555,388135000,671813974
28,Weighted Average Shares Outstanding Diluted,354175555,354175555,354175555,388135000,671813974
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1802768/000180276821000006/0001802768-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1802768/000180276822000011/0001802768-22-000011-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,1924211000,283682000,1008680000,1541048000
32,Short-Term Investments,- -,461821000,509532000,1640456000,1262223000
33,Cash and Short-Term Investments,- -,2386032000,793214000,2649136000,2803271000
34,Net Receivables,- -,198627000,38766000,39166000,68309000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,23895000,92000,8596000,6631000
