,https://roic.ai/company/HSTC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,200000,300000,2300000,3560000,4110000,4370000,7120000,7760000,7790000,14590000,10480000,6830000,30000,180000,- -,1110000,1190000,- -,- -,- -,- -,9890000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,100000,100000,1300000,1450000,2020000,2140000,4760000,5690000,5030000,9220000,7600000,4210000,- -,- -,- -,370000,710000,- -,- -,- -,- -,11020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,100000,200000,1000000,2110000,2090000,2230000,2360000,2070000,2760000,5370000,2880000,2620000,- -,- -,- -,740000,480000,- -,- -,- -,- -,-1130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.5000,0.6667,0.4348,0.5927,0.5085,0.5103,0.3315,0.2668,0.3543,0.3681,0.2748,0.3836,- -,- -,- -,0.6667,0.4034,- -,- -,- -,- -,-0.1143,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,2220000,2050000,2090000,1970000,2620000,2720000,4680000,3840000,3940000,400000,250000,200000,1410000,860000,- -,- -,- -,- -,- -,- -,1513333,1316110,751980,344238,342155,157348,148954,160047,137274,152995,142587,151554,27978,25718
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",100000,400000,1500000,2200000,4100000,1800000,2000000,2600000,3000000,4700000,3800000,3900000,400000,250000,200000,1410000,859238,104679,182822,64356,1157946,724344,143485,1513333,1316110,751980,344238,342155,157348,148954,160047,137274,152995,142587,151554,207978,25718
9,Other Expenses,- -,- -,100000,100000,200000,200000,300000,400000,300000,500000,500000,400000,180000,30000,- -,990000,58718,4893,- -,- -,- -,564939,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000
