,https://roic.ai/company/SNNY,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,2331421,2444079,2477414,2637067,2839686,2792302,2536369,2225450,2586753,2589872
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,2586753,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1531700,1534998,1610558,1752612,1790316,1718701,1538424,1586779,1485847,347300
7,Selling and Marketing Exp.,81862,75928,101578,44050,52438,50433,31876,50798,- -,- -
8,"Selling, General and Administrative Exp.",1613562,1610926,1712136,1796662,1842754,1769134,1570300,1637577,1485847,347300
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,1407247,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,2893094,347300
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,2776453,2691007,2699335,2678056,2837716,2775662,2663353,2672128,2586753,- -
13,Interest Expense (Gain),678753,573935,397074,349973,332831,243486,299743,621937,-670120,354126
14,Depreciation and Amortization,130022,134259,152678,152368,145204,135919,135016,108664,112929,126
15,EBITDA,677412,557350,161884,323699,439104,464120,500653,284487,-792819,-973388
16,EBITDA ratio,0.2906,0.2280,0.0653,0.1227,0.1546,0.1662,0.1974,0.1278,-0.3065,-0.3758
17,Operating Income,-131363,-150844,-387868,-178642,-38931,84715,- -,- -,-306341,- -
18,Operating Income ratio,-0.0563,-0.0617,-0.1566,-0.0677,-0.0137,0.0303,- -,- -,-0.1184,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,-131363,-150844,-387868,-178642,-38931,84715,65894,-446114,-306341,-1327640
21,Income Before Tax Ratio,-0.0563,-0.0617,-0.1566,-0.0677,-0.0137,0.0303,0.0260,-0.2005,-0.1184,-0.5126
22,Income Tax expense (Gain),189118,-91018,-177501,-98159,78488,411764,13788,-107958,- -,-33944
23,Net Income,-320481,-59826,-210367,-80483,-117419,-327049,52106,-338156,-235628,-1293696
24,Net Income ratio,-0.1375,-0.0245,-0.0849,-0.0305,-0.0413,-0.1171,0.0205,-0.1519,-0.0911,-0.4995
25,EPS,-0.40,-0.17,-0.28,-0.11,-0.16,-0.44,0.07,-0.45,-0.31,-1.72
26,EPS Diluted,-0.40,-0.17,-0.28,-0.11,-0.16,-0.44,0.07,-0.45,-0.31,-1.72
