,https://roic.ai/company/DRTT,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,131291265,161370880,170517190,198668254,233339165,261873086,247735000,171507000,147593000
2,COGS,81237263,94142274,97405761,112162786,135888668,151873307,161311000,118224000,124133000
3,Gross Profit,50054002,67228606,73111430,86505468,97450497,109999780,86424000,53283000,23460000
4,Gross Profit Ratio,0.3812,0.4166,0.4288,0.4354,0.4176,0.4200,0.3489,0.3107,0.1590
5,Research and Development Exp.,- -,- -,- -,- -,- -,6075490,7818000,8111000,8234000
6,General and Administrative Exp.,- -,508000,- -,- -,- -,28168249,31521000,29014000,35308000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,38620295,33939000,28049000,31041000
8,"Selling, General and Administrative Exp.",- -,508000,- -,- -,- -,66788544,65460000,57063000,66349000
9,Other Expenses,53276294,59994558,61418617,77070902,102069185,14438008,11037000,-3340000,-2083000
10,Operating Expenses,53276294,60502558,61418617,77070902,102069185,87302042,84315000,61834000,72500000
11,COGS and Expenses,134513557,154644832,158824377,189233688,237957853,239175349,245626000,180058000,196633000
12,Interest Income ,- -,250676,394901,450115,412724,403809,529000,238000,77000
13,Interest Expense (Gain),4906224,1170684,284646,252213,485089,480900,131000,305000,3131000
14,Depreciation and Amortization,7755666,8516100,9042365,11520720,14248111,14297776,12242000,11706000,14513000
15,EBITDA,-1612555,15364471,22430082,20802024,10037376,18093581,8996000,2817000,-36228000
16,EBITDA ratio,-0.0123,0.0952,0.1315,0.1047,0.0430,0.0691,0.0363,0.0164,-0.2455
17,Operating Income,-4007438,6288441,11692813,9434566,-4618688,983826,-2451000,-21272000,-61938000
18,Operating Income ratio,-0.0305,0.0390,0.0686,0.0475,-0.0198,0.0038,-0.0099,-0.1240,-0.4197
19,Total Other Income Expenses (Gains),-10267006,-610754,1410257,-405476,-77137,2331079,-926000,12078000,8066000
20,Income Before Tax,-14274444,5677687,13103071,9029090,-4695825,3314905,-3377000,-9194000,-53872000
21,Income Before Tax Ratio,-0.1087,0.0352,0.0768,0.0454,-0.0201,0.0127,-0.0136,-0.0536,-0.3650
22,Income Tax expense (Gain),1217164,548731,209701,3609850,1196024,1114513,1019000,2104000,-204000
23,Net Income,-15491609,5128956,12893370,5419240,-5891849,2200392,-4396000,-11298000,-53668000
24,Net Income ratio,-0.1180,0.0318,0.0756,0.0273,-0.0253,0.0084,-0.0177,-0.0659,-0.3636
25,EPS,-0.39,0.07,0.16,0.07,-0.07,0.03,-0.05,-0.13,-0.63
